input,golds,options,preds,raw_preds,subject,ABILITY,index
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
شاهدت شياو هونغ وشياو فانغ أطفالًا آخرين يلعبون في الملعب المزدحم والمليء بالألوان. تحدثوا عن بعض الأشياء المثيرة للاهتمام التي تحدث في الملعب، مثل الأطفال الذين يصرخون من الفرح وهم يركضون حول الزلاجات، وناقشوا الذهاب إلى الحديقة معًا بعد المدرسة. بينما كانوا يتحدثون، بدت شياو هونغ متحمسة بشكل متزايد. فجأة، أعطت شياو هونغ شياو فانغ نظرة مليئة بالإثارة وحدقت في اتجاه الأراجيح. ثم ابتسمت شياو هونغ لشياو فانغ ابتسامة خفيفة مليئة بالحيوية. أومأت شياو فانغ برأسها وهي تبدو مهتمة، ووقف الاثنان معًا. جلست شياو مي على الأراجيح ولاحظت التفاعل بين شياو هونغ وشياو فانغ.
[Question]
لماذا ابتسمت شياو هونغ لشياو فانغ؟
[Candidate Answers]
ا. ابتسمت شياو هونغ لأنها رأت شيئًا مثيرًا للاهتمام في الملعب. ب. ابتسمت شياو هونغ لأنها تذكرت مزحة عن شياو مي. ج. ابتسمت شياو هونغ لأنها تعتقد أن اللعب بعد المدرسة ممتع. د. ابتسمت شياو هونغ لشياو فانغ لاقتراح صنع أصدقاء جدد معًا.",1,"['أ- ابتسمت شياو هونغ لأنها رأت شيئًا مثيرًا للاهتمام في الملعب.', 'ب- ابتسمت شياو هونغ لأنها تذكرت مزحة عن شياو مي.', 'ج- ابتسمت شياو هونغ لأنها تعتقد أن اللعب بعد المدرسة ممتع.', 'د- ابتسمت شياو هونغ لشياو فانغ لاقتراح صنع أصدقاء جدد معًا.']",د,[[د]],Ambiguous Story Task,Intention: Intentions explanations,1
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
شاهدت شياو هونغ وشياو فانغ أطفالًا آخرين يلعبون في الملعب. تحدثوا عن بعض الأشياء المثيرة للاهتمام التي تحدث في الملعب وناقشوا الذهاب إلى الحديقة معًا بعد المدرسة. فجأة، أعطت شياو هونغ شياو فانغ نظرة وحدجت في اتجاه الأراجيح. ثم ابتسمت شياو هونغ لشياو فانغ. أومأت شياو فانغ برأسها، ووقف الاثنان. جلست شياو مي على الأراجيح ولاحظت التفاعل بين شياو هونغ وشياو فانغ.
[Question]
كيف تعتقد أن شياو مي تشعر؟
[Candidate Answers]
ا. تشعر شياو مي بالإثارة لأنها تعتقد أن شياو هونغ وشياو فانغ يريدون اللعب على الأراجيح معًا. ب. تشعر شياو مي بالفضول، ربما قليلاً من القلق. ج. تشعر شياو مي بقليل من الخوف، قلقة من أنهم قد يتنمرون عليها. د. تشعر شياو مي بسعادة كبيرة، معتقدة أنهم سيعطونها مفاجأة.",1,"['أ- تشعر شياو مي بالإثارة لأنها تعتقد أن شياو هونغ وشياو فانغ يريدون اللعب على الأراجيح معًا.', 'ب- تشعر شياو مي بالفضول، ربما قليلاً من القلق.', 'ج- تشعر شياو مي بقليل من الخوف، قلقة من أنهم قد يتنمرون عليها.', 'د- تشعر شياو مي بسعادة كبيرة، معتقدة أنهم سيعطونها مفاجأة.']",ب,[[ب]],Ambiguous Story Task,Belief: Beliefs based action/emotions,2
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
جيانيينج ومينغكاي هما قائدَا الفريق لكرة القدم. ما زالا يفتقدان لعضو واحد في الفريق. يمزحان بأن اللاعبين غير المختارين الآخرين هم ""أفضل اللاعبين"". بعد فترة، مينغكاي لا يتحدث، يرمش لجيانيينج، ثم ينظر إلى تاو تاو، تاو تاو هو واحد من اللاعبين غير المختارين الآخرين. مينغكاي يدير رأسه ويبتسم لجيانيينج. جيانيينج يميل رأسه، يستعد لاختيار تاو تاو للانضمام إلى فريقهم. تاو تاو يرى الرمش والابتسامة لمينغكاي وجيانيينج.
[Question]
لماذا يدير مينغكاي رأسه لينظر إلى جيانيينج ويبتسم؟
[Candidate Answers]
ا. مينغكاي وجيانيينج كان لديهما مزحة حول اختيار أعضاء الفريق قبل ذلك، مينغكاي يفكر في تلك المزحة. ب. مينغكاي يبتسم لأنه يعتقد أن تاو تاو هو أفضل لاعب موجود. ج. مينغكاي يبتسم لجيانيينج لأنهم يعرفون أنهم لا يمكنهم اختيار سوى تاو تاو. د. مينغكاي وجيانيينج لديهما خطة سرية حول تاو تاو، لذلك يبتسم.",0,"['أ- مينغكاي وجيانيينج كان لديهما مزحة حول اختيار أعضاء الفريق قبل ذلك، مينغكاي يفكر في تلك المزحة.', 'ب- مينغكاي يبتسم لأنه يعتقد أن تاو تاو هو أفضل لاعب موجود.', 'ج- مينغكاي يبتسم لجيانيينج لأنهم يعرفون أنهم لا يمكنهم اختيار سوى تاو تاو.', 'د- مينغكاي وجيانيينج لديهما خطة سرية حول تاو تاو، لذلك يبتسم.']",ب,[[ب]],Ambiguous Story Task,Intention: Intentions explanations,1
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
جيانيينج ومينجكاي هما قائدي فريق كرة القدم. ما زالا يفتقرا إلى عضو واحد في الفريق. يمزحان بأن اللاعبين غير المختارين المتبقين هم ""أفضل اللاعبين"". بعد فترة، مينجكاي لا يتحدث، يرمش لجيانيينج، ثم ينظر إلى تاو تاو، تاو تاو هو واحد من اللاعبين غير المختارين المتبقين. مينجكاي ي поворачивает رأسه ويبتسم لجيانيينج. جيانيينج يميل رأسه، يستعد لاختيار تاو تاو للانضمام إلى فريقهم. تاو تاو يرى الرمش والابتسامة لمينجكاي وجيانيينج.
[Question]
ماذا تعتقد أن تاو تاو يعتقد؟
[Candidate Answers]
ا. تاو تاو يشعر بالدهشة والارتباك. ب. تاو تاو يشعر بأنه يتم سخرية منه ولعبه. ج. تاو تاو يشعر بالاعتراف والفخر. د. تاو تاو ممتلئ بالأمل لعرض مهاراته.",0,"['أ- تاو تاو يشعر بالدهشة والارتباك.', 'ب- تاو تاو يشعر بأنه يتم سخرية منه ولعبه.', 'ج- تاو تاو يشعر بالاعتراف والفخر.', 'د- تاو تاو ممتلئ بالأمل لعرض مهاراته.']",ب,[[ب]],Ambiguous Story Task,Belief: Beliefs based action/emotions,2
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
ديهوا وسانمينغ موظفان في الشركة، يتنافسان على فرصة للترقية. اليوم هو عيد ميلاد سانمينغ، ويستمتع بكعكة عيد ميلاد صغيرة بمفرده. لينغلينج هي مشرفة الشركة، تتحدث مع ديهوا في محادثة خاصة في غرفة المؤن. يرى سانمينغ من مسافة بعيدة أن لينغلينج تسلم ديهوا وثيقة بهدوء، وبتسمة خفيفة، تهمس برفق على ظهر ديهوا، ثم تعود إلى مكتبها. ديهوا يتحقق بسرعة من الوثيقة، يظهر ابتسامة، ويضع الوثيقة بعناية في حقيبة ملفاته.
[Question]
لماذا تعطي لينغلينج ديهوا تلك الوثيقة؟
[Candidate Answers]
ا. لينغلينج تُعيد وثيقة ديهوا الشخصية التي تُركت في غرفة الاجتماعات. ب. لينغلينج تعطي ديهوا إشعارًا يوميًا غير متعلق بالترقية. ج. لينغلينج وديهوا يخططان لمفاجأة سانمينغ. د. لينغلينج تعطي ديهوا معلومات إضافية.",3,"['أ- لينغلينج تُعيد وثيقة ديهوا الشخصية التي تُركت في غرفة الاجتماعات.', 'ب- لينغلينج تعطي ديهوا إشعارًا يوميًا غير متعلق بالترقية.', 'ج- لينغلينج وديهوا يخططان لمفاجأة سانمينغ.', 'د- لينغلينج تعطي ديهوا معلومات إضافية.']",د,[[د]],Ambiguous Story Task,Intention: Intentions explanations,1
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
ديهوا وسانمين موظفان في الشركة، يتنافسان على فرصة للترقية. اليوم هو عيد ميلاد سانمين، يستمتع بكعكة عيد ميلاد صغيرة بمفرده. لينغلينج هي مشرفة الشركة، تجري محادثة خاصة مع ديهوا في غرفة المؤونة. يرى سانمين من مسافة بعيدة أن لينغلينج تسلم ديهوا وثيقة بهدوء، ومع ابتسامة، تلمس ظهر ديهوا بلطف، ثم تعود إلى مكتبها. يفحص ديهوا الوثيقة بسرعة، يظهر ابتسامة، ويضع الوثيقة بعناية في حقيبة ملفاته.
[Question]
ماذا تعتقد أن سانمين يفكر؟
[Candidate Answers]
ا. سانمين يعتقد أن كل شيء طبيعي لأن هذه هي وثيقة ديهوا. ب. سانمين يشعر بالغضب لأنه معزول. ج. سانمين يشعر بسعادة كبيرة لأن كعكته لذيذة. د. سانمين يعيد تقييم فرصته للترقية.",3,"['أ- سانمين يعتقد أن كل شيء طبيعي لأن هذه هي وثيقة ديهوا.', 'ب- سانمين يشعر بالغضب لأنه معزول.', 'ج- سانمين يشعر بسعادة كبيرة لأن كعكته لذيذة.', 'د- سانمين يعيد تقييم فرصته للترقية.']",د,[[د]],Ambiguous Story Task,Belief: Beliefs based action/emotions,2
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
يستريح شياو لي وشياو وانغ بجانب حمام السباحة في المنتجع. يرون آه زين وآه هونغ يقرآن على الكراسي الاستلقاء ليس بعيدًا، ثم يتبادلان نظرة. يدفع وانغ شياو لي بمرفقه، ويهمس بصمت ""فتيات جميلات"". يعطي شياو لي إشارة بالموافقة، ويضحكان وينظران إلى بعضهما، ثم يمشيان بحذر نحو آه زين. ترى آه زين تحركاتهم من زاوية عينها، ثم تهتمس ببضع كلمات لآه هونغ، وتشير إلى هاتفها، وتضحك. يأتي شياو لي وشياو وانغ إلى آه زين، يقدمان أنفسهما ويعبران عن رغبتهما في التعرف عليها بشكل أفضل. في هذه اللحظة، يرن هاتف آه زين فتقف للإجابة على المكالمة.
[Question]
لماذا يدفع شياو وانغ شياو لي بمرفقه؟
[Candidate Answers]
ا. شياو وانغ يريد أن يشير لي إلى الفتيات الجميلات بجانب حمام السباحة ب. شياو وانغ يريد أن يخبر شياو لي أنه وقت السباحة ج. شياو وانغ يريد أن يشير لي إلى العقبات على الأرض د. شياو وانغ يريد أن يطلب من شياو لي الذهاب والتحدث مع آه زين معًا",2,"['أ- شياو وانغ يريد أن يشير لي إلى الفتيات الجميلات بجانب حمام السباحة', 'ب- شياو وانغ يريد أن يخبر شياو لي أنه وقت السباحة', 'ج- شياو وانغ يريد أن يشير لي إلى العقبات على الأرض', 'د- شياو وانغ يريد أن يطلب من شياو لي الذهاب والتحدث مع آه زين معًا']",ب,[[ب]],Ambiguous Story Task,Intention: Intentions explanations,1
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
يستريح شياو لي وشياو وانغ بجانب حمام السباحة في المنتجع. يرون آه زن وأه هونغ يقرآن على الكراسي الاستلقاء ليس بعيدًا، ثم يتبادلان نظرة. يدفع شياو وانغ شياو لي بمرفقه، ويهمس بصمت ""فتيات جميلات"". يعطي شياو لي إشارة بالعين، يضحكان وينظران إلى بعضهما، ثم يمشيان بحذر نحو آه زن. ترى آه زن حركتهم في زاوية عينها، ثم ته whisper بضع كلمات لأه هونغ، تشير إلى هاتفها، وتبتسم. يأتي شياو لي وشياو وانغ إلى آه زن، يقدمان أنفسهما ويعبّران عن رغبتهما في التعرف عليها بشكل أفضل. في هذه اللحظة، يرن هاتف آه زن فتقف للإجابة على المكالمة.
[Question]
ما رأيك في رد فعل آه زن تجاه قدوم الاثنين؟
[Candidate Answers]
ا. تشعر آه زن بالسعادة، وتأمل في عمل صداقات جديدة ب. تشعر آه زن بالدهشة، ولا تتوقع أن يتم ملاحظتها ج. تشعر آه زن بالضيق، ولا ترغب في التفاعل معهم د. تشعر آه زن بالخجل، ولا تتوقع مقابلة رجال وسيمين",2,"['أ- تشعر آه زن بالسعادة، وتأمل في عمل صداقات جديدة', 'ب- تشعر آه زن بالدهشة، ولا تتوقع أن يتم ملاحظتها', 'ج- تشعر آه زن بالضيق، ولا ترغب في التفاعل معهم', 'د- تشعر آه زن بالخجل، ولا تتوقع مقابلة رجال وسيمين']",ب,[[ب]],Ambiguous Story Task,Belief: Beliefs based action/emotions,2
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
شاو مينغ وشاو يون هما زملاء في الصف، وهم يستعدون لمشروع جماعي. اليوم، يسمح المعلم لكل مجموعة بمشاركة تقدمهم. شاو مينغ واثق جدًا من أفكاره، وهو يستعد للمشاركة في الاجتماع. قبل بدء المناقشة، تخبر شاو يون شاو مينغ أنها يمكن أن تساعد في مشاركته لتجنب قلقه، ولا يتحدث شاو مينغ، وهم ينظرون إلى خطابه معًا. بعد بدء الاجتماع، ترفع شاو يون يدها للتحدث، موضحة أفكارها للمعلم ورئيس الصف. يجد شاو مينغ أن أفكار شاو يون تشبه أفكاره الخاصة، ويذهل لفترة. يؤكد المعلم ورئيس الصف الفكرة، وتوجه شاو يون رأسها وتعطي شاو مينغ ابتسامة. يبدو أن شاو مينغ فهم.
[Question]
لماذا تريد شاو يون مشاركة الأفكار قبل شاو مينغ؟
[Candidate Answers]
ا. شاو يون تعتقد عن طريق الخطأ نفس الفكرة مثل شاو مينغ. ب. شاو يون تريد الحصول على تقدير المعلم من خلال فكرة شاو مينغ. ج. شاو يون تعتقد أنها يمكن أن تعبر عن هذه الفكرة بوضوح أكبر من شاو مينغ. د. شاو يون قلقة من أن شاو مينغ سيكون عصبيًا، لذا تساعد في مشاركته.",2,"['أ- شاو يون تعتقد عن طريق الخطأ نفس الفكرة مثل شاو مينغ.', 'ب- شاو يون تريد الحصول على تقدير المعلم من خلال فكرة شاو مينغ.', 'ج- شاو يون تعتقد أنها يمكن أن تعبر عن هذه الفكرة بوضوح أكبر من شاو مينغ.', 'د- شاو يون قلقة من أن شاو مينغ سيكون عصبيًا، لذا تساعد في مشاركته.']",د,[[د]],Ambiguous Story Task,Intention: Intentions explanations,1
"Below is a multiple-choice question with a story and serveral answer options. Based on the content of the story and the given
question, please infer the most likely answer and output the answer index.
Note:
(1) Please only output the most likely answer index in the format: [[Answer Index]], for example, if the most likely answer
option is ‘أ. Handbag’, then output ‘[[أ]]’;
(2) You must choose one of the given answer options ‘أ, ب, ج, د’ as the most likely answer, regardless of whether the story
provides enough information. If you think there is not enough information in the story to choose an answer, please randomly
output one of “[[أ]]”, “[[ب]]”, “[[ج]]”, or “[[د]]”;
(3) Please only output the most likely answer index based on the given information, and do not output any other content.
[Story]
شاو مينغ وشاو يون هما زملاء في الصف، وهم يستعدون لمشروع جماعي. اليوم، يسمح المعلم لكل مجموعة بمشاركة تقدمها. شاو مينغ واثق جدًا من أفكاره، وهو يستعد للمشاركة في الاجتماع. قبل بدء المناقشة، تخبر شاو يون شاو مينغ أنها يمكن أن تساعد في المشاركة لتجنب شعوره بالتوتر، ولا يتحدث شاو مينغ، وهم ينظرون إلى خطابه معًا. بعد بدء الاجتماع، ترفع شاو يون يدها للتحدث، موضحة أفكارها للمعلم وقائد الصف. يجد شاو مينغ أن أفكار شاو يون مشابهة جدًا لأفكاره، ويذهل لفترة. يؤكد المعلم وقائد الصف الفكرة، وتوجه شاو يون رأسها وتعطي شاو مينغ ابتسامة. يبدو أن شاو مينغ فهم.
[Question]
كيف تعتقد أن شاو مينغ يشعر في ذلك الوقت؟
[Candidate Answers]
ا. شاو مينغ متفاجئ بسلوك شاو يون، لكنه لا يمانع. ب. شاو مينغ سعيد لأن شاو يون تحب فكرته وتشاركه. ج. شاو مينغ يشعر بالسوء عندما تُظهر شاو يون ابتسامة متغطرسة. د. شاو مينغ يشعر بالراحة لأنه لا يحب التحدث أمام الجمهور.",2,"['أ- شاو مينغ متفاجئ بسلوك شاو يون، لكنه لا يمانع.', 'ب- شاو مينغ سعيد لأن شاو يون تحب فكرته وتشاركه.', 'ج- شاو مينغ يشعر بالسوء عندما تُظهر شاو يون ابتسامة متغطرسة.', 'د- شاو مينغ يشعر بالراحة لأنه لا يحب التحدث أمام الجمهور.']",ب,[[ب]],Ambiguous Story Task,Belief: Beliefs based action/emotions,2
