index,prompt,golds,preds,raw_preds,subject,options,ABILITY
0,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: بدأ رون وظيفته الجديدة كمُهَيء المناظر الطبيعية اليوم.
الملاحظة الثانية: تم فصْل رون على الفور بسبب عدم الخضوع.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) وصف رئيس رون بأنه أحمق.
(ب) رون يتجاهل أوامر رئيسه ووصفه بأنه أحمق.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.89303166 0.10696831],أ,abductive reasoning,"['وصف رئيس رون بأنه أحمق.', 'رون يتجاهل أوامر رئيسه ووصفه بأنه أحمق.']",reasoning_ability
1,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: عاشت ساندي في نيويورك.
الملاحظة الثانية: كانت ساندي مستعدة.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) احتفلت طوال الليل.
(ب) عاصف في نيويورك.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.90249676 0.09750321],أ,abductive reasoning,"['احتفلت طوال الليل.', 'عاصف في نيويورك.']",reasoning_ability
2,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: جاءت والدة مريم إلى المنزل بمزيد من الموز مما يمكنهم أكله.
الملاحظة الثانية: كانت تلك أفضل طريقة على الإطلاق لتناول الموز!

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) لذلك صنعت مريم انقسام الأناناس للجميع.
(ب) قررت مريم ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.8903256  0.10967439],أ,abductive reasoning,"['لذلك صنعت مريم انقسام الأناناس للجميع.', 'قررت مريم ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.']",reasoning_ability
3,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان جيم يعمل على مشروع.
الملاحظة الثانية: لحسن الحظ، وجدها على رف قريب.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) جيم يحتاج إلى حيوان معين له.
(ب) وجد جيم أنه يفتقد عنصرًا.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.9011844  0.09881559],أ,abductive reasoning,"['جيم يحتاج إلى حيوان معين له.', 'وجد جيم أنه يفتقد عنصرًا.']",reasoning_ability
4,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان شان جالسًا على مكتبه.
الملاحظة الثانية: بعد دقيقة، تمكن من إعادة تجميع الكرسي.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) مال إلى الخلف أكثر من اللازم وانقلبت كرسيه.
(ب) لاحظ أن ساق الكرسي كانت تسقط.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.91935056 0.08064938],أ,abductive reasoning,"['مال إلى الخلف أكثر من اللازم وانقلبت كرسيه.', 'لاحظ أن ساق الكرسي كانت تسقط.']",reasoning_ability
5,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: بابلو يحب أكل الديدان.
الملاحظة الثانية: بابلو لا يستمتع بأكل الديدان.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) بابلو ثم تعلم ما الديدان حقا.
(ب) بابلو ظن أن الديدان مصدر لذيذ للبروتين.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.90963256 0.09036747],أ,abductive reasoning,"['بابلو ثم تعلم ما الديدان حقا.', 'بابلو ظن أن الديدان مصدر لذيذ للبروتين.']",reasoning_ability
6,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان هناك عالم يريد جمع عينات من البكتيريا.
الملاحظة الثانية: البكتيريا غير ضارة.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) جمع البكتيريا وقام بتجميدها.
(ب) جمع العالم عينات من البكتيريا واختبرها.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.91622233 0.0837777 ],أ,abductive reasoning,"['جمع البكتيريا وقام بتجميدها.', 'جمع العالم عينات من البكتيريا واختبرها.']",reasoning_ability
7,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: انضممت إلى البحرية.
الملاحظة الثانية: غضبتني ذلك كثيرًا فصفعته واعتقلتني الشرطة العسكرية.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) وصف مدربي الجندي أمّي بالبذيء.
(ب) قال لي قائد العمليات أنني لست سيئًا في عملي.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.91745466 0.0825454 ],أ,abductive reasoning,"['وصف مدربي الجندي أمّي بالبذيء.', 'قال لي قائد العمليات أنني لست سيئًا في عملي.']",reasoning_ability
8,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كانت دوتي غاضبة جدًا.
الملاحظة الثانية: شعرت بتحسن كبير بعد ذلك.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) اتصلت دوتي ببعض الأصدقاء المقربين للتحدث.
(ب) أكلت دوتي شيئًا سيئًا.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.90792334 0.09207665],أ,abductive reasoning,"['اتصلت دوتي ببعض الأصدقاء المقربين للتحدث.', 'أكلت دوتي شيئًا سيئًا.']",reasoning_ability
9,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: اشتركت أم علي لها في فصل للكاراتيه.
الملاحظة الثانية: كانت علي خجولة لدرجة أنها لم تخبر أي من صديقاتها.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) فعلت علي أداءً رهيبًا في آخر فصل لها.
(ب) لم ترغب علي في أخذ الكاراتيه.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.8960022  0.10399786],أ,abductive reasoning,"['فعلت علي أداءً رهيبًا في آخر فصل لها.', 'لم ترغب علي في أخذ الكاراتيه.']",reasoning_ability
