index,prompt,golds,preds,raw_preds,subject,options,ABILITY
0,"Given the following observations:
Observation 1: Ron started his new job as a landscaper today.
Observation 2: Ron is immediately fired for insubordination.

Which of the following hypotheses is more plausible?
(A) Ron ignores his bosses's orders and called him an idiot.
(B) Ron's boss called him an idiot.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",A,A,(A),abductive reasoning,"[""Ron ignores his bosses's orders and called him an idiot."", ""Ron's boss called him an idiot.""]",reasoning_ability
1,"Given the following observations:
Observation 1: Sandy lived in New York.
Observation 2: Sandy was prepared.

Which of the following hypotheses is more plausible?
(A) It stormed in New York.
(B) She partied all night.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",A,A,(A),abductive reasoning,"['It stormed in New York.', 'She partied all night.']",reasoning_ability
2,"Given the following observations:
Observation 1: Mary's mom came home with more bananas than they could possibly eat.
Observation 2: That was the best way ever to eat a banana!

Which of the following hypotheses is more plausible?
(A) Mary and her mom decided to make chocolate covered frozen bananas to avoid waste.
(B) So Mary made pineapple splits for everyone.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",A,A,(A),abductive reasoning,"['Mary and her mom decided to make chocolate covered frozen bananas to avoid waste.', 'So Mary made pineapple splits for everyone.']",reasoning_ability
3,"Given the following observations:
Observation 1: Jim was working on a project.
Observation 2: Luckily, he found it on a nearby shelf.

Which of the following hypotheses is more plausible?
(A) Jim found he was missing an item.
(B) Jim needed a certain animal for it.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",A,A,(A),abductive reasoning,"['Jim found he was missing an item.', 'Jim needed a certain animal for it.']",reasoning_ability
4,"Given the following observations:
Observation 1: Sean was sitting at his desk.
Observation 2: After a minute, he was able to put the chair back together.

Which of the following hypotheses is more plausible?
(A) He noticed the chair leg was falling off.
(B) He leaned too far back and his chair tipped over.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",A,B,(B),abductive reasoning,"['He noticed the chair leg was falling off.', 'He leaned too far back and his chair tipped over.']",reasoning_ability
5,"Given the following observations:
Observation 1: Pablo likes to eat worms.
Observation 2: Pablo does not enjoy eating worms.

Which of the following hypotheses is more plausible?
(A) Pablo thought that worms were a delicious source of protein.
(B) Pablo then learned what worms really are.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",B,B,(B),abductive reasoning,"['Pablo thought that worms were a delicious source of protein.', 'Pablo then learned what worms really are.']",reasoning_ability
6,"Given the following observations:
Observation 1: There was a scientist who wanted to collect bacteria samples.
Observation 2: The bacteria was non harmful.

Which of the following hypotheses is more plausible?
(A) The scientist collected samples of the bacteria and tested them.
(B) He collected the bacteria and froze it.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",A,A,(A),abductive reasoning,"['The scientist collected samples of the bacteria and tested them.', 'He collected the bacteria and froze it.']",reasoning_ability
7,"Given the following observations:
Observation 1: I joined the Navy.
Observation 2: That angered me so I hit him and was arrested by the military police.

Which of the following hypotheses is more plausible?
(A) My commanding officer told me I wasn't doing bad at my job.
(B) My drill sergeant insulted my mother.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",B,B,(B),abductive reasoning,"[""My commanding officer told me I wasn't doing bad at my job."", 'My drill sergeant insulted my mother.']",reasoning_ability
8,"Given the following observations:
Observation 1: Dotty was being very grumpy.
Observation 2: She felt much better afterwards.

Which of the following hypotheses is more plausible?
(A) Dotty ate something bad.
(B) Dotty call some close friends to chat.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",B,B,(B),abductive reasoning,"['Dotty ate something bad.', 'Dotty call some close friends to chat.']",reasoning_ability
9,"Given the following observations:
Observation 1: Ali's mom enrolled her in a karate class.
Observation 2: Ali was so embarrassed she didn't tell any of her friends.

Which of the following hypotheses is more plausible?
(A) Ali did not want to take karate.
(B) Ali did horribly in her last class.

Instructions: Answer with only the single letter (A or B) corresponding to the most plausible hypothesis.",A,A,(A),abductive reasoning,"['Ali did not want to take karate.', 'Ali did horribly in her last class.']",reasoning_ability
