input,golds,options,preds,raw_preds,subject,ABILITY,index
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Xiao Hong and Xiao Fang watch other children play on the playground. They chat about some interesting things happening on the playground and discuss going to the park together after school. Suddenly, Xiao Hong gives Xiao Fang a look and looks in the direction of the swing. Then, Xiao Hong smiles at Xiao Fang. Xiao Fang nods, and the two stand up. Xiao Mei sits on the swing and notices the interaction between Xiao Hong and Xiao Fang.

This is the end of the dialogue. Now, answer the following question.
Question: Why does Xiao Hong smile at Xiao Fang?
Options:
A. Xiao Hong smiles because she sees something interesting on the playground.
B. Xiao Hong smiles because she remembers a joke about Xiao Mei.
C. Xiao Hong smiles because she thinks it is fun to play after school.
D. Xiao Hong smiles at Xiao Fang to suggest making new friends together.
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",3,"['A. Xiao Hong smiles because she sees something interesting on the playground.', 'B. Xiao Hong smiles because she remembers a joke about Xiao Mei.', 'C. Xiao Hong smiles because she thinks it is fun to play after school.', 'D. Xiao Hong smiles at Xiao Fang to suggest making new friends together.']",D,D,Ambiguous Story Task,Intention: Intentions explanations,1
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Xiao Hong and Xiao Fang watch other children play on the playground. They chat about some interesting things happening on the playground and discuss going to the park together after school. Suddenly, Xiao Hong gives Xiao Fang a look and looks in the direction of the swing. Then, Xiao Hong smiles at Xiao Fang. Xiao Fang nods, and the two stand up. Xiao Mei sits on the swing and notices the interaction between Xiao Hong and Xiao Fang.

This is the end of the dialogue. Now, answer the following question.
Question: How do you think Xiao Mei feels?
Options:
A. Xiao Mei feels excited because she thinks Xiao Hong and Xiao Fang want to play on the swing together.
B. Xiao Mei feels curious, possibly a bit worried.
C. Xiao Mei feels a little scared, worried they will bully her.
D. Xiao Mei feels very happy, thinking they are going to give her a surprise.
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",1,"['A. Xiao Mei feels excited because she thinks Xiao Hong and Xiao Fang want to play on the swing together.', 'B. Xiao Mei feels curious, possibly a bit worried.', 'C. Xiao Mei feels a little scared, worried they will bully her.', 'D. Xiao Mei feels very happy, thinking they are going to give her a surprise.']",B,B,Ambiguous Story Task,Belief: Beliefs based action/emotions,2
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Jianning and Mingkai are the co-captains of the football team. They still lack one team member. They joke that the remaining unselected players are ""the best players"". After a while, Mingkai does not speak, winks at Jianning, and then looks at Taotao, Taotao is one of the remaining unselected players. Mingkai turns his head and smiles at Jianning. Jianning nods his head, prepares to choose Taotao to join their team. Taotao sees the wink and smile of Mingkai and Jianning.

This is the end of the dialogue. Now, answer the following question.
Question: Why does Mingkai turn his head to look at Jianning and smile?
Options:
A. Mingkai and Jianning have a joke about choosing team members before, Mingkai thinks of that joke
B. Mingkai smiles because he thinks Taotao is the best existing player.
C. Mingkai smiles at Jianning because they both know they can only choose Taotao.
D. Mingkai and Jianning have a secret plan about Taotao, so he smiles.
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",2,"['A. Mingkai and Jianning have a joke about choosing team members before, Mingkai thinks of that joke', 'B. Mingkai smiles because he thinks Taotao is the best existing player.', 'C. Mingkai smiles at Jianning because they both know they can only choose Taotao.', 'D. Mingkai and Jianning have a secret plan about Taotao, so he smiles.']",C,C,Ambiguous Story Task,Intention: Intentions explanations,1
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Jianning and Mingkai are the co-captains of the football team. They still lack one team member. They joke that the remaining unselected players are ""the best players"". After a while, Mingkai does not speak, winks at Jianning, and then looks at Taotao, Taotao is one of the remaining unselected players. Mingkai turns his head and smiles at Jianning. Jianning nods his head, prepares to choose Taotao to join their team. Taotao sees the wink and smile of Mingkai and Jianning.

This is the end of the dialogue. Now, answer the following question.
Question: What do you think Taotao thinks?
Options:
A. Taotao feels surprised and confused.
B. Taotao feels he is being teased and mocked.
C. Taotao feels he is recognized and proud.
D. Taotao is full of hope to show his skills.
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",0,"['A. Taotao feels surprised and confused.', 'B. Taotao feels he is being teased and mocked.', 'C. Taotao feels he is recognized and proud.', 'D. Taotao is full of hope to show his skills.']",A,A,Ambiguous Story Task,Belief: Beliefs based action/emotions,2
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Dehua and Sanming are company employees, they are competing for a promotion opportunity. Today is Sanming's birthday, he enjoys a small birthday cake alone. Lingling is the company supervisor, she is having a private conversation with Dehua in the pantry. Sanming sees from a distance that Lingling quietly gives Dehua a document, and with a smile, gently pats Dehua's back, then returns to her office. Dehua quickly checks the document, shows a smile, and carefully puts the document into his file bag.

This is the end of the dialogue. Now, answer the following question.
Question: Why does Lingling give Dehua that document?
Options:
A. Lingling returns Dehua's personal document left in the conference room.
B. Lingling gives Dehua a daily notice unrelated to promotion.
C. Lingling and Dehua are planning a surprise for Sanming.
D. Lingling gives Dehua extra information.
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",3,"[""A. Lingling returns Dehua's personal document left in the conference room."", 'B. Lingling gives Dehua a daily notice unrelated to promotion.', 'C. Lingling and Dehua are planning a surprise for Sanming.', 'D. Lingling gives Dehua extra information.']",D,D,Ambiguous Story Task,Intention: Intentions explanations,1
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Dehua and Sanming are company employees, they are competing for a promotion opportunity. Today is Sanming's birthday, he enjoys a small birthday cake alone. Lingling is the company supervisor, she is having a private conversation with Dehua in the pantry. Sanming sees from a distance that Lingling quietly gives Dehua a document, and with a smile, gently pats Dehua's back, then returns to her office. Dehua quickly checks the document, shows a smile, and carefully puts the document into his file bag.

This is the end of the dialogue. Now, answer the following question.
Question: What do you think Sanming thinks?
Options:
A. Sanming thinks everything is normal because that is Dehua's document.
B. Sanming feels angry because he is isolated.
C. Sanming feels very happy because his cake tastes good.
D. Sanming reevaluates his promotion opportunity.
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",3,"[""A. Sanming thinks everything is normal because that is Dehua's document."", 'B. Sanming feels angry because he is isolated.', 'C. Sanming feels very happy because his cake tastes good.', 'D. Sanming reevaluates his promotion opportunity.']",D,D,Ambiguous Story Task,Belief: Beliefs based action/emotions,2
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Xiao Li and Xiao Wang rest by the swimming pool in the resort. They see Ah Zhen and Ah Hong reading on the loungers not far away, then they exchange a look. Xiao Wang nudges Xiao Li with his elbow, silently mouthing ""pretty girls"". Xiao Li gives a wink back, they laugh and look at each other, then carefully walk towards Ah Zhen. Ah Zhen sees their movements in the corner of her eye, then whispers a few words to Ah Hong, points at her phone, and smiles. Xiao Li and Xiao Wang come to Ah Zhen, introduce themselves and express their desire to get to know her better. At this moment, Ah Zhen's phone suddenly rings, so she stands up to answer the call.

This is the end of the dialogue. Now, answer the following question.
Question: Why does Xiao Wang nudge Xiao Li with his elbow?
Options:
A. Xiao Wang wants Xiao Li to notice the beautiful girls by the pool
B. Xiao Wang wants to tell Xiao Li it is time to swim
C. Xiao Wang wants Xiao Li to notice the obstacles on the ground
D. Xiao Wang wants Xiao Li to go and chat up Ah Zhen together
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",3,"['A. Xiao Wang wants Xiao Li to notice the beautiful girls by the pool', 'B. Xiao Wang wants to tell Xiao Li it is time to swim', 'C. Xiao Wang wants Xiao Li to notice the obstacles on the ground', 'D. Xiao Wang wants Xiao Li to go and chat up Ah Zhen together']",A,A,Ambiguous Story Task,Intention: Intentions explanations,1
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Xiao Li and Xiao Wang rest by the swimming pool in the resort. They see Ah Zhen and Ah Hong reading on the loungers not far away, then they exchange a look. Xiao Wang nudges Xiao Li with his elbow, silently mouthing ""pretty girls"". Xiao Li gives a wink back, they laugh and look at each other, then carefully walk towards Ah Zhen. Ah Zhen sees their movements in the corner of her eye, then whispers a few words to Ah Hong, points at her phone, and smiles. Xiao Li and Xiao Wang come to Ah Zhen, introduce themselves and express their desire to get to know her better. At this moment, Ah Zhen's phone suddenly rings, so she stands up to answer the call.

This is the end of the dialogue. Now, answer the following question.
Question: What do you think is Ah Zhen's reaction to the two coming over?
Options:
A. Ah Zhen feels happy, hoping to make new friends
B. Ah Zhen feels surprised, not expecting to be pursued
C. Ah Zhen feels a bit troubled, not wanting to interact with them
D. Ah Zhen feels shy, not expecting to meet handsome guys
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",2,"['A. Ah Zhen feels happy, hoping to make new friends', 'B. Ah Zhen feels surprised, not expecting to be pursued', 'C. Ah Zhen feels a bit troubled, not wanting to interact with them', 'D. Ah Zhen feels shy, not expecting to meet handsome guys']",B,B,Ambiguous Story Task,Belief: Beliefs based action/emotions,2
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Xiao Ming and Xiao Yun are classmates, they prepare a group project. Today, the teacher lets each group share their progress. Xiao Ming is very confident in his ideas, he prepares to share at the meeting. Before the discussion starts, Xiao Yun tells Xiao Ming that she can help him share to avoid his nervousness, Xiao Ming does not speak, they look at Xiao Ming's speech together. After the meeting starts, Xiao Yun raises her hand to speak, showing her ideas to the teacher and the class leader. Xiao Ming finds that Xiao Yun's ideas are very similar to his own, and he is stunned for a while. The teacher and the class leader both affirm this idea, Xiao Yun turns her head and gives Xiao Ming a smile. Xiao Ming seems to understand.

This is the end of the dialogue. Now, answer the following question.
Question: Why does Xiao Yun want to share ideas before Xiao Ming?
Options:
A. Xiao Yun accidentally thinks of the same idea as Xiao Ming.
B. Xiao Yun wants to get the teacher's appreciation through Xiao Ming's idea.
C. Xiao Yun thinks she can express this idea more clearly than Xiao Ming.
D. Xiao Yun worries that Xiao Ming will be nervous, so she helps him share.
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",1,"['A. Xiao Yun accidentally thinks of the same idea as Xiao Ming.', ""B. Xiao Yun wants to get the teacher's appreciation through Xiao Ming's idea."", 'C. Xiao Yun thinks she can express this idea more clearly than Xiao Ming.', 'D. Xiao Yun worries that Xiao Ming will be nervous, so she helps him share.']",D,D,Ambiguous Story Task,Intention: Intentions explanations,1
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:
{BackStory}

BackStory: Xiao Ming and Xiao Yun are classmates, they prepare a group project. Today, the teacher lets each group share their progress. Xiao Ming is very confident in his ideas, he prepares to share at the meeting. Before the discussion starts, Xiao Yun tells Xiao Ming that she can help him share to avoid his nervousness, Xiao Ming does not speak, they look at Xiao Ming's speech together. After the meeting starts, Xiao Yun raises her hand to speak, showing her ideas to the teacher and the class leader. Xiao Ming finds that Xiao Yun's ideas are very similar to his own, and he is stunned for a while. The teacher and the class leader both affirm this idea, Xiao Yun turns her head and gives Xiao Ming a smile. Xiao Ming seems to understand.

This is the end of the dialogue. Now, answer the following question.
Question: How do you think Xiao Ming feels at that time?
Options:
A. Xiao Ming is surprised at Xiao Yun's behavior, but does not mind.
B. Xiao Ming is happy that Xiao Yun likes his idea and shares it.
C. Xiao Ming feels unhappy when Xiao Yun shows a smug smile.
D. Xiao Ming feels relieved because he does not like to speak in public.
When asked to choose from options like 'A','B','C','D' your response must be only the single character representing your choice. Do not include any introductory phrases (e.g., 'Here's the answer:', 'I choose:'), explanations, or any other text before or after the selected character. For example, if the correct answer is  'B', your entire output should be just  'B'",2,"[""A. Xiao Ming is surprised at Xiao Yun's behavior, but does not mind."", 'B. Xiao Ming is happy that Xiao Yun likes his idea and shares it.', 'C. Xiao Ming feels unhappy when Xiao Yun shows a smug smile.', 'D. Xiao Ming feels relieved because he does not like to speak in public.']",C,C,Ambiguous Story Task,Belief: Beliefs based action/emotions,2
