index,prompt,golds,preds,raw_preds,subject,options,ABILITY
0,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: بدأ رون وظيفته الجديدة كمُهَيء المناظر الطبيعية اليوم.
الملاحظة الثانية: تم فصْل رون على الفور بسبب عدم الخضوع.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) وصف رئيس رون بأنه أحمق.
(ب) رون يتجاهل أوامر رئيسه ووصفه بأنه أحمق.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.9635035  0.03649652],أ,abductive reasoning,"['وصف رئيس رون بأنه أحمق.', 'رون يتجاهل أوامر رئيسه ووصفه بأنه أحمق.']",reasoning_ability
1,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: عاشت ساندي في نيويورك.
الملاحظة الثانية: كانت ساندي مستعدة.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) احتفلت طوال الليل.
(ب) عاصف في نيويورك.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.9594672  0.04053282],أ,abductive reasoning,"['احتفلت طوال الليل.', 'عاصف في نيويورك.']",reasoning_ability
2,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: جاءت والدة مريم إلى المنزل بمزيد من الموز مما يمكنهم أكله.
الملاحظة الثانية: كانت تلك أفضل طريقة على الإطلاق لتناول الموز!

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) لذلك صنعت مريم انقسام الأناناس للجميع.
(ب) قررت مريم ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.9689613  0.03103873],أ,abductive reasoning,"['لذلك صنعت مريم انقسام الأناناس للجميع.', 'قررت مريم ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.']",reasoning_ability
3,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان جيم يعمل على مشروع.
الملاحظة الثانية: لحسن الحظ، وجدها على رف قريب.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) جيم يحتاج إلى حيوان معين له.
(ب) وجد جيم أنه يفتقد عنصرًا.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.96958756 0.0304124 ],أ,abductive reasoning,"['جيم يحتاج إلى حيوان معين له.', 'وجد جيم أنه يفتقد عنصرًا.']",reasoning_ability
4,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان شان جالسًا على مكتبه.
الملاحظة الثانية: بعد دقيقة، تمكن من إعادة تجميع الكرسي.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) مال إلى الخلف أكثر من اللازم وانقلبت كرسيه.
(ب) لاحظ أن ساق الكرسي كانت تسقط.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.9626596  0.03734041],أ,abductive reasoning,"['مال إلى الخلف أكثر من اللازم وانقلبت كرسيه.', 'لاحظ أن ساق الكرسي كانت تسقط.']",reasoning_ability
5,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: بابلو يحب أكل الديدان.
الملاحظة الثانية: بابلو لا يستمتع بأكل الديدان.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) بابلو ثم تعلم ما الديدان حقا.
(ب) بابلو ظن أن الديدان مصدر لذيذ للبروتين.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,[0.9576745  0.04232556],أ,abductive reasoning,"['بابلو ثم تعلم ما الديدان حقا.', 'بابلو ظن أن الديدان مصدر لذيذ للبروتين.']",reasoning_ability
6,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان هناك عالم يريد جمع عينات من البكتيريا.
الملاحظة الثانية: البكتيريا غير ضارة.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) جمع البكتيريا وقام بتجميدها.
(ب) جمع العالم عينات من البكتيريا واختبرها.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.96231735 0.0376826 ],أ,abductive reasoning,"['جمع البكتيريا وقام بتجميدها.', 'جمع العالم عينات من البكتيريا واختبرها.']",reasoning_ability
7,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: انضممت إلى البحرية.
الملاحظة الثانية: غضبتني ذلك كثيرًا فصفعته واعتقلتني الشرطة العسكرية.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) وصف مدربي الجندي أمّي بالبذيء.
(ب) قال لي قائد العمليات أنني لست سيئًا في عملي.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,[0.97169894 0.028301  ],أ,abductive reasoning,"['وصف مدربي الجندي أمّي بالبذيء.', 'قال لي قائد العمليات أنني لست سيئًا في عملي.']",reasoning_ability
8,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كانت دوتي غاضبة جدًا.
الملاحظة الثانية: شعرت بتحسن كبير بعد ذلك.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) اتصلت دوتي ببعض الأصدقاء المقربين للتحدث.
(ب) أكلت دوتي شيئًا سيئًا.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,[0.97028774 0.02971227],أ,abductive reasoning,"['اتصلت دوتي ببعض الأصدقاء المقربين للتحدث.', 'أكلت دوتي شيئًا سيئًا.']",reasoning_ability
9,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: اشتركت أم علي لها في فصل للكاراتيه.
الملاحظة الثانية: كانت علي خجولة لدرجة أنها لم تخبر أي من صديقاتها.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) فعلت علي أداءً رهيبًا في آخر فصل لها.
(ب) لم ترغب علي في أخذ الكاراتيه.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.973332   0.02666801],أ,abductive reasoning,"['فعلت علي أداءً رهيبًا في آخر فصل لها.', 'لم ترغب علي في أخذ الكاراتيه.']",reasoning_ability
10,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: هربت صرخة من شفتي كوري.
الملاحظة الثانية: عندما عاد إلى المنزل، التف حول نفسه في كرة في الزاوية وبدأ يبكي.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) هرب كوري من المنزل بأسرع ما يمكن.
(ب) كان كوري يتعرض للتنمر من قبل بعض الأطفال في فصله.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.9772783  0.02272166],أ,abductive reasoning,"['هرب كوري من المنزل بأسرع ما يمكن.', 'كان كوري يتعرض للتنمر من قبل بعض الأطفال في فصله.']",reasoning_ability
11,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: يلعب العديد من الشباب في فرقة الموسيقى أثناء الدراسة.
الملاحظة الثانية: دينيس يحب فرقته الموسيقية ويستمتع بترفيه الجماهير.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) دينيس كان عضوا لمدة عشر ثوان.
(ب) ذهب الناس لمشاهدة الفرقة تعزف.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.9616171  0.03838287],أ,abductive reasoning,"['دينيس كان عضوا لمدة عشر ثوان.', 'ذهب الناس لمشاهدة الفرقة تعزف.']",reasoning_ability
12,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: دب أرادت الذهاب للتسوق.
الملاحظة الثانية: وجدت كل ما تحتاجه وكان لديها نقود اضافية.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) كانت دب لديها الكثير من القسائم.
(ب) ذهبت دب إلى فيلم بعد الظهر بدلاً من ذلك.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,[0.96394336 0.03605661],أ,abductive reasoning,"['كانت دب لديها الكثير من القسائم.', 'ذهبت دب إلى فيلم بعد الظهر بدلاً من ذلك.']",reasoning_ability
13,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: عمل ابن عمي كوري في المطار.
الملاحظة الثانية: هو الآن يقضي عقوبته.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) تم القبض عليه لمكافحة السرقة من الركاب.
(ب) سرق كوري من المطار.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.96388066 0.0361193 ],أ,abductive reasoning,"['تم القبض عليه لمكافحة السرقة من الركاب.', 'سرق كوري من المطار.']",reasoning_ability
14,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: أراد دانييل شراء طائرة لعبة، لكنه لم يكن لديه أي مال.
الملاحظة الثانية: اشترى دانييل طائرته اللعبة، وواصل العمل حتى يتمكن من شراء أخرى!

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) بقي دانييل في المنزل ولم يرغب في شراء طائرة.
(ب) فتح دانييل محلاً لبيع الليمون.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,[0.9539382  0.04606182],أ,abductive reasoning,"['بقي دانييل في المنزل ولم يرغب في شراء طائرة.', 'فتح دانييل محلاً لبيع الليمون.']",reasoning_ability
15,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: ضربت جينا الوزن بشدة في صالة الألعاب الرياضية.
الملاحظة الثانية: أخذت حمامًا باردًا لتخفيف ألمها.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) شدت جينا عضلة أثناء رفع الأثقال.
(ب) توقف ألم رقبتها بسبب هذا.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,[0.9627303  0.03726967],أ,abductive reasoning,"['شدت جينا عضلة أثناء رفع الأثقال.', 'توقف ألم رقبتها بسبب هذا.']",reasoning_ability
