index,prompt,golds,preds,raw_preds,subject,options,ABILITY
0,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: بدأ رون وظيفته الجديدة كمنسق حدائق اليوم.
الملاحظة الثانية: تم فصل رون على الفور بسبب العصيان.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) تجاهل رون أوامر رئيسه ونعته بالأحمق.
(ب) نعت رئيس رون رون بالأحمق.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,أ,أ,abductive reasoning,"['تجاهل رون أوامر رئيسه ونعته بالأحمق.', 'نعت رئيس رون رون بالأحمق.']",reasoning_ability
1,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: عاشت ساندي في نيويورك.
الملاحظة الثانية: كانت ساندي مستعدة.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) عاصفة ضربت في نيويورك.
(ب) احتفلت هي كل الليل.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,أ,أ,abductive reasoning,"['عاصفة ضربت في نيويورك.', 'احتفلت هي كل الليل.']",reasoning_ability
2,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: عادت والدة ماري إلى المنزل بالموز أكثر مما يمكنهم تناوله على الإطلاق.
الملاحظة الثانية: كانت هذه أفضل طريقة لتناول الموز على الإطلاق!

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) قررت ماري ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.
(ب) لذا صنعت ماري اناناس مقسم للجميع.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,أ,أ,abductive reasoning,"['قررت ماري ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.', 'لذا صنعت ماري اناناس مقسم للجميع.']",reasoning_ability
3,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان جيم يعمل على مشروع.
الملاحظة الثانية: لحسن الحظ، وجده على رف قريب.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) اكتشف جيم أنه يفتقد عنصرًا ما.
(ب) كان جيم بحاجة إلى حيوان معين من أجله.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,أ,أ,abductive reasoning,"['اكتشف جيم أنه يفتقد عنصرًا ما.', 'كان جيم بحاجة إلى حيوان معين من أجله.']",reasoning_ability
4,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان شون جالسًا على مكتبه.
الملاحظة الثانية: بعد دقيقة، تمكن من إعادة تجميع الكرسي معًا.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) لاحظ أن ساق الكرسي كانت تسقط.
(ب) مال للخلف أكثر من اللازم وانقلب كرسيه.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,ب,ب,abductive reasoning,"['لاحظ أن ساق الكرسي كانت تسقط.', 'مال للخلف أكثر من اللازم وانقلب كرسيه.']",reasoning_ability
5,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: بابل يحب أكل الديدان.
الملاحظة الثانية: بابل لا يستمتع بأكل الديدان.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ظن بابل أن الديدان مصدر لذيذ للبروتين.
(ب) ثم تعلم بابل ما هي الديدان حقًا.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,ب,ب,abductive reasoning,"['ظن بابل أن الديدان مصدر لذيذ للبروتين.', 'ثم تعلم بابل ما هي الديدان حقًا.']",reasoning_ability
6,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان هناك عالم يريد جمع عينات من البكتيريا.
الملاحظة الثانية: لم تكن البكتيريا ضارة.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) جمع العالم عينات من البكتيريا وقام باختبارها.
(ب) قام بجمع البكتيريا وتجميدها.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,أ,أ,abductive reasoning,"['جمع العالم عينات من البكتيريا وقام باختبارها.', 'قام بجمع البكتيريا وتجميدها.']",reasoning_ability
7,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: لقد انضممت إلى البحرية.
الملاحظة الثانية: هذا أغضبني لدرجة أنني ضربته وتم اعتقالي من قبل الشرطة العسكرية.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أخبرني ضابطي القائد أنني لم أكن أدي أدائي بشكل سيء في عملي.
(ب) إهان مدربي أمي.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,أ,أ,abductive reasoning,"['أخبرني ضابطي القائد أنني لم أكن أدي أدائي بشكل سيء في عملي.', 'إهان مدربي أمي.']",reasoning_ability
8,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كانت دوتي متذمرة جدًا.
الملاحظة الثانية: شعرت بتحسن كبير بعد ذلك.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أكلت دوتي شيئًا سيئًا.
(ب) اتصلت دوتي ببعض الأصدقاء المقربين للدردشة.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",ب,ب,ب,abductive reasoning,"['أكلت دوتي شيئًا سيئًا.', 'اتصلت دوتي ببعض الأصدقاء المقربين للدردشة.']",reasoning_ability
9,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: أم علي سجلتها في فصل الكاراتيه.
الملاحظة الثانية: كانت علي خجلة لدرجة أنها لم تخبر أيًا من أصدقائها.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) علي لا تريد أن تتعلم الكاراتيه.
(ب) أدت علي بشكل سيء للغاية في درسها الأخير.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,أ,أ,abductive reasoning,"['علي لا تريد أن تتعلم الكاراتيه.', 'أدت علي بشكل سيء للغاية في درسها الأخير.']",reasoning_ability
10,"بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: خرجت شهقة من شفتي كوري.
الملاحظة الثانية: عندما وصل إلى المنزل، تجمع في كرة في الزاوية وبكى.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) كان كوري يسخر منه بعض الأطفال في فصله الدراسي.
(ب) فر كوري من المنزل بأسرع ما يمكن.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",أ,أ,أ,abductive reasoning,"['كان كوري يسخر منه بعض الأطفال في فصله الدراسي.', 'فر كوري من المنزل بأسرع ما يمكن.']",reasoning_ability
