question,option_a,option_b,option_c,option_d,answer
"Some Cantonese don't like chili, so some southerners don't like chili.
Which of the following can guarantee the above argument?",Some Cantonese love chili,Some people who like peppers are southerners,All Cantonese are southerners,Some Cantonese like neither peppers nor sweets,c
"According to ""God Creation"", God created the earth on the first day, the moon on the second day, and the sun on the third day.
Which of the following assertions is not the meaning of the above-mentioned creation theory?",Celestial planets come one after another,"Regarding the meaning of ""one day"", God has the same understanding and use with us",At least there was no sun for the first two days of the earth's existence.,"Without the sun and in darkness, God also can work",b
"The tobacco industry has a lot of money, and it is expected to continue to do so.Last year, the total amount of tobacco sold by American tobacco farmers increased significantly, but the number of smokers in the country continued to decline.
If the following are true, they can be the reason for the above phenomenon, except:",More women start smoking this year than men who have quit,People who continue to smoke consume more tobacco than in previous years,The number of people who started smoking grass or taking snuff this year is more than the number who have given up smoking.,More cigarettes produced in the U.S.are exported to other countries this year than last year,a
"In a restaurant, all the dishes belong to Sichuan cuisine or Cantonese cuisine, and Mr.Zhang's order includes Sichuan cuisine.Therefore, there is no Cantonese cuisine in Mr.Zhang's order.
Which of the following is necessary to make the above argument valid?","The restaurant stipulates that when you order Cantonese food, you cannot order Sichuan food and vice versa","The restaurant rules that if you order Sichuan food, you can not order Cantonese food, but when you order Cantonese food, you must also order Sichuan food",Mr.Zhang is from Sichuan and only likes Sichuan cuisine,"Mr.Zhang is a Cantonese, and he likes Cantonese food",a
"Wife: I heard that eating fish can make people smart.Husband: How is this possible? Mr.Lu Xun is not a fan of fish because eatting fish takes too much time.Nie Weiping prefers fish head, but if he only eats fish heads for three meals a day, he will never be such smart on the chessboard.
The husband's rebuttal actually questioned which of the following assertions?","If you don't eat fish, you won't be smart",It is not only eating fish that makes you smart,"If anyone eats fish, he can be smart","Only eat fish or eat fish alone, people will be smart",d
"Some people think that in recent years, a large number of rural people have flowed into cities to work, which has caused chaos in the urban social order and a decline in public security.It can be said that allowing rural people to flow into cities is harmful and unhelpful.Therefore, we should clear out the rural population in the city and limit its employment in the city.
Which of the following, if true, would best refute the above view?",The influx of a large number of rural people has made urban roads crowded,The influx of rural population into the city is beneficial to both the countryside and the city; it can not only make up for the shortage of urban labour but also accelerate the development of China's rural economy and improve the quality of the rural population,"In fact, the main offender of many major vicious cases is rural people who work in cities",Too much migrant population causes worsening urban health,b
"In 995, Chinese players won a total of 103 world championships in major global sports competitions, creating 57 world records, the highest in history.In 1995, only 15% of the high school students who entered the university in China had physical examinations qualified.
Therefore, the correct conclusion we can draw is that in 1995,?",China has become a world sports power,Only 15% of high school students in China advance to college,China's competitive sports have reached the highest point in history,College entrance physical examination standards have been raised.,c
"6 people A.B, C, D, E, F participated in a final game.Before the match, there were 3 guesses.First, the champion is either A or B.Second, the champion is C or D.Third, D, E, F never probably be the champion.Only one of the three was correct after the match.
So who is the champion?",A is the champion,B is the champion,C is the champion,D is the champion,d
"Mr.Zhang's class has 120 students, half male and half female.80 students like math, and 100 students like Chinese.
Which of the following extrapolation based on the above information may be correct.",40 boys like mathematics but not Chinese,40 boys who like Chinese do not like math,60 girls who like Chinese do not like math,Only 10 of the 60 boys who like mathematics like Chinese,b
"Some people think that if a country can operate its economy efficiently, it will be able to create wealth and become rich: and if such a country wants to maintain political stability, the wealth it creates must be distributed fairly; the fair distribution of wealth will end economic risks; however, the existence of risks is an indispensable prerequisite for the efficient operation of the economy.
Which conclusion can be drawn from the above viewpoints?",Political stability and economic wealth cannot coexist in a country,Political stability and economic efficiency cannot coexist in a country,The economic operations of a rich country must be effective,A politically unstable country must be full of economic risks,b
"Traditional Chinese medicine is the pride of many Chinese people, but recently a signature campaign called ""Cancel Traditional Chinese Medicine"" initiated by experts believes that ""Chinese medicine"" does not actively seek progress and is not a rational and scientific medicine; it abuses natural resources; it is heartless and unjust, and deceive patients.""
It can be deduced from this phenomenon that.","The efficacy of traditional Chinese medicine can not be questioned, so the cancellation of traditional Chinese medicine is just arrogant",People do not understand and have no confidence in traditional Chinese culture and traditional medicine,"Although the efficacy of traditional Chinese medicine is unquestionable, the remarks to some extent reflect some of the difficulties that traditional Chinese medicine is currently facing",Such statements are purely personal prejudice and are not worth mentioning,b
