observation_1,observation_2,hypothesis_1,hypothesis_2,label
بدأ رون وظيفته الجديدة كمُهَيء المناظر الطبيعية اليوم.,تم فصْل رون على الفور بسبب عدم الخضوع.,رون يتجاهل أوامر رئيسه ووصفه بأنه أحمق.,وصف رئيس رون بأنه أحمق.,1
عاشت ساندي في نيويورك.,كانت ساندي مستعدة.,عاصف في نيويورك.,احتفلت طوال الليل.,1
جاءت والدة مريم إلى المنزل بمزيد من الموز مما يمكنهم أكله.,كانت تلك أفضل طريقة على الإطلاق لتناول الموز!,قررت مريم ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.,لذلك صنعت مريم انقسام الأناناس للجميع.,1
كان جيم يعمل على مشروع.,لحسن الحظ، وجدها على رف قريب.,وجد جيم أنه يفتقد عنصرًا.,جيم يحتاج إلى حيوان معين له.,1
كان شان جالسًا على مكتبه.,بعد دقيقة، تمكن من إعادة تجميع الكرسي.,لاحظ أن ساق الكرسي كانت تسقط.,مال إلى الخلف أكثر من اللازم وانقلبت كرسيه.,1
بابلو يحب أكل الديدان.,بابلو لا يستمتع بأكل الديدان.,بابلو ظن أن الديدان مصدر لذيذ للبروتين.,بابلو ثم تعلم ما الديدان حقا.,2
كان هناك عالم يريد جمع عينات من البكتيريا.,البكتيريا غير ضارة.,جمع العالم عينات من البكتيريا واختبرها.,جمع البكتيريا وقام بتجميدها.,1
انضممت إلى البحرية.,غضبتني ذلك كثيرًا فصفعته واعتقلتني الشرطة العسكرية.,قال لي قائد العمليات أنني لست سيئًا في عملي.,وصف مدربي الجندي أمّي بالبذيء.,2
كانت دوتي غاضبة جدًا.,شعرت بتحسن كبير بعد ذلك.,أكلت دوتي شيئًا سيئًا.,اتصلت دوتي ببعض الأصدقاء المقربين للتحدث.,2
اشتركت أم علي لها في فصل للكاراتيه.,كانت علي خجولة لدرجة أنها لم تخبر أي من صديقاتها.,لم ترغب علي في أخذ الكاراتيه.,فعلت علي أداءً رهيبًا في آخر فصل لها.,1
هربت صرخة من شفتي كوري.,عندما عاد إلى المنزل، التف حول نفسه في كرة في الزاوية وبدأ يبكي.,كان كوري يتعرض للتنمر من قبل بعض الأطفال في فصله.,هرب كوري من المنزل بأسرع ما يمكن.,1
يلعب العديد من الشباب في فرقة الموسيقى أثناء الدراسة.,دينيس يحب فرقته الموسيقية ويستمتع بترفيه الجماهير.,ذهب الناس لمشاهدة الفرقة تعزف.,دينيس كان عضوا لمدة عشر ثوان.,1
دب أرادت الذهاب للتسوق.,وجدت كل ما تحتاجه وكان لديها نقود اضافية.,ذهبت دب إلى فيلم بعد الظهر بدلاً من ذلك.,كانت دب لديها الكثير من القسائم.,2
عمل ابن عمي كوري في المطار.,هو الآن يقضي عقوبته.,سرق كوري من المطار.,تم القبض عليه لمكافحة السرقة من الركاب.,1
أراد دانييل شراء طائرة لعبة، لكنه لم يكن لديه أي مال.,اشترى دانييل طائرته اللعبة، وواصل العمل حتى يتمكن من شراء أخرى!,فتح دانييل محلاً لبيع الليمون.,بقي دانييل في المنزل ولم يرغب في شراء طائرة.,1
ضربت جينا الوزن بشدة في صالة الألعاب الرياضية.,أخذت حمامًا باردًا لتخفيف ألمها.,توقف ألم رقبتها بسبب هذا.,شدت جينا عضلة أثناء رفع الأثقال.,2
كانت وقت الغداء و كات جائعة .,كات وزملاؤها استمتعوا بوجبة غداء لطيفة في الخارج .,كات ذهبت لتحصل على سلطة .,كات قررت أن تأخذ قيلولة بدلاً من الأكل .,1
كسمو كان قطًا سمينًا.,الآن هو لائق وعضلي!,أعطاه صاحبه طعامًا للقطط يحتوي على نسبة أقل من الدهون.,وضع الطبيب البيطري كسمو على جهاز الجري.,1
كان تيم كشافًا، وذهب في العديد من رحلات التخييم مع أصدقائه.,في النهاية، كان على تيم أن يعود إلى المنزل بدون أي جوارب.,أصبح تيم مريضًا جدًا في أحد الأيام.,لم يستطع تيم العثور على جواره.,2
في يوم من الأيام اشترى آدم مسدسات بي بي اثنين.,أخذ آدم المسدس من كريستيان.,شعر أخو آدم كريستيان بالخوف من المسدسات.,أمسك كريستيان بالممسدس وأطلق النار على آدم في العين.,2
صديقي هو صياد.,لم يتم العثور على الأيل في أي مكان.,وضعت كمينًا للصيد في الغابة.,وجد صديقي الذي هو صياد الكثير من الأيل.,1
دخلت إلى صف الرياضيات الخاص بي.,انتهى بي الأمر إلى الرسوب.,رأيت الخيط بجانب الباب.,لم أدرس للاختبار.,2
في عام 1989، بدأت شركتنا في استخدام أجهزة الكمبيوتر الشخصية.,عندما حصلت على جهاز الكمبيوتر الشخصي الخاص بها لاحقًا، لم تكن تعرف كيفية استخدامه.,اشترينا لجدة المالك جهاز كمبيوتر شخصي جديد.,مؤسستنا راشيل تستخدم فقط جهاز الكمبيوتر الشخصي.,1
مريم لا تحب الطقس البارد.,على الأقل حتى تتمكن من تحمل تكاليف الانتقال إلى ولاية أكثر دفئًا.,ترتدي مريم سترتين.,بدا أن الطقس البارد توقف لمدة شهرين.,1
كانت إيمي وأصدقاؤها خارج المكان في الساعة 3 صباحًا.,ظلوا هناك يتنفسون بصعوبة، ويصلون بأنهم لم يتم رؤيتهم.,بدؤوا يلاحقهم شرطي، فجروا، واختبأوا خلف مبنى.,قرروا اقتحام ملعب كرة القدم. وفجأة رأوا ضوء كشاف قادم نحوهِم. بدؤوا جميعًا بالجري نحو المدرجات.,2
أبو بوب جعلوه تحت العقوبة.,عاد بوب إلى المنزل ولكن والديه لم يعرفوا حتى أنه غادر.,تم القبض على بوب وهو يتسلل للخروج.,هرب بوب من العقوبة وهو يتسلل للخروج.,2
عملت إيمي في غرفة المخزون في مارشالز.,قررت إيمي أنها ستدفع نفسها لتلبية حصتها الجديدة.,فازت إيمي بجائزة لمقدار العمل الذي أنجزته ومنحها نفس الحصة.,قال رئيس إيمي إنها تحتاج إلى فعل المزيد.,2
كان جيسون معجبًا دائمًا بالحركات السريعة للملاكمين الذين يراهم في التلفزيون.,فاز جيسون في أول نزاع له بالضربة القاضية.,لم يترك إلهامه يضيع، لقد درب ودرب.,تعلم جيسون الحياكة.,1
حاولت إيرين تعلم الرسم.,لذلك انضمت إلى فصل الرسم.,مارست إيرين الرسم في المنزل دون جدوى.,مارست إيرين الرسم في المنزل وأصبحت معروفة بموهبتها.,1
قرر جون سرقة سيارة شرطة.,ذهب جون إلى السجن لمدة ثلاث سنوات.,تحطمت سيارة الشرطة التي يقودها جون في عمود هاتف.,لم يتم القبض على جون.,1
كنت أؤجل الدراسة دوماً.,الآن، لا أؤجل الدراسة أبداً.,فشلت في اختبار كبير.,بعد الحصول على درجة جيدة، تعلمت درسًا سهلاً.,1
كره يعقوب الذهاب إلى المدرسة.,تمكن يعقوب من شراء شاحنة مستعملة لنفسه بعد 5 أشهر من التوفير.,قرر يعقوب شراء سيارة لنفسه.,لم يستطع يعقوب تحمل تكاليف السيارة.,1
ذهب روي إلى الحديقة لمشاهدة لعبة البيسبول للدرجة الصغيرة.,طوّرت الفريق الزائر مشاكل أداء نتيجة لذلك.,صرخ باللاعبين عند كل هوم ران.,جعل روي الفريق الآخر غير مرتاح.,2
بدأ ستان يشعر بالمرض في المدرسة يومًا ما.,تعافى ستان أخيرًا لكنه قال إنه يريد الحصول على لقاح الإنفلونزا من الآن فصاعدًا.,كان ستان خارج المدرسة لمدة أسبوع بسبب آلام المعدة.,أرسلت ممرضة المدرسة ستان إلى المنزل من المدرسة.,2
ليزا وتيم كانا متزوجين لفترة طويلة.,نجحت.,ذهبت ليزا وتيم إلى عيادة الخصوبة للحصول على الحمل.,قرروا تجربة النصيحة الواردة في كتاب عن العزف على الجيتار.,1
آدم يحب أكل الساندويتش عندما يشرب.,آدم اختنق حتى الموت لأنه نسي أن يزيل غلاف الجبن.,صنع آدم لنفسه ساندويتش باستخدام الخبز، الديك الرومي، وشريحة من الجبن الأمريكي.,صنع آدم لنفسه ساندويتش pb&j .,1
كان توم يرسم سوره.,ترك توم سوره نصف مرسوم.,تعب توم من الرسم بعد أن انتهى.,سمع توم أن هناك لعبة كانت قائمة وغادر.,2
أماي قررت الانتقال من ويسكونسن إلى فلوريدا.,ومع ذلك كانت التجربة ليست ممتعة بدون أصدقائها.,ستكون مع أصدقائها هناك.,أماي أرادت أن تعيش بالقرب من الشاطئ.,2
أراد روجر أن يلعب التنس كما يلعب روجر فيدرر.,لم يخبر أحد روجر أن كل كراته لم تهبط في الملعب.,نام روجر متأخرًا و استرخى معظم اليوم.,حاول روجر لكنه لم يكن جيدًا مثل معبوده.,2
كانت لدى جولي زميل في العمل يدعى باري كان يحب أن يسبب المشاكل للآخرين.,كانت جولي شديدة الإحراج.,لم يخبر باري أحدًا أن جولي ت farted.,ضحك باري على بنطال جولي الذي لم يتم سحبه.,2
قرر بوب الذهاب للمشي في غابات إندونيسيا.,كما نسي بوب حذائه.,توقف بوب في منتصف المسار لأنّه لم يكن بحوزته رذاذ الحشرات.,توقف بوب في منتصف رحلته لربط حذائه.,1
