index,prompt,golds,preds,raw_preds,subject,options,ABILITY
0,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

الأمريكيون السود أكثر عرضة للإصابة بارتفاع ضغط الدم بمرتين من الأمريكيين البيض. وينطبق الأمر نفسه عند مقارنة الأفارقة السود ذوي الأصول الغربية بالأفارقة البيض. افترض الباحثون أن سبب إصابة السود ذوي الأصول الغربية بارتفاع ضغط الدم هو نتيجة تفاعل سببين: الأول هو ارتفاع نسبة الملح في الأطعمة الغربية، والثاني هو آلية تكيف الجينات الوراثية للسود مع البيئة التي تفتقر إلى الملح. إذا كانت الاستنتاجات التالية حول السود الأفارقة ذوي الأصول الغربية المعاصرين صحيحة، فهل تدعم فرضية الباحثين على أفضل وجه؟
أ- إن ضغط الدم لدى أحفاد السنغاليين والغامبيين ليس مرتفعًا عادةً، ولم يكن تاريخ السنغال وغامبيا خاليًا من الملح.
ب- إن تناول كميات كبيرة من الملح بشكل غير عادي في بعض أجزاء من أفريقيا يشكل مشكلة خطيرة تهدد صحة السكان.
ج- وفيما يتعلق بالرعاية الصحية، يولي معظم البيض الأفارقة اهتماما أيضا بالسيطرة على تناول الملح.
د- إن ضغط الدم لدى شعب اليوروبا في غرب أفريقيا ليس مرتفعًا. لقد عاش شعب اليوروبا في الداخل بعيدًا عن ملح البحر وبعيدًا عن منجم ملح الصحراء في أفريقيا.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,أ,أ,logical reasoning,"['إن ضغط الدم لدى أحفاد السنغاليين والغامبيين ليس مرتفعًا عادةً، ولم يكن تاريخ السنغال وغامبيا خاليًا من الملح.', 'إن تناول كميات كبيرة من الملح بشكل غير عادي في بعض أجزاء من أفريقيا يشكل مشكلة خطيرة تهدد صحة السكان.', 'وفيما يتعلق بالرعاية الصحية، يولي معظم البيض الأفارقة اهتماما أيضا بالسيطرة على تناول الملح.', 'إن ضغط الدم لدى شعب اليوروبا في غرب أفريقيا ليس مرتفعًا. لقد عاش شعب اليوروبا في الداخل بعيدًا عن ملح البحر وبعيدًا عن منجم ملح الصحراء في أفريقيا.']",deductive_reasoning
1,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

إن حظر الإعلان عن السجائر في وسائل الإعلام العامة لا يقلل من عدد الشباب المدخنين، لأنهم يعرفون منذ زمن طويل أن هناك سجائر في العالم، وماركات مختلفة معروفة، ويعرفون أين يحصلون عليها. فهم لا يحتاجون إلى إعلانات لتقديم هذه المعلومات. إذا كان ما يلي صحيحًا، فهل يُضعف الحجة المذكورة أعلاه أكثر؟
أ- إن مشاهدة الإعلانات أو الاستماع إليها قد يزيد من رغبة الشخص في الحصول على مثل هذه المنتجات.
ب- إن حظر إعلانات السجائر في وسائل الإعلام العامة من شأنه أن يؤدي إلى انتشار أشكال أخرى من إعلانات السجائر.
ج- يعد الإعلان عن السجائر في وسائل الإعلام العامة من النفقات الكبرى لشركات التبغ.
د- لقد أعلن المناهضون للتدخين في وسائل الإعلام العامة ضد التدخين منذ البداية.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,أ,أ,logical reasoning,"['إن مشاهدة الإعلانات أو الاستماع إليها قد يزيد من رغبة الشخص في الحصول على مثل هذه المنتجات.', 'إن حظر إعلانات السجائر في وسائل الإعلام العامة من شأنه أن يؤدي إلى انتشار أشكال أخرى من إعلانات السجائر.', 'يعد الإعلان عن السجائر في وسائل الإعلام العامة من النفقات الكبرى لشركات التبغ.', 'لقد أعلن المناهضون للتدخين في وسائل الإعلام العامة ضد التدخين منذ البداية.']",deductive_reasoning
2,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

ثلاثة طلاب دوليين يجلسون جنبًا إلى جنب على المقعد. هل تعلم؟ (١) على الأقل واحد من الشخصين على يمين الطالب السوداني طالب فرنسي. (٢) يوجد أيضًا طالب فرنسي بين الشخصين على يسار الطالب الفرنسي. (٣) على الأقل واحد من الشخصين على يسار الشاب فتاة. (٤) أحد الشخصين على يمين الفتاة فتاة أيضًا. فهل الحكم التالي صحيح لهؤلاء الأشخاص الثلاثة؟
أ- بنات سودانيات وشباب فرنسيين.شباب فرنسيين.
ب- أولاد سودانيون، أولاد فرنسيون، بنات فرنسيات.
ج- فتيات سودانيات، فتيات فرنسيات، فتيات فرنسيات.
د- فتيات سودانيات، فتيات فرنسيات، أولاد فرنسيون.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,د,logical reasoning,"['بنات سودانيات وشباب فرنسيين.شباب فرنسيين.', 'أولاد سودانيون، أولاد فرنسيون، بنات فرنسيات.', 'فتيات سودانيات، فتيات فرنسيات، فتيات فرنسيات.', 'فتيات سودانيات، فتيات فرنسيات، أولاد فرنسيون.']",deductive_reasoning
3,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

شياو وانغ، شياو لي، وشياو تشانغ سيتسلقون الجبل. توقعت الأرصاد الجوية هطول أمطار اليوم. واحتدم الجدل حول توقعات الطقس بين ثلاثة أشخاص. شياو وانغ؟ &quot;قد تمطر اليوم. هذا لا يعني أنها قد تمطر اليوم أو قد لا تمطر. لنذهب للمشي.&quot; شياو لي؟ &quot;قد تمطر اليوم، مما يعني أنها ستمطر اليوم. لن نذهب للتسلق.&quot; شياو تشانغ؟ &quot;قد تمطر اليوم. هذا يعني ببساطة أنه ليس عليك اتخاذ قرار بشأن هطول المطر لتسلق الجبل اليوم.&quot; فهم توقعات الطقس، من أصل ثلاثة أشخاص.
أ- شياو وانغ وشياو تشانغ صحيحان، لكن شياو لي مخطئ.
ب- شياو وانغ صحيح، شياو لي وشياو تشانغ غير صحيحين.
ج- شياو لي على حق، شياو وانغ وشياو تشانغ على خطأ.
د- شياو تشانغ صحيح، شياو وانغ وشياو لي غير صحيحين.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,أ,أ,logical reasoning,"['شياو وانغ وشياو تشانغ صحيحان، لكن شياو لي مخطئ.', 'شياو وانغ صحيح، شياو لي وشياو تشانغ غير صحيحين.', 'شياو لي على حق، شياو وانغ وشياو تشانغ على خطأ.', 'شياو تشانغ صحيح، شياو وانغ وشياو لي غير صحيحين.']",deductive_reasoning
4,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

كثير ممن يسمون أنفسهم معلمين هم في الواقع ليسوا كذلك، لأن التدريس ليس مصدر دخلهم الرئيسي. هل تفترض المناقشة السابقة الاستنتاج التالي؟
أ- إن دخل التدريس لا يستطيع توفير الحياة الطبيعية للمعلمين.
ب- يفتقر العديد من الأشخاص الذين يطلق عليهم المعلمون إلى المعرفة والمهارات المهنية المؤهلة.
ج- إن حجم الدخل هو مقياس لمدى قيمة المهنة في المجتمع.
د- لا يمكن أن يطلق على الشخص لقب كاتب إلا إذا كانت الكتابة هي المصدر الرئيسي لدخله. والوضع هو نفسه بالنسبة للمهن الأخرى.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,د,logical reasoning,"['إن دخل التدريس لا يستطيع توفير الحياة الطبيعية للمعلمين.', 'يفتقر العديد من الأشخاص الذين يطلق عليهم المعلمون إلى المعرفة والمهارات المهنية المؤهلة.', 'إن حجم الدخل هو مقياس لمدى قيمة المهنة في المجتمع.', 'لا يمكن أن يطلق على الشخص لقب كاتب إلا إذا كانت الكتابة هي المصدر الرئيسي لدخله. والوضع هو نفسه بالنسبة للمهن الأخرى.']",deductive_reasoning
5,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعات بكين، وتسينغهوا، وبكين للمعلمين. في أي الجامعات تم قبولهم؟ خمّن الطلاب ما يلي: خمن زميل الدراسة أ: تم قبول تشاو مينغ في جامعة تسينغهوا، وسون جيه في جامعة بكين للمعلمين. خمن الطالب ب: تم ​​قبول تشاو مينغ في جامعة بكين للمعلمين، وتشيان هونغ في جامعة تسينغهوا. خمن الطالب ج: تم قبول تشاو مينغ في جامعة بكين، وسون جيه في جامعة تسينغهوا. ونتيجة لذلك، كانت تخمينات الطلاب صحيحة بنسبة ضئيلة. حسنًا، حالة قبولهم هي:
أ- تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعة بكين، وجامعة تسينغهوا، وجامعة بكين للمعلمين على التوالي.
ب- تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعة تسينغهوا، وجامعة بكين العادية، وجامعة بكين على التوالي.
ج- تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعة بكين للمعلمين، وجامعة تسينغهوا، وجامعة بكين على التوالي.
د- تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعة بكين، وجامعة بكين العادية، وجامعة تسينغهوا على التوالي.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,أ,أ,logical reasoning,"['تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعة بكين، وجامعة تسينغهوا، وجامعة بكين للمعلمين على التوالي.', 'تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعة تسينغهوا، وجامعة بكين العادية، وجامعة بكين على التوالي.', 'تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعة بكين للمعلمين، وجامعة تسينغهوا، وجامعة بكين على التوالي.', 'تم قبول تشاو مينغ، وتشيان هونغ، وسون جيه في جامعة بكين، وجامعة بكين العادية، وجامعة تسينغهوا على التوالي.']",deductive_reasoning
6,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

اقترح أحدهم على مدير مصنع ملابس استبدال ماكينة الخياطة بخيط خياطة كبير، مما يوفر عليك عناء إيقاف الخيط كثيرًا لتغييره، مما يُقلل من تكاليف العمالة. يُحدد هذا الاقتراح العناصر التالية مسبقًا.
أ- خيط الخياطة الكبير ليس قويا مثل البوق.
ب- يعتمد المصنع نظام الأجور بالساعة وليس نظام الأجور بالقطعة.
ج- لا تحتاج ماكينة الخياطة إلى إيقاف تشغيلها لإجراء الصيانة والفحص الدوري.
د- لا يجوز للعاملين مغادرة الماكينة أثناء العمل.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",ب,ب,ب,logical reasoning,"['خيط الخياطة الكبير ليس قويا مثل البوق.', 'يعتمد المصنع نظام الأجور بالساعة وليس نظام الأجور بالقطعة.', 'لا تحتاج ماكينة الخياطة إلى إيقاف تشغيلها لإجراء الصيانة والفحص الدوري.', 'لا يجوز للعاملين مغادرة الماكينة أثناء العمل.']",deductive_reasoning
7,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

اشترى لاو لي ساعة، فوجد أن وقتها أسرع بدقيقتين من ساعة الحائط في المنزل كل ساعة. قارن لاو لي أيضًا ساعة الحائط في المنزل بالوقت القياسي الذي نشرته محطة الراديو، فوجد أن وقتها أبطأ بدقيقتين من الوقت القياسي كل ساعة. ما هو التقييم والتفسير الأكثر دقة للمنطق المذكور أعلاه؟
أ- هذا المنطق صحيح. لأن الساعة أسرع من ساعة الحائط بدقيقتين وساعة الحائط أبطأ من الوقت القياسي بدقيقتين، وبالتالي فإن الساعة والوقت القياسي هما الشيء نفسه.
ب- هذه النظرية خاطئة. لأن ساعة الحائط أبطأ بدقيقتين من الوقت القياسي، هاتان الدقيقتان هما الوقت القياسي؛ الساعة أسرع بدقيقتين من ساعة الحائط، وهاتان الدقيقتان ليستا وقتًا قياسيًا. لذلك، فإن الساعة والوقت القياسي غير متسقين.
ج- هذا المنطق خاطئ، لأنه لا ينبغي مقارنة الساعة بساعة الحائط، بل يجب مقارنتها مباشرة بالوقت القياسي.
د- هذا المنطق خاطئ، لأن المقارنة بين الساعة وساعة الحائط والوقت القياسي للراديو لا تتم في نفس الوقت.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",ب,أ,أ,logical reasoning,"['هذا المنطق صحيح. لأن الساعة أسرع من ساعة الحائط بدقيقتين وساعة الحائط أبطأ من الوقت القياسي بدقيقتين، وبالتالي فإن الساعة والوقت القياسي هما الشيء نفسه.', 'هذه النظرية خاطئة. لأن ساعة الحائط أبطأ بدقيقتين من الوقت القياسي، هاتان الدقيقتان هما الوقت القياسي؛ الساعة أسرع بدقيقتين من ساعة الحائط، وهاتان الدقيقتان ليستا وقتًا قياسيًا. لذلك، فإن الساعة والوقت القياسي غير متسقين.', 'هذا المنطق خاطئ، لأنه لا ينبغي مقارنة الساعة بساعة الحائط، بل يجب مقارنتها مباشرة بالوقت القياسي.', 'هذا المنطق خاطئ، لأن المقارنة بين الساعة وساعة الحائط والوقت القياسي للراديو لا تتم في نفس الوقت.']",deductive_reasoning
8,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

سُرق بنك، ويُشتبه في احتجاز أربعة أشخاص، أ. ب. و ج.، للمحاكمة. أظهرت نتائج التحقيق أن المجرم واحد منهم. قال أ.: &quot;كان بينغيو&quot;. قال ب.: &quot;لم أسرق&quot;. قال ني. قال دينغ: &quot;لم أسرق&quot;. قال ني: &quot;إذا لم يسرق ب، فأنا من سرق&quot;. وقد تأكد الآن أن واحدًا منهم فقط يكذب. بناءً على ما سبق، هل يمكن إثبات ما يلي؟
أ- الجزء الأول.
ب- نسخة واحدة.
ج- يغلق.
د- دينغ يسرق.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,أ,أ,logical reasoning,"['الجزء الأول.', 'نسخة واحدة.', 'يغلق.', 'دينغ يسرق.']",deductive_reasoning
9,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

إن توزيع التقارير الإقليمية في المقاطعة (أ) هو 10 أضعاف توزيع التقارير الإقليمية في المقاطعة (ب). وبالتالي، فإن الناس في المقاطعة (أ) أكثر اهتمامًا بالأخبار الحالية من الناس في المقاطعة (ب). والخلاصة التالية هي أنه إذا كان هذا صحيحًا، فهل يمكن إضعاف الحجة المذكورة أعلاه إلى أقصى حد؟
أ- يبلغ عدد سكان المقاطعة (أ) 10% من سكان المقاطعة (ب).
ب- مساحة المقاطعة (أ) هي 5 أضعاف مساحة المقاطعة (ب).
ج- يتم بيع الصحف الإقليمية لمقاطعة (أ) بشكل رئيسي في مقاطعات أخرى.
د- يتم بيع الصحف الإقليمية للمقاطعة (أ) بشكل رئيسي في المقاطعة (ب).

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,ج,ج,logical reasoning,"['يبلغ عدد سكان المقاطعة (أ) 10% من سكان المقاطعة (ب).', 'مساحة المقاطعة (أ) هي 5 أضعاف مساحة المقاطعة (ب).', 'يتم بيع الصحف الإقليمية لمقاطعة (أ) بشكل رئيسي في مقاطعات أخرى.', 'يتم بيع الصحف الإقليمية للمقاطعة (أ) بشكل رئيسي في المقاطعة (ب).']",deductive_reasoning
