index,prompt,golds,preds,raw_preds,reasoning_consistency_heuristic,subject,options,ABILITY
0,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
الأمريكيون السود أكثر عرضة للإصابة بارتفاع ضغط الدم مرتين مقارنة بالأمريكيين البيض. وينطبق الشيء نفسه عند مقارنة الأفارقة السود المتغربين بالأفارقة البيض. افترض الباحثون أن السبب وراء معاناة السود المتغربين من ارتفاع ضغط الدم هو نتيجة تفاعل سببين؛ أحدهما هو ارتفاع محتوى الملح في الأطعمة الغربية، والآخر هو آلية تكيف الجينات السوداء مع البيئة التي تعاني من نقص الملح.
الاستنتاجات التالية حول الأفارقة السود المتغربين المعاصرين، إذا كان البند صحيحًا، فهل يمكن أن يدعم فرضية الباحثين على أفضل وجه؟

الاستنتاجات المحتملة (الخيارات):
أ- ضغط الدم لنسل السنغاليين والغامبيين عادة لا يكون مرتفعاً، وتاريخ السنغال وغامبيا لم يفتقر إلى الملح.
ب- تناول كميات ملح عالية بشكل غير معتاد في أجزاء معينة من إفريقيا هو مشكلة خطيرة تهدد صحة السكان.
ج- وبالنظر إلى الرعاية الصحية، يهتم معظم البيض الأفارقة أيضًا بالتحكم في تناول الملح.
د- ضغط الدم لشعب اليوروبا في غرب إفريقيا ليس مرتفعًا. عاش شعب اليوروبا في الداخل بعيدًا عن ملح البحر وبعيدًا عن منجم ملح الصحراء الكبرى في إفريقيا.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",أ,د,د,Reasoning_absent_or_too_short,logical reasoning,"['ضغط الدم لنسل السنغاليين والغامبيين عادة لا يكون مرتفعاً، وتاريخ السنغال وغامبيا لم يفتقر إلى الملح.', 'تناول كميات ملح عالية بشكل غير معتاد في أجزاء معينة من إفريقيا هو مشكلة خطيرة تهدد صحة السكان.', 'وبالنظر إلى الرعاية الصحية، يهتم معظم البيض الأفارقة أيضًا بالتحكم في تناول الملح.', 'ضغط الدم لشعب اليوروبا في غرب إفريقيا ليس مرتفعًا. عاش شعب اليوروبا في الداخل بعيدًا عن ملح البحر وبعيدًا عن منجم ملح الصحراء الكبرى في إفريقيا.']",deductive_reasoning
1,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
حظر الإعلانات عن السجائر في وسائل الإعلام لا يقلل من عدد الشباب الذين يدخنون، لأنهم يعرفون منذ فترة طويلة أن هناك سجائر في العالم، ويعرفون مختلف العلامات التجارية للسجائر، ويعرفون من أين يحصلون عليها. فهم لا يحتاجون إلى الإعلانات لتوفير هذه المعلومات.
ما يلي، إذا كان صحيحا، يمكن أن يضعف الحجة أعلاه أكثر؟

الاستنتاجات المحتملة (الخيارات):
أ- مشاهدة الإعلانات أو الاستماع إليها يمكن أن يزيد رغبة الشخص في الحصول على مثل هذه المنتجات.
ب- حظر إعلانات السجائر على وسائل الإعلام العامة سيؤدي إلى انتشار أشكال أخرى من إعلانات السجائر.
ج- الإعلانات عن السجائر في وسائل الإعلام العامة هي نفقات كبيرة لشركات التبغ.
د- روج المعادون للتدخين في وسائل الإعلام العامة ضد التدخين منذ البداية.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",أ,د,د,Reasoning_absent_or_too_short,logical reasoning,"['مشاهدة الإعلانات أو الاستماع إليها يمكن أن يزيد رغبة الشخص في الحصول على مثل هذه المنتجات.', 'حظر إعلانات السجائر على وسائل الإعلام العامة سيؤدي إلى انتشار أشكال أخرى من إعلانات السجائر.', 'الإعلانات عن السجائر في وسائل الإعلام العامة هي نفقات كبيرة لشركات التبغ.', 'روج المعادون للتدخين في وسائل الإعلام العامة ضد التدخين منذ البداية.']",deductive_reasoning
2,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
ثلاثة طلاب دوليين يجلسون جنبًا إلى جنب على المقعد.هل تعرف بالفعل؟ (1)  على الأقل واحد من بين الشخصين على يمين الطالب السوداني هو طالب فرنسي.(2) هناك أيضًا طالب فرنسي بين الشخصين على يسار الطالب الفرنسي.(3) على الأقل واحد من بين الشخصين على يسار الصبي هو فتاة.(4) واحد من بين الشخصين على يمين الفتاة هو أيضًا فتاة.
لذا، بالنسبة لهذه الأشخاص الثلاثة، هل الحكم التالي صحيح؟

الاستنتاجات المحتملة (الخيارات):
أ- فتيات سودانيات وفتيان فرنسيون. فتيان فرنسيون.
ب- أولاد سودانيون، أولاد فرنسيون، بنات فرنسيات.
ج- فتيات سودانيات، فتيات فرنسيات، فتيات فرنسيات.
د- فتيات سودانيات، فتيات فرنسيات، أولاد فرنسيون.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",د,د,د,Reasoning_absent_or_too_short,logical reasoning,"['فتيات سودانيات وفتيان فرنسيون. فتيان فرنسيون.', 'أولاد سودانيون، أولاد فرنسيون، بنات فرنسيات.', 'فتيات سودانيات، فتيات فرنسيات، فتيات فرنسيات.', 'فتيات سودانيات، فتيات فرنسيات، أولاد فرنسيون.']",deductive_reasoning
3,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
شاو وانغ، شاو لي وشاو زانغ سيذهبون للتسلق على الجبل.تنبؤات الطقس قالت أنه قد تمطر اليوم.حول تنبؤات الطقس، الثلاثة أشخاص يجادلون.شاو وانغ؟ ""قد تمطر اليوم.هذا لا يستبعد اليوم أو قد لا تمطر.دعونا نذهب في رحلة المشي لمسافات طويلة.شاو لي؟"" قد تمطر اليوم، وهذا يعني أنه سيكون هناك مطر اليوم.دعونا لا نذهب للتسلق.""شاو زانغ؟"" قد تمطر اليوم.هذا يعني فقط أنه ليس من الضروري أن تقرر ما إذا كان المطر أو لا للتسلق على الجبل اليوم.""
فهم توقعات الطقس، من بين ثلاثة أشخاص

الاستنتاجات المحتملة (الخيارات):
أ- سياو وانغ وسياو زانغ على حق، لكن سياو لي غير صحيح.
ب- شاو وانغ على حق، شاو لي و شاو زانغ على خطأ.
ج- شاو لي محق، بينما شاو وانغ وشاو زانغ على خطأ.
د- شاو زانغ على حق، شاو وانغ وشاو لي على خطأ.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",أ,د,د,Reasoning_absent_or_too_short,logical reasoning,"['سياو وانغ وسياو زانغ على حق، لكن سياو لي غير صحيح.', 'شاو وانغ على حق، شاو لي و شاو زانغ على خطأ.', 'شاو لي محق، بينما شاو وانغ وشاو زانغ على خطأ.', 'شاو زانغ على حق، شاو وانغ وشاو لي على خطأ.']",deductive_reasoning
4,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
كثير من الناس الذين يسمون أنفسهم بالمعلمين ليسوا في الواقع معلمين ، لأن التدريس ليس مصدر دخلهم الرئيسي.
يفترض المناقشة أعلاه الاستنتاج التالي؟

الاستنتاجات المحتملة (الخيارات):
أ- دخل التدريس لا يمكن أن ي维持 الحياة الطبيعية للمدرسين.
ب- الكثير من الأشخاص الذين يسمون بالمعلمين يفتقرون إلى المعرفة والمهارات المهنية المؤهلة.
ج- مقدار الدخل هو مقياس لمدى تقدير المجتمع للمهنة.
د- لا يمكن أن يسمى الشخص كاتبًا ما لم تكن الكتابة هي المصدر الرئيسي لدخل الفرد. الوضع هو نفسه بالنسبة للمهن الأخرى.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",د,د,د,Reasoning_absent_or_too_short,logical reasoning,"['دخل التدريس لا يمكن أن ي维持 الحياة الطبيعية للمدرسين.', 'الكثير من الأشخاص الذين يسمون بالمعلمين يفتقرون إلى المعرفة والمهارات المهنية المؤهلة.', 'مقدار الدخل هو مقياس لمدى تقدير المجتمع للمهنة.', 'لا يمكن أن يسمى الشخص كاتبًا ما لم تكن الكتابة هي المصدر الرئيسي لدخل الفرد. الوضع هو نفسه بالنسبة للمهن الأخرى.']",deductive_reasoning
5,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
Zhao Ming و Qian Hong و Sun Jie تم قبولهم في جامعة بكين، وجامعة تسينغ - هاو، وجامعة بكين الطبيعية. إلى أي الجامعات تم قبولهم؟ قام الطلاب بالتخمينات التالية؟ التخمين لزميل A؟ تم قبول Zhao Ming في جامعة تسينغ - هاو وتم قبول Sun Jie في جامعة بكين الطبيعية. التخمين لزميل B؟ تم قبول Zhao Ming في جامعة بكين الطبيعية، وتم قبول Qian Hong في جامعة تسينغ - هاو. التخمين لزميل C؟ تم قبول Zhao Ming في جامعة بكين، وتم قبول Sun Jie في جامعة تسينغ - هاو. نتيجة لذلك، كانت تخمينات الطلاب نصف صحيحة.
حسناً، حالة قبولهم هي

الاستنتاجات المحتملة (الخيارات):
أ- تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين وجامعة Tsinghua وجامعة Beijing Normal على التوالي.
ب- تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة Tsinghua و جامعة بكين العادية و جامعة بكين على التوالي.
ج- تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين العادية وجامعة Tsinghua وجامعة بكين على التوالي.
د- تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين، وجامعة نورمال بكين، وجامعة تسينغهوا على التوالي.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",أ,د,د,Reasoning_absent_or_too_short,logical reasoning,"['تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين وجامعة Tsinghua وجامعة Beijing Normal على التوالي.', 'تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة Tsinghua و جامعة بكين العادية و جامعة بكين على التوالي.', 'تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين العادية وجامعة Tsinghua وجامعة بكين على التوالي.', 'تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين، وجامعة نورمال بكين، وجامعة تسينغهوا على التوالي.']",deductive_reasoning
6,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
اقترح شخص ما على مدير مصنع للملابس استبدال آلة الخياطة بخيط خياطة كبير، حتى لا تضطر إلى إيقاف الخيط في كثير من الأحيان لتغيير الخيط، مما يساعد في تقليل تكاليف العمالة.
هذا الاقتراح يفترض  البنود التالية؟

الاستنتاجات المحتملة (الخيارات):
أ- خيط الخياطة الكبير ليس بقوة البوق.
ب- ينفذ المصنع نظام الأجور بالساعة، وليس نظام الأجور بالقطعة.
ج- لا تحتاج آلة الخياطة إلى إيقاف التشغيل للصيانة الدورية والتفتيش.
د- لا يُسمح للمشغلين بمغادرة الآلة أثناء العمل.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",ب,د,د,Reasoning_absent_or_too_short,logical reasoning,"['خيط الخياطة الكبير ليس بقوة البوق.', 'ينفذ المصنع نظام الأجور بالساعة، وليس نظام الأجور بالقطعة.', 'لا تحتاج آلة الخياطة إلى إيقاف التشغيل للصيانة الدورية والتفتيش.', 'لا يُسمح للمشغلين بمغادرة الآلة أثناء العمل.']",deductive_reasoning
7,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
اشترى لاو لي ساعة ووجد أن وقت الساعة كان أسرع بدقيقتين من ساعة الحائط في المنزل كل ساعة. كما قارن لاو لي ساعة الحائط في المنزل بالوقت القياسي الذي نشرته محطة الراديو، ووجد أن وقت ساعة الحائط كان أبطأ بدقيقتين من الوقت القياسي كل ساعة.
البند التالي هو التقييم الأكثر دقة والتعليل للمنطق أعلاه؟

الاستنتاجات المحتملة (الخيارات):
أ- هذا المنطق صحيح. لأن الساعة تكون أسرع من ساعة الحائط بدقيقتين وساعة الحائط أبطأ من الوقت القياسي بدقيقتين، تكون الساعة والوقت القياسي متطابقين.
ب- هذه النظرية خاطئة. لأن ساعة الحائط أبطأ بـ 2 دقيقة من التوقيت القياسي، وهاتان الدقيقتان هما توقيت قياسي؛ والساعة أسرع بـ 2 دقيقة من ساعة الحائط، وهاتان الدقيقتان ليستا توقيت قياسي. لذلك، الساعة والتوقيت القياسي غير متسقين.
ج- هذا المنطق خاطئ. لأن الساعة لا ينبغي مقارنتها بساعة الحائط، ولكن ينبغي مقارنتها مباشرة بالوقت القياسي.
د- هذا المنطق خاطئ. لأن مقارنة الساعة وساعة الحائط والتوقيت القياسي للإذاعة لا يتم في نفس الوقت.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",ب,أ,أ,Reasoning_absent_or_too_short,logical reasoning,"['هذا المنطق صحيح. لأن الساعة تكون أسرع من ساعة الحائط بدقيقتين وساعة الحائط أبطأ من الوقت القياسي بدقيقتين، تكون الساعة والوقت القياسي متطابقين.', 'هذه النظرية خاطئة. لأن ساعة الحائط أبطأ بـ 2 دقيقة من التوقيت القياسي، وهاتان الدقيقتان هما توقيت قياسي؛ والساعة أسرع بـ 2 دقيقة من ساعة الحائط، وهاتان الدقيقتان ليستا توقيت قياسي. لذلك، الساعة والتوقيت القياسي غير متسقين.', 'هذا المنطق خاطئ. لأن الساعة لا ينبغي مقارنتها بساعة الحائط، ولكن ينبغي مقارنتها مباشرة بالوقت القياسي.', 'هذا المنطق خاطئ. لأن مقارنة الساعة وساعة الحائط والتوقيت القياسي للإذاعة لا يتم في نفس الوقت.']",deductive_reasoning
8,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
تم سرقة أحد البنوك، واشتبه في أربعة أشخاص، أ، ب، ج، د، واحتجزوا للمحاكمة. أظهرت نتائج التحقيقات أن المجرم هو واحد منهم. قال أ: ""كان ب هو من قام بالسرقة"". قال ب: ""لم أقم بالسرقة"". قال ج: ""لم أقم بالسرقة"". قال د: ""إذا لم يقم ب بالسرقة، فأنا من قمت بالسرقة"". وقد تأكد الآن أن واحدًا منهم فقط يكذب.
 بناءً على الشروط المذكورة أعلاه، هل يمكن إثبات ما يلي؟

الاستنتاجات المحتملة (الخيارات):
أ- الجزء الأول.
ب- نسخة واحدة.
ج- ج مغلق.
د- دينغ يسرق.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",د,د,د,Reasoning_absent_or_too_short,logical reasoning,"['الجزء الأول.', 'نسخة واحدة.', 'ج مغلق.', 'دينغ يسرق.']",deductive_reasoning
9,"أنت خبير في logical reasoning.
حلل مشكلة الاستدلال الاستنباطي المعطاة وحدد أي استنتاج يتبع منطقيًا من المقدمات.

المقدمات/السؤال:
تداول التقارير الإقليمية في المقاطعة أ هو 10 أضعاف تداول التقارير الإقليمية في المقاطعة ب. لذلك، الناس في المقاطعة أ أكثر قلقا بشأن الأخبار الحالية من الناس في المقاطعة ب.
ما يلي يستنتج أنه إذا كان صحيحا، فإن الحجة أعلاه يمكن أن تُضعف أكثر؟

الاستنتاجات المحتملة (الخيارات):
أ- عدد سكان المقاطعة أ هو 10% من عدد سكان المقاطعة ب.
ب- مساحة المقاطعة أ هي 5 أضعاف مساحة المقاطعة ب.
ج- الصحف الإقليمية للمقاطعة أ تباع أساسا في المقاطعات الأخرى.
د- الصحف الإقليمية للمقاطعة أ تباع في المقام الأول في المقاطعة ب.

التعليمات:
١. اقرأ بعناية المقدمات (في السؤال) وكل استنتاج محتمل (في الخيارات).
٢. لكل خيار، حلل ارتباطه المنطقي بالمقدمات. حدد ما إذا كان يتبع بالضرورة، بافتراض أن المقدمات صحيحة.
٣. حدد أي مغالطات منطقية أو خطوات استنباطية سليمة لكل خيار.
٤. قدم تفكيرك خطوة بخطوة لتقييم كل خيار مقابل المقدمات.
٥. اختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الاستنتاج الصحيح.",د,د,د,Reasoning_absent_or_too_short,logical reasoning,"['عدد سكان المقاطعة أ هو 10% من عدد سكان المقاطعة ب.', 'مساحة المقاطعة أ هي 5 أضعاف مساحة المقاطعة ب.', 'الصحف الإقليمية للمقاطعة أ تباع أساسا في المقاطعات الأخرى.', 'الصحف الإقليمية للمقاطعة أ تباع في المقام الأول في المقاطعة ب.']",deductive_reasoning
