observation_1,observation_2,hypothesis_1,hypothesis_2,label
ذهب تشاد ليقيس محاذاة العجلات في سيارته.,قدم الميكانيكي محاذاة تعمل مع أعمال هيكلية جديدة.,كان تشاد ينتظر غسل سيارته.,كان تشاد ينتظر انتهاء سيارته.,2
تشاد يحب باري بوندز.,تشاد تأكد من أنه التقط صورة لتذكر الحدث.,تشاد تمكن من مقابلة باري بوندز عبر الإنترنت، الدردشة.,تشاد تمكن من مقابلة باري بوندز.,2
تشاد يحب باري بوندز.,تشاد تأكد من التقاط صورة لتذكر الحدث.,تشاد رأى باري بوندز في كوم-أيكون.,تشاد فاتته الرحلة إلى كوم-أيكون.,1
اشترى هومر شواية غاز للموسم الصيفي.,قاموا بشوي الستيك لأول مرة على الشواية.,كان حقًا يتوق إلى عشاء الستيك.,كان هومر يتوق حقًا إلى عشاء السباغيتي.,1
كانت برينا وأنا أفضل صديقتين.,لم نتحدث مرة أخرى.,كان لبرينا وأنا حفل كبير.,كانت هناك مشكلة كبيرة بين برينا وبيني.,2
كانت برينا وأنا أفضل صديقتين.,لم نتحدث مرة أخرى.,لم نتشاجر برينا وأنا أبدًا بسبب فتى.,تشاجرت برينا وأنا بسبب فتى.,2
اشترى جوش طائر الباروت كحيوان أليف.,كان جوش متحمسًا لدرجة أنه علم طائر الباروت كيفية قول اسمه!,أدرك جوش أن الباروت يستطيع التحدث!.,أدرك جوش أن الباروت كان أخرس.,1
اشترى جوش طائر الباروت كحيوان أليف.,كان جوش متحمسًا لدرجة أنه علم طائر الباروت كيفية قول اسمه!,كرر طائر الباروت تحية جوش الصباحية.,كرر جوش تحية طائر الباروت الصباحية.,1
قامت آيريس بتوظيف جليسة أطفال لابنتها.,نتيجة لذلك اضطرت آيريس إلى البقاء في المنزل.,مرضت ابنة آيريس.,شعرت ابنة آيريس بصحة جيدة.,1
أيريس استأجرت جليسة أطفال لابنتها.,نتيجة لذلك اضطرت أيريس إلى البقاء في المنزل.,ألغت جليسة الأطفال في اللحظة الأخيرة.,ظهرت جليسة الأطفال في اللحظة الأخيرة.,1
وفر هارفي وعائلته المال لقضاء عطلة.,مطرت بشدة، اضطرت العائلة إلى العودة إلى المنزل.,لم يفكر هارفي في التحقق من ملصقات واقي الشمس.,لم يفكر هارفي في التحقق من توقعات الطقس.,2
وفر هارفي وعائلته المال لقضاء عطلة.,مطرت بشدة، اضطرت العائلة إلى العودة إلى المنزل.,قررت عائلته الذهاب إلى الشاطئ.,قررت عائلته الذهاب إلى الفضاء.,1
كان ستيفن في حفل.,فحصه لكنه كان معطلاً تمامًا.,كسر ستيفن جهاز كمبيوتر جاك عن طريق الخطأ أثناء الشرب.,خطا ستيفن على سترة جاك عن طريق الخطأ أثناء غسل الملابس.,1
كانت سامانثا دائمًا أجمل فتاة في المدرسة.,فازت سامانثا في النهاية بجائزة America's Next Top Model.,قبلت سامانثا في America's Next Top Model.,لم تستطع سامانثا الحصول على مكان في America's Next Top Model.,1
كانت سامانثا دائمًا أجمل فتاة في المدرسة.,انتهى الأمر بفوز سامانثا بمسابقة America's Next Top Model.,حافظت سامانثا على لياقتها ودراستها.,حافظت سامانثا على أخبارها ومكياجها.,1
كان الولد يحب سرد القصص المخيفة.,جعلته يتوقف عن سرد الخرافات.,تخيل الولد أخوف قصة يعرفها.,سرد الولد أخوف قصة يعرفها.,2
كان على توم غسل الأطباق.,أدرك أنه لم يقم بعمل جيد في غسل الأطباق.,اشتكى العملاء من أنهم قدموا أطباقًا نظيفة.,اشتكى العملاء من أنهم قدموا أطباقًا قذرة.,2
كان على توم غسل الأطباق.,أدرك أنه لم يقم بعمل جيد في غسل الأطباق.,كان من الصعب على توم تجفيف الأطباق.,لم يكن لدى توم أي مشكلة في تجفيف الأطباق.,1
كانت قطة ديبي عالقة في شجرة البلوط العملاقة.,سمع صقرهم وطار بالقرب، خطف القطة من الشجرة.,لم تصنع ديبي ضجة في محاولة لإنزال القطة.,صنعت ديبي ضجة في محاولة لإنزال القطة.,2
كانت قطة ديبي عالقة في شجرة البلوط العملاقة.,سمع صقر نداءهم وطار بالقرب، خطف القطة من الشجرة.,صاحت قطة ديبي بينما دعت ديبي لأمها.,صاحت قطة ديبي بينما دعت ديبي لأمها.,1
جاكسون كان يرغب دائمًا في تعلم التحدث بالسبانية.,قريبًا وجد جاكسون أن إسبانيته تتحسن كثيرًا.,قرر أن يأخذ فصلًا في لغة الإشارة.,قرر أن يأخذ فصلًا في اللغة الإسبانية.,2
كان جاكسون يرغب دائمًا في تعلم التحدث بالسبانية.,قريبًا يجد جاكسون أن إسبانيته تتحسن كثيرًا.,أخذ جاكسون إسبانية مملة.,أخذ جاكسون فصلًا إسبانيًا.,2
تحتفظ دونا وعاء كبير من الحلوى على مكتبها لزملائها.,كان زملاء دونا متحمسين جدا لجميع العلاجات الجديدة!,حصلت دونا على علاجات جديدة لزملائها.,نسيت دونا استبدال الحلوى.,1
أورورا وجونا يبنيان قلعة رملية.,يبتسمان في رضا وهما يفحصان مشروعهما المكتمل.,أنجز أورورا وجونا القلعة الرملية.,لم يستطع أورورا وجونا إكمال القلعة الرملية.,1
شاحنة فورد ل بيل تحصل على إطار مسطح.,ي誓 بيل ألا يشتري سيارة فورد مرة أخرى.,بيل دائمًا ما يعاني من صعوبة كبيرة في تغيير الإطار.,الإطار دائمًا ما يعاني من صعوبة كبيرة في تغيير بيل.,1
قال جاسبر لوالديه إنه يريد كلبًا.,قرر والداه عدم إعطائه كلبًا.,كان يحب العناية به.,وعد أنه سيعتني به.,2
قال جاسبر لوالديه إنه يريد كلبًا.,قرر والداه عدم منحه كلبًا.,وعد جاسبر أنه سيعتني به.,وعد أنه سيعتني به.,2
احتاج تيم إلى إخراج القمامة.,جعل الحدث المخيف تيم يندم على كونه كسولًا.,تلقى شخص غريب مكالمة هاتفية غريبة من تيم.,تلقى تيم مكالمة هاتفية غريبة من شخص غريب.,2
كان على تيم أن يخرج القمامة.,أثار الحدث المخيف لدى تيم ندمًا على كونه كسولًا.,اتبع قط تيم معه إلى الخارج وخاطر بالدهس.,ذهب قط تيم معه إلى الخارج وخاطر تيم بالدهس.,1
جيري ضاع أثناء المشي إلى آخر فترة له.,ومع ذلك، كان متأخرًا عن الدرس.,اكتشف مكان الدرس.,اكتشف مكان عرض السيارات.,1
فقد جيري طريقه أثناء المشي إلى آخر فترة له.,ومع ذلك، كان متأخرًا عن الدرس.,وجد جيري أخيرًا الطريق الصحيح للمشي.,وجد جيري الطريق الخطأ للمشي.,1
في يوم من الأيام، ت wandered خنزير إلى مزرعة والدي.,في يوم من الأيام، اختفى، لكني آمل أن يكون قد وجد طريقه إلى المنزل.,أنا أطعمه كومة من الجزر كل صباح قبل المدرسة.,أنا أطعمه كومة من الصخور كل صباح قبل المدرسة.,1
إد لم يجرب الجزر من قبل.,صنع إد ٥ دولارات ووجد أنه يحب الجزر بعد كل شيء!,إد وضع رهانًا أنه سيكرههم.,إد وضع رهانًا أنه سيحبهم.,2
إد لم يجرب الجزر أبدًا.,صنع إد ٥ دولارات ووجد أنه أحب الجزر بعد كل شيء!,اكتشف إد أن قراءة الطالع كانت عملية احتيالية.,أخبره القارئ أنه سيفوز بالمال.,2
طلب جاك من والديه إذنًا لشراء سمكة ذهبية.,اعتنى جاك بسمكته اهتمامًا كبيرًا، تمامًا كما أخبره والداه أن يفعل.,جاك أحب سمكته الجديدة.,جاك أحب مجموعة أقلامه الجديدة.,1
تينا، مراهقة، مسرورة بشعبية والدتها.,سألها معلمها كيف، و أخبرته تينا من هي والدتها.,تينا لا تعرف أحدا وليس لديها أصدقاء.,تينا تعرف الكثير من الناس.,2
كنت في مقابلة عمل.,قررت أن الشركة كانت غير ناضجة بالنسبة لي لذا تركت.,لم أشعر أنني كنا مناسبًا.,لم أشعر أنها كانت مناسبة جيدة.,2
كنت قد اجتزت مقابلة عمل.,قررت أن الشركة كانت غير ناضجة بالنسبة لي لذا تركت.,عُرض عليّ الوظيفة وقبلتها.,عُرض عليّ الوظيفة ورفضتها.,1
ميسي تحب الشوكولاتة.,حصلت ميسي على أكبر قطعة شوكولاتة وأصبحت سعيدة للغاية.,جنازة ميسي كانت قادمة.,عيد ميلاد ميسي كان قادمًا.,2
