input,golds,options,preds,probs
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: زيادة ضغط الهواء بالاطارات عن الحد خطر على سلامة السيارة وقد يسبب انفجار الاطارات.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.17520691 0.82479304]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: اهتزاز (غربلة) مقود السيارة (الدركسيون) أثناء سير السيارة بسرعة يعني:
أ- ضرورة ضبط مستويات ضغط الهواء بالاطارات
ب- ضعف المساعدين بالسيارة
ج- حاجة العجلات الى الترصيص

إجابة: ",2,"['أ- ضرورة ضبط مستويات ضغط الهواء بالاطارات', 'ب- ضعف المساعدين بالسيارة', 'ج- حاجة العجلات الى الترصيص']",ج,[0.02931542 0.26645997 0.7042246 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: عند رفع السيارة بالكوريك يلزم وضع حجر خلف العجلة من الجانب المقابل للرفع
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.10949972 0.8905003 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: عند استخدام الفرامل يجب النظر في مرآة السيارة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.06602307 0.9339769 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: لا يجوز التخطي في المنحنيات والمنعطفات والمرتفعات والطرق الزلقة وتقاطع الطرق والميادين
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.24858318 0.75141686]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: المخدرات وحدها تزيد زمن رد الفعل لدى قائد السيارة
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.09488996 0.90511006]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: مبين علامة الزيت في الطبلوه يدل على؟
أ- ضغط الزيت في المحرك
ب- حالة الزيت في المحرك
ج- منسوب الزيت في المحرك

إجابة: ",0,"['أ- ضغط الزيت في المحرك', 'ب- حالة الزيت في المحرك', 'ج- منسوب الزيت في المحرك']",ب,[0.11195847 0.7717924  0.11624908]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: الاولوية لتنفيذ الاشارة اليدوية لرجل المرور.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.1452844 0.8547156]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: تكون السرعة على الطرق الصحراوية بالنسبة للسيارات الملاكي 100 كم / الساعة
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.09875111 0.9012489 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: اذا اراد قائد المركبة ان يقوم بالتوقف فعليه تهدئة سرعة المركبة تدريجيًّا
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.08663955 0.91336054]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: في حالة القيادة في الشبورة المائية يجب مراعاة وجود تهوية جيدة داخل السيارة حتى لا تكون شبورة مائية داخل السيارة
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.16990337 0.83009666]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: انت تقود سيارتك بسرعة فوجئت بعدم وجود فرامل، فماذا تفعل؟
أ- اشد فرامل اليد بسرعة
ب- ادخل في المناطق الزراعية والخالية
ج- استخدم الغيار العكسي

إجابة: ",2,"['أ- اشد فرامل اليد بسرعة', 'ب- ادخل في المناطق الزراعية والخالية', 'ج- استخدم الغيار العكسي']",ج,[0.05999751 0.3187819  0.62122065]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: ضعف عزم المتور اثناء القيادة يكون احد اسبابه نسيان فرامل اليد اثناء المشي بالسيارة
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.11813639 0.88186365]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: لا يجوز الاتجاه عكس اتجاه حركة المرور.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.13676627 0.8632337 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجوز عند الضرورة جلوس الطفل دون سن السابعة في المقاعد الأمامية
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.09829069 0.9017093 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: كنت تسير في الشبورة المائية فماذا تفعل؟
أ- اقوم بتهدأة السرعة مع استخدام صفارة الانتظار
ب- زيادة السرعة لملاحقة السيارة التي امامي حتى تكون دليلي في الطريق
ج- اقوم بفتح النوافذ واستخدام المساحات والسير بالسرعة العادية

إجابة: ",0,"['أ- اقوم بتهدأة السرعة مع استخدام صفارة الانتظار', 'ب- زيادة السرعة لملاحقة السيارة التي امامي حتى تكون دليلي في الطريق', 'ج- اقوم بفتح النوافذ واستخدام المساحات والسير بالسرعة العادية']",ب,[0.01955052 0.7893411  0.19110838]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: الكشف على الزيت عن طريق المقياس المعد لقياس الزيت لا بد ان لا يزيد عن العلامة العليا وان لا يقل عن العلامة السفلى.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.1679577 0.8320423]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: عند ارتفاع حرارة المحرك يكون احد الاسباب توقف مروحة تبريد المحرك.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.0820906  0.91790944]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: على قائد المركبة ان يلتزم دائما بحارة السير المخصصة له
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.06052548 0.93947446]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يمكن الرجوع بسيارتك للخلف لمسافة خمسون مترا.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.11989463 0.8801054 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: وانت تقود فوق كبري انفجرت احد الاطارات، ماذا تفعل؟
أ- اقوم بوضع علامة ارشادية واقوم بتغيير العجلة فوق الكبري
ب- انزل من فوق الكبري واغيرها في مكان اخر
ج- اقف مكاني واحاول تغيير الاطارات بسرعة

إجابة: ",1,"['أ- اقوم بوضع علامة ارشادية واقوم بتغيير العجلة فوق الكبري', 'ب- انزل من فوق الكبري واغيرها في مكان اخر', 'ج- اقف مكاني واحاول تغيير الاطارات بسرعة']",ج,[0.03613249 0.3202983  0.64356923]
