#,ID,Source,Country,Group,Subject,Level,Question,BackStory,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot,ABILITY,INDEX
1,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا ابتسمت شياو هونغ لشياو فانغ؟,شاهدت شياو هونغ وشياو فانغ أطفالًا آخرين يلعبون في الملعب المزدحم والمليء بالألوان. تحدثوا عن بعض الأشياء المثيرة للاهتمام التي تحدث في الملعب، مثل الأطفال الذين يصرخون من الفرح وهم يركضون حول الزلاجات، وناقشوا الذهاب إلى الحديقة معًا بعد المدرسة. بينما كانوا يتحدثون، بدت شياو هونغ متحمسة بشكل متزايد. فجأة، أعطت شياو هونغ شياو فانغ نظرة مليئة بالإثارة وحدقت في اتجاه الأراجيح. ثم ابتسمت شياو هونغ لشياو فانغ ابتسامة خفيفة مليئة بالحيوية. أومأت شياو فانغ برأسها وهي تبدو مهتمة، ووقف الاثنان معًا. جلست شياو مي على الأراجيح ولاحظت التفاعل بين شياو هونغ وشياو فانغ.,,B,ابتسمت شياو هونغ لأنها رأت شيئًا مثيرًا للاهتمام في الملعب.,ابتسمت شياو هونغ لأنها تذكرت مزحة عن شياو مي.,ابتسمت شياو هونغ لأنها تعتقد أن اللعب بعد المدرسة ممتع.,ابتسمت شياو هونغ لشياو فانغ لاقتراح صنع أصدقاء جدد معًا.,,False,Intention: Intentions explanations,1
2,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,كيف تعتقد أن شياو مي تشعر؟,شاهدت شياو هونغ وشياو فانغ أطفالًا آخرين يلعبون في الملعب. تحدثوا عن بعض الأشياء المثيرة للاهتمام التي تحدث في الملعب وناقشوا الذهاب إلى الحديقة معًا بعد المدرسة. فجأة، أعطت شياو هونغ شياو فانغ نظرة وحدجت في اتجاه الأراجيح. ثم ابتسمت شياو هونغ لشياو فانغ. أومأت شياو فانغ برأسها، ووقف الاثنان. جلست شياو مي على الأراجيح ولاحظت التفاعل بين شياو هونغ وشياو فانغ.,,B,تشعر شياو مي بالإثارة لأنها تعتقد أن شياو هونغ وشياو فانغ يريدون اللعب على الأراجيح معًا.,تشعر شياو مي بالفضول، ربما قليلاً من القلق.,تشعر شياو مي بقليل من الخوف، قلقة من أنهم قد يتنمرون عليها.,تشعر شياو مي بسعادة كبيرة، معتقدة أنهم سيعطونها مفاجأة.,,False,Belief: Beliefs based action/emotions,2
3,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا يدير مينغكاي رأسه لينظر إلى جيانيينج ويبتسم؟,"جيانيينج ومينغكاي هما قائدَا الفريق لكرة القدم. ما زالا يفتقدان لعضو واحد في الفريق. يمزحان بأن اللاعبين غير المختارين الآخرين هم ""أفضل اللاعبين"". بعد فترة، مينغكاي لا يتحدث، يرمش لجيانيينج، ثم ينظر إلى تاو تاو، تاو تاو هو واحد من اللاعبين غير المختارين الآخرين. مينغكاي يدير رأسه ويبتسم لجيانيينج. جيانيينج يميل رأسه، يستعد لاختيار تاو تاو للانضمام إلى فريقهم. تاو تاو يرى الرمش والابتسامة لمينغكاي وجيانيينج.",,A,مينغكاي وجيانيينج كان لديهما مزحة حول اختيار أعضاء الفريق قبل ذلك، مينغكاي يفكر في تلك المزحة.,مينغكاي يبتسم لأنه يعتقد أن تاو تاو هو أفضل لاعب موجود.,مينغكاي يبتسم لجيانيينج لأنهم يعرفون أنهم لا يمكنهم اختيار سوى تاو تاو.,مينغكاي وجيانيينج لديهما خطة سرية حول تاو تاو، لذلك يبتسم.,,False,Intention: Intentions explanations,1
4,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,ماذا تعتقد أن تاو تاو يعتقد؟,"جيانيينج ومينجكاي هما قائدي فريق كرة القدم. ما زالا يفتقرا إلى عضو واحد في الفريق. يمزحان بأن اللاعبين غير المختارين المتبقين هم ""أفضل اللاعبين"". بعد فترة، مينجكاي لا يتحدث، يرمش لجيانيينج، ثم ينظر إلى تاو تاو، تاو تاو هو واحد من اللاعبين غير المختارين المتبقين. مينجكاي ي поворачивает رأسه ويبتسم لجيانيينج. جيانيينج يميل رأسه، يستعد لاختيار تاو تاو للانضمام إلى فريقهم. تاو تاو يرى الرمش والابتسامة لمينجكاي وجيانيينج.",,A,تاو تاو يشعر بالدهشة والارتباك.,تاو تاو يشعر بأنه يتم سخرية منه ولعبه.,تاو تاو يشعر بالاعتراف والفخر.,تاو تاو ممتلئ بالأمل لعرض مهاراته.,,False,Belief: Beliefs based action/emotions,2
5,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا تعطي لينغلينج ديهوا تلك الوثيقة؟,ديهوا وسانمينغ موظفان في الشركة، يتنافسان على فرصة للترقية. اليوم هو عيد ميلاد سانمينغ، ويستمتع بكعكة عيد ميلاد صغيرة بمفرده. لينغلينج هي مشرفة الشركة، تتحدث مع ديهوا في محادثة خاصة في غرفة المؤن. يرى سانمينغ من مسافة بعيدة أن لينغلينج تسلم ديهوا وثيقة بهدوء، وبتسمة خفيفة، تهمس برفق على ظهر ديهوا، ثم تعود إلى مكتبها. ديهوا يتحقق بسرعة من الوثيقة، يظهر ابتسامة، ويضع الوثيقة بعناية في حقيبة ملفاته.,,D,لينغلينج تُعيد وثيقة ديهوا الشخصية التي تُركت في غرفة الاجتماعات.,لينغلينج تعطي ديهوا إشعارًا يوميًا غير متعلق بالترقية.,لينغلينج وديهوا يخططان لمفاجأة سانمينغ.,لينغلينج تعطي ديهوا معلومات إضافية.,,False,Intention: Intentions explanations,1
6,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,ماذا تعتقد أن سانمين يفكر؟,ديهوا وسانمين موظفان في الشركة، يتنافسان على فرصة للترقية. اليوم هو عيد ميلاد سانمين، يستمتع بكعكة عيد ميلاد صغيرة بمفرده. لينغلينج هي مشرفة الشركة، تجري محادثة خاصة مع ديهوا في غرفة المؤونة. يرى سانمين من مسافة بعيدة أن لينغلينج تسلم ديهوا وثيقة بهدوء، ومع ابتسامة، تلمس ظهر ديهوا بلطف، ثم تعود إلى مكتبها. يفحص ديهوا الوثيقة بسرعة، يظهر ابتسامة، ويضع الوثيقة بعناية في حقيبة ملفاته.,,D,سانمين يعتقد أن كل شيء طبيعي لأن هذه هي وثيقة ديهوا.,سانمين يشعر بالغضب لأنه معزول.,سانمين يشعر بسعادة كبيرة لأن كعكته لذيذة.,سانمين يعيد تقييم فرصته للترقية.,,False,Belief: Beliefs based action/emotions,2
7,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا يدفع شياو وانغ شياو لي بمرفقه؟,"يستريح شياو لي وشياو وانغ بجانب حمام السباحة في المنتجع. يرون آه زين وآه هونغ يقرآن على الكراسي الاستلقاء ليس بعيدًا، ثم يتبادلان نظرة. يدفع وانغ شياو لي بمرفقه، ويهمس بصمت ""فتيات جميلات"". يعطي شياو لي إشارة بالموافقة، ويضحكان وينظران إلى بعضهما، ثم يمشيان بحذر نحو آه زين. ترى آه زين تحركاتهم من زاوية عينها، ثم تهتمس ببضع كلمات لآه هونغ، وتشير إلى هاتفها، وتضحك. يأتي شياو لي وشياو وانغ إلى آه زين، يقدمان أنفسهما ويعبران عن رغبتهما في التعرف عليها بشكل أفضل. في هذه اللحظة، يرن هاتف آه زين فتقف للإجابة على المكالمة.",,C,شياو وانغ يريد أن يشير لي إلى الفتيات الجميلات بجانب حمام السباحة,شياو وانغ يريد أن يخبر شياو لي أنه وقت السباحة,شياو وانغ يريد أن يشير لي إلى العقبات على الأرض,شياو وانغ يريد أن يطلب من شياو لي الذهاب والتحدث مع آه زين معًا,,False,Intention: Intentions explanations,1
8,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,ما رأيك في رد فعل آه زن تجاه قدوم الاثنين؟,"يستريح شياو لي وشياو وانغ بجانب حمام السباحة في المنتجع. يرون آه زن وأه هونغ يقرآن على الكراسي الاستلقاء ليس بعيدًا، ثم يتبادلان نظرة. يدفع شياو وانغ شياو لي بمرفقه، ويهمس بصمت ""فتيات جميلات"". يعطي شياو لي إشارة بالعين، يضحكان وينظران إلى بعضهما، ثم يمشيان بحذر نحو آه زن. ترى آه زن حركتهم في زاوية عينها، ثم ته whisper بضع كلمات لأه هونغ، تشير إلى هاتفها، وتبتسم. يأتي شياو لي وشياو وانغ إلى آه زن، يقدمان أنفسهما ويعبّران عن رغبتهما في التعرف عليها بشكل أفضل. في هذه اللحظة، يرن هاتف آه زن فتقف للإجابة على المكالمة.",,C,تشعر آه زن بالسعادة، وتأمل في عمل صداقات جديدة,تشعر آه زن بالدهشة، ولا تتوقع أن يتم ملاحظتها,تشعر آه زن بالضيق، ولا ترغب في التفاعل معهم,تشعر آه زن بالخجل، ولا تتوقع مقابلة رجال وسيمين,,False,Belief: Beliefs based action/emotions,2
9,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا تريد شاو يون مشاركة الأفكار قبل شاو مينغ؟,شاو مينغ وشاو يون هما زملاء في الصف، وهم يستعدون لمشروع جماعي. اليوم، يسمح المعلم لكل مجموعة بمشاركة تقدمهم. شاو مينغ واثق جدًا من أفكاره، وهو يستعد للمشاركة في الاجتماع. قبل بدء المناقشة، تخبر شاو يون شاو مينغ أنها يمكن أن تساعد في مشاركته لتجنب قلقه، ولا يتحدث شاو مينغ، وهم ينظرون إلى خطابه معًا. بعد بدء الاجتماع، ترفع شاو يون يدها للتحدث، موضحة أفكارها للمعلم ورئيس الصف. يجد شاو مينغ أن أفكار شاو يون تشبه أفكاره الخاصة، ويذهل لفترة. يؤكد المعلم ورئيس الصف الفكرة، وتوجه شاو يون رأسها وتعطي شاو مينغ ابتسامة. يبدو أن شاو مينغ فهم.,,C,شاو يون تعتقد عن طريق الخطأ نفس الفكرة مثل شاو مينغ.,شاو يون تريد الحصول على تقدير المعلم من خلال فكرة شاو مينغ.,شاو يون تعتقد أنها يمكن أن تعبر عن هذه الفكرة بوضوح أكبر من شاو مينغ.,شاو يون قلقة من أن شاو مينغ سيكون عصبيًا، لذا تساعد في مشاركته.,,False,Intention: Intentions explanations,1
10,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,كيف تعتقد أن شاو مينغ يشعر في ذلك الوقت؟,شاو مينغ وشاو يون هما زملاء في الصف، وهم يستعدون لمشروع جماعي. اليوم، يسمح المعلم لكل مجموعة بمشاركة تقدمها. شاو مينغ واثق جدًا من أفكاره، وهو يستعد للمشاركة في الاجتماع. قبل بدء المناقشة، تخبر شاو يون شاو مينغ أنها يمكن أن تساعد في المشاركة لتجنب شعوره بالتوتر، ولا يتحدث شاو مينغ، وهم ينظرون إلى خطابه معًا. بعد بدء الاجتماع، ترفع شاو يون يدها للتحدث، موضحة أفكارها للمعلم وقائد الصف. يجد شاو مينغ أن أفكار شاو يون مشابهة جدًا لأفكاره، ويذهل لفترة. يؤكد المعلم وقائد الصف الفكرة، وتوجه شاو يون رأسها وتعطي شاو مينغ ابتسامة. يبدو أن شاو مينغ فهم.,,C,شاو مينغ متفاجئ بسلوك شاو يون، لكنه لا يمانع.,شاو مينغ سعيد لأن شاو يون تحب فكرته وتشاركه.,شاو مينغ يشعر بالسوء عندما تُظهر شاو يون ابتسامة متغطرسة.,شاو مينغ يشعر بالراحة لأنه لا يحب التحدث أمام الجمهور.,,False,Belief: Beliefs based action/emotions,2
