obs1,obs2,hyp1,hyp2,gold_label_original,gold_label_letter,predicted_label_letter,is_correct,llm_raw_response
بدأ رون وظيفته الجديدة كمنسق حدائق اليوم.,تم فصل رون على الفور بسبب العصيان.,تجاهل رون أوامر رئيسه ونعته بالأحمق.,نعت رئيس رون رون بالأحمق.,1,أ,ب,False,ب
عاشت ساندي في نيويورك.,كانت ساندي مستعدة.,عاصفة ضربت في نيويورك.,احتفلت هي كل الليل.,1,أ,ب,False,ب
عادت والدة ماري إلى المنزل بالموز أكثر مما يمكنهم تناوله على الإطلاق.,كانت هذه أفضل طريقة لتناول الموز على الإطلاق!,قررت ماري ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.,لذا صنعت ماري اناناس مقسم للجميع.,1,أ,ب,False,ب
كان جيم يعمل على مشروع.,لحسن الحظ، وجده على رف قريب.,اكتشف جيم أنه يفتقد عنصرًا ما.,كان جيم بحاجة إلى حيوان معين من أجله.,1,أ,ب,False,ب
كان شون جالسًا على مكتبه.,بعد دقيقة، تمكن من إعادة تجميع الكرسي معًا.,لاحظ أن ساق الكرسي كانت تسقط.,مال للخلف أكثر من اللازم وانقلب كرسيه.,1,أ,ب,False,ب
بابل يحب أكل الديدان.,بابل لا يستمتع بأكل الديدان.,ظن بابل أن الديدان مصدر لذيذ للبروتين.,ثم تعلم بابل ما هي الديدان حقًا.,2,ب,ب,True,ب
كان هناك عالم يريد جمع عينات من البكتيريا.,لم تكن البكتيريا ضارة.,جمع العالم عينات من البكتيريا وقام باختبارها.,قام بجمع البكتيريا وتجميدها.,1,أ,ب,False,ب
لقد انضممت إلى البحرية.,هذا أغضبني لدرجة أنني ضربته وتم اعتقالي من قبل الشرطة العسكرية.,أخبرني ضابطي القائد أنني لم أكن أدي أدائي بشكل سيء في عملي.,إهان مدربي أمي.,2,ب,ب,True,ب
كانت دوتي متذمرة جدًا.,شعرت بتحسن كبير بعد ذلك.,أكلت دوتي شيئًا سيئًا.,اتصلت دوتي ببعض الأصدقاء المقربين للدردشة.,2,ب,ب,True,ب
أم علي سجلتها في فصل الكاراتيه.,كانت علي خجلة لدرجة أنها لم تخبر أيًا من أصدقائها.,علي لا تريد أن تتعلم الكاراتيه.,أدت علي بشكل سيء للغاية في درسها الأخير.,1,أ,ب,False,ب
خرجت شهقة من شفتي كوري.,عندما وصل إلى المنزل، تجمع في كرة في الزاوية وبكى.,كان كوري يسخر منه بعض الأطفال في فصله الدراسي.,فر كوري من المنزل بأسرع ما يمكن.,1,أ,ب,False,ب
يلعب العديد من الشباب في فرقة المشاة في المدرسة.,دينيس يحب فرقة المشاة ويستمتع بتسلية المشجعين.,ذهب الناس لمشاهدة الفرقة وهي تلعب.,دينيس عضو منذ عشر ثوان.,1,أ,ب,False,ب
أرادت ديب الذهاب للتسوق.,وجدت كل ما تحتاجه وبقي لديها مال.,ذهبت ديب إلى عرض سينمائي بعد الظهر بدلاً من ذلك.,كان لدى ديب الكثير من القسائم.,2,ب,ب,True,ب
كان ابن عمي كوري يعمل في المطار.,إنه الآن يقضي مدة عقوبته.,سرق كوري من المطار.,تم القبض عليه وهو يسرق من المسافرين.,1,أ,ب,False,ب
أراد دانيال شراء طائرة لعبة ، لكنه لم يكن لديه أي نقود.,اشترى طائرته اللعبة ، واستمر في العمل حتى يتمكن من شراء أخرى!,افتتح منصة لبيع عصير الليمون.,بقي دانيال في المنزل ولم يرغب في شراء طائرة.,1,أ,ب,False,ب
ضربت جينا الوزن بقوة في صالة الألعاب الرياضية.,أخذت حمامًا باردًا لتخفيف آلامها.,توقفت آلام رقبتها بسبب هذا.,جينا شددت عضلة أثناء رفع الأثقال.,2,ب,ب,True,ب
كانت وقت الغداء وكات جائعة.,استمتعت كات وزملاؤها في العمل بغداء لطيف في الخارج.,ذهبت كات للحصول على سلطة.,قررت كات أن تأخذ قيلولة بدلاً من الأكل.,1,أ,ب,False,ب
كان كوزمو قط سمين.,الآن هو نحيف وعضلي!,أعطاه صاحبه طعامًا للقطط منخفض الدهون.,وضع الطبيب البيطري كوزمو على جهاز المشي.,1,أ,ب,False,ب
