index,prompt,golds,preds,raw_preds,subject,options,ABILITY
0,"الملاحظة ١: بدأ رون عمله الجديد كمهندس جاذبية اليوم.
الملاحظة ٢: أُطلِق رون على الفور بسبب عدم الاستماع.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) نسي رون أوامر رئيسه واصطدم به وادعى أنه مجنون.
(ب) ادعى رئيس رون أنه مجنون.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,ب,logical reasoning,"['نسي رون أوامر رئيسه واصطدم به وادعى أنه مجنون.', 'ادعى رئيس رون أنه مجنون.']",reasoning_ability
1,"الملاحظة ١: عاش ساندي في نيويورك.
الملاحظة ٢: كانت ساندي مستعدة.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) هطلت الأمطار في نيويورك.
(ب) أقامت ساندي ليلة كاملة.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,ب,logical reasoning,"['هطلت الأمطار في نيويورك.', 'أقامت ساندي ليلة كاملة.']",reasoning_ability
2,"الملاحظة ١: أتيت والد ماري إلى المنزل مع أكثر من موز يمكنهم أن يأكلوه.
الملاحظة ٢: كان ذلك أفضل طريقة لتقديم موز!
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) قررت ماري وأمها صنع موز بارد مغطى بالشوكولاتة لتفادي الفوضى.
(ب) لذلك صنع ماري شريحة أناناس للجميع.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,أ.,logical reasoning,"['قررت ماري وأمها صنع موز بارد مغطى بالشوكولاتة لتفادي الفوضى.', 'لذلك صنع ماري شريحة أناناس للجميع.']",reasoning_ability
3,"الملاحظة ١: عمل جيم على مشروع.
الملاحظة ٢: بالحظ، وجدته على رف قريب.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) وجد جيم أنه يفتقد لشيء.
(ب) كان جيم بحاجة إلى حيوان معين له.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,أ,logical reasoning,"['وجد جيم أنه يفتقد لشيء.', 'كان جيم بحاجة إلى حيوان معين له.']",reasoning_ability
4,"الملاحظة ١: كان سين جالساً على مكتبه.
الملاحظة ٢: بعد دقيقة، كان قادراً على تركيب الكرسي مرة أخرى.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أدرك أن ركبة الكرسي كانت تسقط.
(ب) انحدر إلى الخلف كثيراً واندفع الكرسي عنقه.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,ب,logical reasoning,"['أدرك أن ركبة الكرسي كانت تسقط.', 'انحدر إلى الخلف كثيراً واندفع الكرسي عنقه.']",reasoning_ability
5,"الملاحظة ١: يحب بابلو أن يأكل الحشرات.
الملاحظة ٢: لا يحب بابلو تناول الطعام الحشري.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ظن بابلو أن الحشرات مصدر طعام رائع للبروتين.
(ب) ثم تعلم بابلو ما هي الحقيقة الحشرات.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,ب.,logical reasoning,"['ظن بابلو أن الحشرات مصدر طعام رائع للبروتين.', 'ثم تعلم بابلو ما هي الحقيقة الحشرات.']",reasoning_ability
6,"الملاحظة ١: كان هناك عالم يرغب في جمع عينات من البكتيريا.
الملاحظة ٢: كان البكتيريا غير ضارة.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) جمع العالم عينات من البكتيريا واختبارها.
(ب) جمع البكتيريا وأجمدتها.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,ب.,logical reasoning,"['جمع العالم عينات من البكتيريا واختبارها.', 'جمع البكتيريا وأجمدتها.']",reasoning_ability
7,"الملاحظة ١: انضممت إلى البحرية.
الملاحظة ٢: أثار ذلك غضبي فضربتَهُ وتم إلقاء القبض عليّ من قبل الشرطة العسكرية.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أخبرني ضابطي القائد أنني لا أفعل شيئًا سيئًا في وظيفتي.
(ب) أهانني ملازمي تدريب على أمي.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,ب,logical reasoning,"['أخبرني ضابطي القائد أنني لا أفعل شيئًا سيئًا في وظيفتي.', 'أهانني ملازمي تدريب على أمي.']",reasoning_ability
8,"الملاحظة ١: كانت دوتي ساخرة للغاية.
الملاحظة ٢: شعرت بعد ذلك بالراحة الكثير.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أكلت دوتي شيء سيء.
(ب) دوتي اتصلت بعض الأصدقاء القريبين للاستفسار.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,ب,logical reasoning,"['أكلت دوتي شيء سيء.', 'دوتي اتصلت بعض الأصدقاء القريبين للاستفسار.']",reasoning_ability
9,"الملاحظة ١: سجلت أم علي اسمها في صفة الكاراتيه.
الملاحظة ٢: كان علي محزونة للغاية فلم تtell أي من أصدقائها.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) لا تريد علي أن تأخذ الكاراتيه.
(ب) لم تكن علي جيدة في آخر صفة لها.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,ب,logical reasoning,"['لا تريد علي أن تأخذ الكاراتيه.', 'لم تكن علي جيدة في آخر صفة لها.']",reasoning_ability
10,"الملاحظة ١: أصدر Cory صرخة حزينة من فمه.
الملاحظة ٢: عندما وصل إلى المنزل، انكمش إلى كرة في الزاوية ودمع.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) كان Cory يتعرض للتعنيف من بعض الأطفال في صفه.
(ب) فر Cory من المنزل بسرعة شديدة.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,أ.,logical reasoning,"['كان Cory يتعرض للتعنيف من بعض الأطفال في صفه.', 'فر Cory من المنزل بسرعة شديدة.']",reasoning_ability
11,"الملاحظة ١: تستمتع العديد من الشباب باللعب في فرقة الموسيقى المدرسية.
الملاحظة ٢: يحب دينيس فرقته الموسيقية وينجح في التسلية للجماهير.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ذهب الناس لمراقبة الفرقة أثناء العرض.
(ب) لدينيس عضو منذ عشر ثواني.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,أ.,logical reasoning,"['ذهب الناس لمراقبة الفرقة أثناء العرض.', 'لدينيس عضو منذ عشر ثواني.']",reasoning_ability
12,"الملاحظة ١: كانت ديب تريد الذهاب إلى التسوق.
الملاحظة ٢: وجدت كل ما تحتاج إليه وتركت بعض المال.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ذهبت ديب إلى فيلم مسائي بدلاً من ذلك.
(ب) كان لديب الكثير من كوبونات.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,ب,logical reasoning,"['ذهبت ديب إلى فيلم مسائي بدلاً من ذلك.', 'كان لديب الكثير من كوبونات.']",reasoning_ability
13,"الملاحظة ١: كان عمي كوري يعمل في المطار.
الملاحظة ٢: أصبح الآن يخدم عقوبته.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) سرق كوري من المطار.
(ب) أُلقي القبض عليه بسبب سرقة الأجهزة التي تحول دون السرقة من الركاب.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,ب,logical reasoning,"['سرق كوري من المطار.', 'أُلقي القبض عليه بسبب سرقة الأجهزة التي تحول دون السرقة من الركاب.']",reasoning_ability
14,"الملاحظة ١: كان دانيال يريد شراء طائرة لعبية، لكنه لم يكن لديه أي مال.
الملاحظة ٢: اشترى طائرة لعبية، وتابع العمل حتى يستطيع شراء أخرى!
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) افتتح متجر لبيع عصير الليمون.
(ب) بقي دانيال في المنزل ولم يريد شراء طائرة.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,أ.,logical reasoning,"['افتتح متجر لبيع عصير الليمون.', 'بقي دانيال في المنزل ولم يريد شراء طائرة.']",reasoning_ability
15,"الملاحظة ١: ضربت جيناً وزنًا قويًا في الصالة الرياضية.
الملاحظة ٢: أخذت حمامًا باردًا بهدف تخفيف آلامها.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) وقفت آلام رقبتها بسبب هذا.
(ب) ضربت جيناً عضلةً أثناء رفع الأثقال.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,ب,logical reasoning,"['وقفت آلام رقبتها بسبب هذا.', 'ضربت جيناً عضلةً أثناء رفع الأثقال.']",reasoning_ability
16,"الملاحظة ١: كان وقت الغداء وكات تشعر بالجوع.
الملاحظة ٢: شربت كات وزميلاتها الغداء في الخارج.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ذهبت كات لتحصل على سلاصة.
(ب) قررت كات أن تأخذ نوما بدلا من الأكل.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,أ.,logical reasoning,"['ذهبت كات لتحصل على سلاصة.', 'قررت كات أن تأخذ نوما بدلا من الأكل.']",reasoning_ability
17,"الملاحظة ١: كان كوزمو قطًا دهنيًا.
الملاحظة ٢: الآن هو قط صحي ومسلح!
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أضاف مالكه له طعام قطط أقل دهنية.
(ب) وضع الطبيب البيطري كوزمو على جهاز التمرين.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,ب.,logical reasoning,"['أضاف مالكه له طعام قطط أقل دهنية.', 'وضع الطبيب البيطري كوزمو على جهاز التمرين.']",reasoning_ability
