index,prompt,golds,preds,raw_preds,reasoning_consistency_heuristic,subject,options,ABILITY
0,"الملاحظة ١: بدأ رون عمله الجديد كمصمم مناظر طبيعية اليوم.
الملاحظة ٢: تم طرد رون على الفور بسبب العصيان.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) يتجاهل رون أوامر رؤسائه ويطلق عليه لقب أحمق.
(ب) رئيس رون وصفه بأنه أحمق.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,ب,N/A,logical reasoning,"['يتجاهل رون أوامر رؤسائه ويطلق عليه لقب أحمق.', 'رئيس رون وصفه بأنه أحمق.']",reasoning_ability
1,"الملاحظة ١: عاشت ساندي في نيويورك.
الملاحظة ٢: ساندي كانت مستعدة.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) لقد حدثت عاصفة في نيويورك.
(ب) لقد إحتفلت طوال الليل.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['لقد حدثت عاصفة في نيويورك.', 'لقد إحتفلت طوال الليل.']",reasoning_ability
2,"الملاحظة ١: عادت والدة ماري إلى المنزل ومعها كمية من الموز أكبر مما يمكنهم تناوله.
الملاحظة ٢: كانت هذه أفضل طريقة على الإطلاق لتناول الموز!
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) قررت ماري ووالدتها صنع الموز المجمد المغطى بالشوكولاتة لتجنب الهدر.
(ب) لذلك قامت ماري بإعداد قطع الأناناس للجميع.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['قررت ماري ووالدتها صنع الموز المجمد المغطى بالشوكولاتة لتجنب الهدر.', 'لذلك قامت ماري بإعداد قطع الأناناس للجميع.']",reasoning_ability
3,"الملاحظة ١: كان جيم يعمل على مشروع.
الملاحظة ٢: لحسن الحظ، وجده على رف قريب.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) اكتشف جيم أنه يفتقد أحد العناصر.
(ب) كان جيم يحتاج إلى حيوان معين لذلك.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['اكتشف جيم أنه يفتقد أحد العناصر.', 'كان جيم يحتاج إلى حيوان معين لذلك.']",reasoning_ability
4,"الملاحظة ١: وكان شون جالسا على مكتبه.
الملاحظة ٢: وبعد دقيقة واحدة، كان قادرا على إعادة الكرسي إلى مكانه.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) لقد لاحظ أن ساق الكرسي كانت تتساقط.
(ب) انحنى إلى الخلف كثيرًا وانقلب كرسيه.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['لقد لاحظ أن ساق الكرسي كانت تتساقط.', 'انحنى إلى الخلف كثيرًا وانقلب كرسيه.']",reasoning_ability
5,"الملاحظة ١: بابلو يحب أكل الديدان.
الملاحظة ٢: بابلو لا يحب أكل الديدان.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) اعتقد بابلو أن الديدان مصدر لذيذ للبروتين.
(ب) ثم تعلم بابلو ما هي الديدان حقًا.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,أ,ا,N/A,logical reasoning,"['اعتقد بابلو أن الديدان مصدر لذيذ للبروتين.', 'ثم تعلم بابلو ما هي الديدان حقًا.']",reasoning_ability
6,"الملاحظة ١: كان هناك عالم يريد جمع عينات من البكتيريا.
الملاحظة ٢: البكتيريا لم تكن ضارة.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) قام العالم بجمع عينات من البكتيريا واختبارها.
(ب) قام بجمع البكتيريا وتجميدها.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['قام العالم بجمع عينات من البكتيريا واختبارها.', 'قام بجمع البكتيريا وتجميدها.']",reasoning_ability
7,"الملاحظة ١: انضممت إلى البحرية.
الملاحظة ٢: لقد أغضبني هذا فضربته وتم القبض علي من قبل الشرطة العسكرية.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أخبرني الضابط القائد أنني لم أكن سيئًا في عملي.
(ب) لقد أهان رقيب التدريب الخاص بي والدتي.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,ب,N/A,logical reasoning,"['أخبرني الضابط القائد أنني لم أكن سيئًا في عملي.', 'لقد أهان رقيب التدريب الخاص بي والدتي.']",reasoning_ability
8,"الملاحظة ١: دوتي كانت غاضبة جدًا.
الملاحظة ٢: لقد شعرت بتحسن كبير بعد ذلك.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) دوتي أكلت شيئاً سيئاً.
(ب) دوتي تتصل ببعض الأصدقاء المقربين للدردشة.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,أ,ا,N/A,logical reasoning,"['دوتي أكلت شيئاً سيئاً.', 'دوتي تتصل ببعض الأصدقاء المقربين للدردشة.']",reasoning_ability
9,"الملاحظة ١: والدة علي سجلت ابنتها في دورة الكاراتيه.
الملاحظة ٢: لقد شعرت علي بالحرج الشديد ولم تخبر أيًا من أصدقائها.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) علي لم يرغب في تعلم الكاراتيه.
(ب) لقد فعلت علي بشكل فظيع في درسها الأخير.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,ب,(ب),N/A,logical reasoning,"['علي لم يرغب في تعلم الكاراتيه.', 'لقد فعلت علي بشكل فظيع في درسها الأخير.']",reasoning_ability
10,"الملاحظة ١: خرجت شهقة من شفتي كوري.
الملاحظة ٢: عندما وصل إلى المنزل، تكور على نفسه في الزاوية وبدأ بالبكاء.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) تعرض كوري للسخرية من قبل بعض الأطفال في فصله.
(ب) هرب كوري من المنزل بأسرع ما يمكن.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['تعرض كوري للسخرية من قبل بعض الأطفال في فصله.', 'هرب كوري من المنزل بأسرع ما يمكن.']",reasoning_ability
11,"الملاحظة ١: يلعب العديد من الشباب في الفرقة الموسيقية في المدرسة.
الملاحظة ٢: دينيس يحب فرقته الموسيقية ويستمتع بتسلية المعجبين.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ذهب الناس لمشاهدة عزف الفرقة.
(ب) لقد أصبح دينيس عضوًا منذ عشر ثوانٍ.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['ذهب الناس لمشاهدة عزف الفرقة.', 'لقد أصبح دينيس عضوًا منذ عشر ثوانٍ.']",reasoning_ability
12,"الملاحظة ١: أرادت ديب الذهاب للتسوق.
الملاحظة ٢: لقد وجدت كل ما تحتاجه وبقي لديها المال.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ذهبت ديب لحضور فيلم بعد الظهر بدلا من ذلك.
(ب) كان لدى ديب الكثير من القسائم.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,أ,ا,N/A,logical reasoning,"['ذهبت ديب لحضور فيلم بعد الظهر بدلا من ذلك.', 'كان لدى ديب الكثير من القسائم.']",reasoning_ability
13,"الملاحظة ١: كان ابن عمي كوري يعمل في المطار.
الملاحظة ٢: وهو يقضي الآن عقوبته.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) سرق كوري من المطار.
(ب) تم القبض عليه بتهمة سرقة المحلات التجارية من الركاب.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['سرق كوري من المطار.', 'تم القبض عليه بتهمة سرقة المحلات التجارية من الركاب.']",reasoning_ability
14,"الملاحظة ١: أراد دانيال شراء طائرة لعبة، لكنه لم يكن لديه أي أموال.
الملاحظة ٢: اشترى طائرته اللعبة، وظل يعمل حتى يتمكن من شراء طائرة أخرى!
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) فتح كشك لبيع عصير الليمون.
(ب) بقي دانييل في المنزل ولم يرغب في شراء طائرة.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['فتح كشك لبيع عصير الليمون.', 'بقي دانييل في المنزل ولم يرغب في شراء طائرة.']",reasoning_ability
15,"الملاحظة ١: جينا رفعت وزنها بقوة في صالة الألعاب الرياضية.
الملاحظة ٢: أخذت حمامًا باردًا لتخفيف آلامها.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) لقد توقف ألم رقبتها بسبب هذا.
(ب) جينا شدّت عضلة أثناء رفع الأثقال.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,ب,N/A,logical reasoning,"['لقد توقف ألم رقبتها بسبب هذا.', 'جينا شدّت عضلة أثناء رفع الأثقال.']",reasoning_ability
16,"الملاحظة ١: لقد كان وقت الغداء وكانت كات جائعة.
الملاحظة ٢: استمتعت كات وزملاؤها بتناول وجبة غداء لطيفة في الخارج.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ذهبت كات للحصول على سلطة.
(ب) قررت كات أن تأخذ قيلولة بدلاً من الأكل.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['ذهبت كات للحصول على سلطة.', 'قررت كات أن تأخذ قيلولة بدلاً من الأكل.']",reasoning_ability
17,"الملاحظة ١: كان كوزمو قطة ممتلئة الجسم.
الملاحظة ٢: الآن أصبح لائقًا وعضليًا!
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أعطاه صاحبه طعامًا للقطط يحتوي على نسبة دهون أقل.
(ب) وضع الطبيب البيطري كوزمو على جهاز المشي.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['أعطاه صاحبه طعامًا للقطط يحتوي على نسبة دهون أقل.', 'وضع الطبيب البيطري كوزمو على جهاز المشي.']",reasoning_ability
18,"الملاحظة ١: كان تيم صبيًا كشفيًا، وذهب في العديد من رحلات التخييم مع أصدقائه.
الملاحظة ٢: في النهاية، اضطر تيم إلى العودة إلى المنزل بدون أي جوارب.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) في أحد الأيام أصبح تيم مريضًا جدًا.
(ب) لم يتمكن تيم من العثور على جواربه.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,ب,N/A,logical reasoning,"['في أحد الأيام أصبح تيم مريضًا جدًا.', 'لم يتمكن تيم من العثور على جواربه.']",reasoning_ability
19,"الملاحظة ١: ذات يوم اشترى آدم بندقيتين BB.
الملاحظة ٢: أخذ آدم البندقية من كريستيان.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) وكان شقيق آدم كريستيان خائفًا من البنادق.
(ب) أمسك كريستيان بالمسدس وأطلق النار على عين آدم.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,أ,ا,N/A,logical reasoning,"['وكان شقيق آدم كريستيان خائفًا من البنادق.', 'أمسك كريستيان بالمسدس وأطلق النار على عين آدم.']",reasoning_ability
20,"الملاحظة ١: صديقي صياد.
الملاحظة ٢: لم يتم العثور على الأيل في أي مكان.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أقامت مخبأ للصيد في الغابة.
(ب) لقد وجد صديقي الذي هو صياد الكثير من الأيائل.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",0,أ,ا,N/A,logical reasoning,"['أقامت مخبأ للصيد في الغابة.', 'لقد وجد صديقي الذي هو صياد الكثير من الأيائل.']",reasoning_ability
21,"الملاحظة ١: دخلت إلى صف الرياضيات الخاص بي.
الملاحظة ٢: لقد انتهى بي الأمر بالفشل.
أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) رأيت الخيط عند الباب.
(ب) لم أدرس للاختبار.

التعليمات: أجب فقط بالحرف (أ أو ب) الموافق للفرضية الأكثر قبولاً.",1,ب,(ب),N/A,logical reasoning,"['رأيت الخيط عند الباب.', 'لم أدرس للاختبار.']",reasoning_ability
