index,prompt,golds,preds,raw_preds,reasoning_consistency_heuristic,subject,options,ABILITY
0,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

الأمريكيون السود أكثر عرضة للإصابة بارتفاع ضغط الدم مرتين مقارنة بالأمريكيين البيض. وينطبق الشيء نفسه عند مقارنة الأفارقة السود المتغربين بالأفارقة البيض. افترض الباحثون أن السبب وراء معاناة السود المتغربين من ارتفاع ضغط الدم هو نتيجة تفاعل سببين؛ أحدهما هو ارتفاع محتوى الملح في الأطعمة الغربية، والآخر هو آلية تكيف الجينات السوداء مع البيئة التي تعاني من نقص الملح.
الاستنتاجات التالية حول الأفارقة السود المتغربين المعاصرين، إذا كان البند صحيحًا، فهل يمكن أن يدعم فرضية الباحثين على أفضل وجه؟
أ- ضغط الدم لنسل السنغاليين والغامبيين عادة لا يكون مرتفعاً، وتاريخ السنغال وغامبيا لم يفتقر إلى الملح.
ب- تناول كميات ملح عالية بشكل غير معتاد في أجزاء معينة من إفريقيا هو مشكلة خطيرة تهدد صحة السكان.
ج- وبالنظر إلى الرعاية الصحية، يهتم معظم البيض الأفارقة أيضًا بالتحكم في تناول الملح.
د- ضغط الدم لشعب اليوروبا في غرب إفريقيا ليس مرتفعًا. عاش شعب اليوروبا في الداخل بعيدًا عن ملح البحر وبعيدًا عن منجم ملح الصحراء الكبرى في إفريقيا.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,د,د,N/A,logical reasoning,"['ضغط الدم لنسل السنغاليين والغامبيين عادة لا يكون مرتفعاً، وتاريخ السنغال وغامبيا لم يفتقر إلى الملح.', 'تناول كميات ملح عالية بشكل غير معتاد في أجزاء معينة من إفريقيا هو مشكلة خطيرة تهدد صحة السكان.', 'وبالنظر إلى الرعاية الصحية، يهتم معظم البيض الأفارقة أيضًا بالتحكم في تناول الملح.', 'ضغط الدم لشعب اليوروبا في غرب إفريقيا ليس مرتفعًا. عاش شعب اليوروبا في الداخل بعيدًا عن ملح البحر وبعيدًا عن منجم ملح الصحراء الكبرى في إفريقيا.']",deductive_reasoning
1,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

حظر الإعلانات عن السجائر في وسائل الإعلام لا يقلل من عدد الشباب الذين يدخنون، لأنهم يعرفون منذ فترة طويلة أن هناك سجائر في العالم، ويعرفون مختلف العلامات التجارية للسجائر، ويعرفون من أين يحصلون عليها. فهم لا يحتاجون إلى الإعلانات لتوفير هذه المعلومات.
ما يلي، إذا كان صحيحا، يمكن أن يضعف الحجة أعلاه أكثر؟
أ- مشاهدة الإعلانات أو الاستماع إليها يمكن أن يزيد رغبة الشخص في الحصول على مثل هذه المنتجات.
ب- حظر إعلانات السجائر على وسائل الإعلام العامة سيؤدي إلى انتشار أشكال أخرى من إعلانات السجائر.
ج- الإعلانات عن السجائر في وسائل الإعلام العامة هي نفقات كبيرة لشركات التبغ.
د- روج المعادون للتدخين في وسائل الإعلام العامة ضد التدخين منذ البداية.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,أ,أ.,N/A,logical reasoning,"['مشاهدة الإعلانات أو الاستماع إليها يمكن أن يزيد رغبة الشخص في الحصول على مثل هذه المنتجات.', 'حظر إعلانات السجائر على وسائل الإعلام العامة سيؤدي إلى انتشار أشكال أخرى من إعلانات السجائر.', 'الإعلانات عن السجائر في وسائل الإعلام العامة هي نفقات كبيرة لشركات التبغ.', 'روج المعادون للتدخين في وسائل الإعلام العامة ضد التدخين منذ البداية.']",deductive_reasoning
2,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

ثلاثة طلاب دوليين يجلسون جنبًا إلى جنب على المقعد.هل تعرف بالفعل؟ (1)  على الأقل واحد من بين الشخصين على يمين الطالب السوداني هو طالب فرنسي.(2) هناك أيضًا طالب فرنسي بين الشخصين على يسار الطالب الفرنسي.(3) على الأقل واحد من بين الشخصين على يسار الصبي هو فتاة.(4) واحد من بين الشخصين على يمين الفتاة هو أيضًا فتاة.
لذا، بالنسبة لهذه الأشخاص الثلاثة، هل الحكم التالي صحيح؟
أ- فتيات سودانيات وفتيان فرنسيون. فتيان فرنسيون.
ب- أولاد سودانيون، أولاد فرنسيون، بنات فرنسيات.
ج- فتيات سودانيات، فتيات فرنسيات، فتيات فرنسيات.
د- فتيات سودانيات، فتيات فرنسيات، أولاد فرنسيون.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,الجواب هو: د.,N/A,logical reasoning,"['فتيات سودانيات وفتيان فرنسيون. فتيان فرنسيون.', 'أولاد سودانيون، أولاد فرنسيون، بنات فرنسيات.', 'فتيات سودانيات، فتيات فرنسيات، فتيات فرنسيات.', 'فتيات سودانيات، فتيات فرنسيات، أولاد فرنسيون.']",deductive_reasoning
3,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

شاو وانغ، شاو لي وشاو زانغ سيذهبون للتسلق على الجبل.تنبؤات الطقس قالت أنه قد تمطر اليوم.حول تنبؤات الطقس، الثلاثة أشخاص يجادلون.شاو وانغ؟ ""قد تمطر اليوم.هذا لا يستبعد اليوم أو قد لا تمطر.دعونا نذهب في رحلة المشي لمسافات طويلة.شاو لي؟"" قد تمطر اليوم، وهذا يعني أنه سيكون هناك مطر اليوم.دعونا لا نذهب للتسلق.""شاو زانغ؟"" قد تمطر اليوم.هذا يعني فقط أنه ليس من الضروري أن تقرر ما إذا كان المطر أو لا للتسلق على الجبل اليوم.""
فهم توقعات الطقس، من بين ثلاثة أشخاص
أ- سياو وانغ وسياو زانغ على حق، لكن سياو لي غير صحيح.
ب- شاو وانغ على حق، شاو لي و شاو زانغ على خطأ.
ج- شاو لي محق، بينما شاو وانغ وشاو زانغ على خطأ.
د- شاو زانغ على حق، شاو وانغ وشاو لي على خطأ.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,د,د,N/A,logical reasoning,"['سياو وانغ وسياو زانغ على حق، لكن سياو لي غير صحيح.', 'شاو وانغ على حق، شاو لي و شاو زانغ على خطأ.', 'شاو لي محق، بينما شاو وانغ وشاو زانغ على خطأ.', 'شاو زانغ على حق، شاو وانغ وشاو لي على خطأ.']",deductive_reasoning
4,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

كثير من الناس الذين يسمون أنفسهم بالمعلمين ليسوا في الواقع معلمين ، لأن التدريس ليس مصدر دخلهم الرئيسي.
يفترض المناقشة أعلاه الاستنتاج التالي؟
أ- دخل التدريس لا يمكن أن ي维持 الحياة الطبيعية للمدرسين.
ب- الكثير من الأشخاص الذين يسمون بالمعلمين يفتقرون إلى المعرفة والمهارات المهنية المؤهلة.
ج- مقدار الدخل هو مقياس لمدى تقدير المجتمع للمهنة.
د- لا يمكن أن يسمى الشخص كاتبًا ما لم تكن الكتابة هي المصدر الرئيسي لدخل الفرد. الوضع هو نفسه بالنسبة للمهن الأخرى.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,د- لا يمكن أن يسمى الشخص كاتبًا ما لم تكن الكتابة هي المصدر الرئيسي لدخل الفرد. الوضع هو نفسه بالنسبة للمهن الأخرى.,N/A,logical reasoning,"['دخل التدريس لا يمكن أن ي维持 الحياة الطبيعية للمدرسين.', 'الكثير من الأشخاص الذين يسمون بالمعلمين يفتقرون إلى المعرفة والمهارات المهنية المؤهلة.', 'مقدار الدخل هو مقياس لمدى تقدير المجتمع للمهنة.', 'لا يمكن أن يسمى الشخص كاتبًا ما لم تكن الكتابة هي المصدر الرئيسي لدخل الفرد. الوضع هو نفسه بالنسبة للمهن الأخرى.']",deductive_reasoning
5,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

Zhao Ming و Qian Hong و Sun Jie تم قبولهم في جامعة بكين، وجامعة تسينغ - هاو، وجامعة بكين الطبيعية. إلى أي الجامعات تم قبولهم؟ قام الطلاب بالتخمينات التالية؟ التخمين لزميل A؟ تم قبول Zhao Ming في جامعة تسينغ - هاو وتم قبول Sun Jie في جامعة بكين الطبيعية. التخمين لزميل B؟ تم قبول Zhao Ming في جامعة بكين الطبيعية، وتم قبول Qian Hong في جامعة تسينغ - هاو. التخمين لزميل C؟ تم قبول Zhao Ming في جامعة بكين، وتم قبول Sun Jie في جامعة تسينغ - هاو. نتيجة لذلك، كانت تخمينات الطلاب نصف صحيحة.
حسناً، حالة قبولهم هي
أ- تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين وجامعة Tsinghua وجامعة Beijing Normal على التوالي.
ب- تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة Tsinghua و جامعة بكين العادية و جامعة بكين على التوالي.
ج- تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين العادية وجامعة Tsinghua وجامعة بكين على التوالي.
د- تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين، وجامعة نورمال بكين، وجامعة تسينغهوا على التوالي.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,ج,الجواب هو ج.,N/A,logical reasoning,"['تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين وجامعة Tsinghua وجامعة Beijing Normal على التوالي.', 'تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة Tsinghua و جامعة بكين العادية و جامعة بكين على التوالي.', 'تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين العادية وجامعة Tsinghua وجامعة بكين على التوالي.', 'تم قبول Zhao Ming و Qian Hong و Sun Jie في جامعة بكين، وجامعة نورمال بكين، وجامعة تسينغهوا على التوالي.']",deductive_reasoning
6,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

اقترح شخص ما على مدير مصنع للملابس استبدال آلة الخياطة بخيط خياطة كبير، حتى لا تضطر إلى إيقاف الخيط في كثير من الأحيان لتغيير الخيط، مما يساعد في تقليل تكاليف العمالة.
هذا الاقتراح يفترض  البنود التالية؟
أ- خيط الخياطة الكبير ليس بقوة البوق.
ب- ينفذ المصنع نظام الأجور بالساعة، وليس نظام الأجور بالقطعة.
ج- لا تحتاج آلة الخياطة إلى إيقاف التشغيل للصيانة الدورية والتفتيش.
د- لا يُسمح للمشغلين بمغادرة الآلة أثناء العمل.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",ب,ب,ب.,N/A,logical reasoning,"['خيط الخياطة الكبير ليس بقوة البوق.', 'ينفذ المصنع نظام الأجور بالساعة، وليس نظام الأجور بالقطعة.', 'لا تحتاج آلة الخياطة إلى إيقاف التشغيل للصيانة الدورية والتفتيش.', 'لا يُسمح للمشغلين بمغادرة الآلة أثناء العمل.']",deductive_reasoning
7,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

اشترى لاو لي ساعة ووجد أن وقت الساعة كان أسرع بدقيقتين من ساعة الحائط في المنزل كل ساعة. كما قارن لاو لي ساعة الحائط في المنزل بالوقت القياسي الذي نشرته محطة الراديو، ووجد أن وقت ساعة الحائط كان أبطأ بدقيقتين من الوقت القياسي كل ساعة.
البند التالي هو التقييم الأكثر دقة والتعليل للمنطق أعلاه؟
أ- هذا المنطق صحيح. لأن الساعة تكون أسرع من ساعة الحائط بدقيقتين وساعة الحائط أبطأ من الوقت القياسي بدقيقتين، تكون الساعة والوقت القياسي متطابقين.
ب- هذه النظرية خاطئة. لأن ساعة الحائط أبطأ بـ 2 دقيقة من التوقيت القياسي، وهاتان الدقيقتان هما توقيت قياسي؛ والساعة أسرع بـ 2 دقيقة من ساعة الحائط، وهاتان الدقيقتان ليستا توقيت قياسي. لذلك، الساعة والتوقيت القياسي غير متسقين.
ج- هذا المنطق خاطئ. لأن الساعة لا ينبغي مقارنتها بساعة الحائط، ولكن ينبغي مقارنتها مباشرة بالوقت القياسي.
د- هذا المنطق خاطئ. لأن مقارنة الساعة وساعة الحائط والتوقيت القياسي للإذاعة لا يتم في نفس الوقت.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",ب,ب,ب.,N/A,logical reasoning,"['هذا المنطق صحيح. لأن الساعة تكون أسرع من ساعة الحائط بدقيقتين وساعة الحائط أبطأ من الوقت القياسي بدقيقتين، تكون الساعة والوقت القياسي متطابقين.', 'هذه النظرية خاطئة. لأن ساعة الحائط أبطأ بـ 2 دقيقة من التوقيت القياسي، وهاتان الدقيقتان هما توقيت قياسي؛ والساعة أسرع بـ 2 دقيقة من ساعة الحائط، وهاتان الدقيقتان ليستا توقيت قياسي. لذلك، الساعة والتوقيت القياسي غير متسقين.', 'هذا المنطق خاطئ. لأن الساعة لا ينبغي مقارنتها بساعة الحائط، ولكن ينبغي مقارنتها مباشرة بالوقت القياسي.', 'هذا المنطق خاطئ. لأن مقارنة الساعة وساعة الحائط والتوقيت القياسي للإذاعة لا يتم في نفس الوقت.']",deductive_reasoning
8,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

تم سرقة أحد البنوك، واشتبه في أربعة أشخاص، أ، ب، ج، د، واحتجزوا للمحاكمة. أظهرت نتائج التحقيقات أن المجرم هو واحد منهم. قال أ: ""كان ب هو من قام بالسرقة"". قال ب: ""لم أقم بالسرقة"". قال ج: ""لم أقم بالسرقة"". قال د: ""إذا لم يقم ب بالسرقة، فأنا من قمت بالسرقة"". وقد تأكد الآن أن واحدًا منهم فقط يكذب.
 بناءً على الشروط المذكورة أعلاه، هل يمكن إثبات ما يلي؟
أ- الجزء الأول.
ب- نسخة واحدة.
ج- ج مغلق.
د- دينغ يسرق.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,"## Step 1: Analyze the statements given by each person
We have four statements:
- أ says: ""ب was the one who committed the robbery.""
- ب says: ""I did not commit the robbery.""
- ج says: ""I did not commit the robbery.""
- د says: ""If ب did not commit the robbery, then I did.""

## 2: Determine the implications of each statement
- If أ is telling the truth, then ب is the thief.
- If ب is telling the truth, then he is not the thief.
- If ج is telling the truth, then he is not the thief.
- If د is telling the truth, then if ب is not the thief, د must be the thief.

## 3: Consider the condition that only one person is lying
Given that only one person is lying, we can analyze the possibilities:
- If أ is lying, then ب is not the thief. This means ب's statement ""I did not commit the robbery"" could be true, which would make ج's and د's statements potentially true as well, depending on their involvement. But if أ is lying, it doesn't directly point to who the thief is without considering the others' statements.
- If ب is lying, then he is the thief. This would make أ's statement true (since أ accused ب), and it would also mean ج and د could be telling the truth, but we have to verify if this aligns with only one liar.
- If ج is lying, then ج is the thief. This would make أ, ب, and د's statements potentially true, but again, we need to verify.
- If د is lying, then if ب is not the thief, د's statement ""I did the robbery"" would be false, implying د is not the thief if ب is not. But د's lie would mean ب could be the thief or not, based on د's false condition.

## 4: Evaluate each option with the given conditions
- Option أ (Part 1) is not directly provided, so we skip to the logical deductions.
- Option ب (نسخة واحدة) suggests a single version or scenario, which we aim to find.
- Option ج (ج مغلق) suggests ج is closed or not the thief, which might be a deduction.
- Option د (دينغ يسرق) suggests د is the thief.

## 5: Detailed deduction
If ب is the thief, then:
- أ tells the truth.
- ب lies (which fits as he says he didn't do it).
- ج and د can tell the truth (ج didn't do it, and if ب didn't do it, then د's statement would actually be about him being the thief, but since ب is the thief, د's statement is technically true because it's conditioned on ب not doing it).

However, this scenario allows for more than one liar if we consider the implications carefully, especially since we need exactly one liar.

## 6: Finding the thief with exactly one liar
- Assume ج is the thief:
- أ's statement could be false (if أ says ب did it, but ج did), making أ the liar.
- ب's statement is true (he didn't do it).
- ج's statement is false (he did it).
- د's statement could be true (if ب didn't do it, then د's condition isn't triggered).

This fits with exactly one liar (أ or ج), but let's verify:
- If أ is lying about ب, and ج is the thief, then ب, ج (if telling the truth about not doing it, which he isn't), and د can have statements that align with one liar.

## 7: Conclusion based on logic
Given د says, ""If ب did not commit the robbery, then I did,"" and only one can lie:
- If د is telling the truth, and ب didn't do it, then د must be the thief. But then, everyone's statement needs to be evaluated for truthfulness.

The best answer is د.",N/A,logical reasoning,"['الجزء الأول.', 'نسخة واحدة.', 'ج مغلق.', 'دينغ يسرق.']",deductive_reasoning
9,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

تداول التقارير الإقليمية في المقاطعة أ هو 10 أضعاف تداول التقارير الإقليمية في المقاطعة ب. لذلك، الناس في المقاطعة أ أكثر قلقا بشأن الأخبار الحالية من الناس في المقاطعة ب.
ما يلي يستنتج أنه إذا كان صحيحا، فإن الحجة أعلاه يمكن أن تُضعف أكثر؟
أ- عدد سكان المقاطعة أ هو 10% من عدد سكان المقاطعة ب.
ب- مساحة المقاطعة أ هي 5 أضعاف مساحة المقاطعة ب.
ج- الصحف الإقليمية للمقاطعة أ تباع أساسا في المقاطعات الأخرى.
د- الصحف الإقليمية للمقاطعة أ تباع في المقام الأول في المقاطعة ب.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,د,N/A,logical reasoning,"['عدد سكان المقاطعة أ هو 10% من عدد سكان المقاطعة ب.', 'مساحة المقاطعة أ هي 5 أضعاف مساحة المقاطعة ب.', 'الصحف الإقليمية للمقاطعة أ تباع أساسا في المقاطعات الأخرى.', 'الصحف الإقليمية للمقاطعة أ تباع في المقام الأول في المقاطعة ب.']",deductive_reasoning
10,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

بعد بيع منتج ما، وُجد أن به مشاكل جودة خطيرة، اقترح المستخدم ؟ ""إما الاستبدال أو التعويض بمضاعفة، واحد من الاثنين يجب أن يتم."" قال البائع؟ ""لا يمكننا الموافقة.""
إذا أصر البائع على مطالبته، فإن الاستنتاج التالي يخلص إلى أن البائع يجب أن يوافق منطقيا؟
أ- استبدل ولكن لا تضاعف التعويض.
ب- ضاعف التعويض ولكن لا تقم بتبديله.
ج- تبادل ومضاعفة التعويض.
د- إذا لم يكن من الممكن القيام بتبادل التعويض أو مضاعفته، فيجب عليك قبول كل من التبادل ومضاعفة التعويض.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,د,N/A,logical reasoning,"['استبدل ولكن لا تضاعف التعويض.', 'ضاعف التعويض ولكن لا تقم بتبديله.', 'تبادل ومضاعفة التعويض.', 'إذا لم يكن من الممكن القيام بتبادل التعويض أو مضاعفته، فيجب عليك قبول كل من التبادل ومضاعفة التعويض.']",deductive_reasoning
11,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

صداع يواجهه صانعو القرار في بلد معين هو ما يسمى بمتلازمة ""لا تبقى على بابي"". على سبيل المثال ، على الرغم من أن استطلاعات الرأي أظهرت مرارًا وتكرارًا أن غالبية الجمهور يوافقون على بناء سجون جديدة ، عندما أعلن صانعو السياسات رسميًا عن خطط لبناء سجن جديد في مكان معين ، كانت هناك دائمًا احتجاجات من السكان القريبين وبطرق احتجاج دائمًا ما يتم وضع الخطة على الرف.
التالي ينتمي أيضًا إلى متلازمة ""لا تبقى على بابي"" المذكورة أعلاه؟
أ- دافع أحد الوالدين عن عدم السماح للأطفال المصابين بفيروس نقص المناعة البشرية بالالتحاق بالمدارس الحكومية. وعندما علم أن طفلاً مصابًا بفيروس نقص المناعة البشرية قد دخل مدرسة طفله، قام على الفور باتخاذ إجراءات التوقف عن إرسال طفله إلى المدرسة.
ب- دعا سياسي إلى أن يُسجّل جميع المسؤولين الحكوميين ملكيتهم الشخصية في سجل عام، وقام هو بتقديم استمارة تسجيل ملكية مزيفة لنفسه.
ج- يدعو أستاذ إلى أن المجموعات الدينية لها التزام للمشاركة في الأعمال الخيرية، ولكنه يرفض التبرع بالمال لدعم الجياع في الصومال.
د- دعا مصنع سيارات إلى التجارة الحرة الدولية للسيارات من أجل مصلحة اقتصادات مختلف البلدان، ولكنه يطلب من حكومته تقييد استيراد السيارات الأجنبية الصنع.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,"د

الخيار د يمثل مثالًا واضحًا على متلازمة ""لا تبقى على بابي"". في هذا السيناريو، يدعو مصنع السيارات إلى التجارة الحرة الدولية للسيارات، معللًا ذلك بمصلحة اقتصادات مختلف البلدان. ومع ذلك، عندما يتعلق الأمر بمصالحه الشخصية أو صناعته، يطلب من حكومته تقييد استيراد السيارات الأجنبية الصنع. هذا يشبه سيناريو ""لا تبقى على بابي""، حيث يدعم فكرة عامة (التجارة الحرة) عندما لا تؤثر مباشرة على مصالحه الشخصية، ولكن عندما تصل إلى عتبة منزله (صناعة السيارات الخاصة به)، يرفضها.

في متلازمة ""لا تبقى على بابي""، يظهر الأشخاص موافقة عامة على سياسة أو فكرة معينة، ولكن عندما تواجههم بشكل مباشر أو تؤثر على مصالحهم الشخصية، يغيرون مواقفهم أو يعارضونها. الخيار د يوضح هذا التناقض بشكل جيد، حيث يدعم مصنع السيارات فكرة التجارة الحرة بشكل عام، لكنه يعارضها عندما قد تؤثر على صناعته.",N/A,logical reasoning,"['دافع أحد الوالدين عن عدم السماح للأطفال المصابين بفيروس نقص المناعة البشرية بالالتحاق بالمدارس الحكومية. وعندما علم أن طفلاً مصابًا بفيروس نقص المناعة البشرية قد دخل مدرسة طفله، قام على الفور باتخاذ إجراءات التوقف عن إرسال طفله إلى المدرسة.', 'دعا سياسي إلى أن يُسجّل جميع المسؤولين الحكوميين ملكيتهم الشخصية في سجل عام، وقام هو بتقديم استمارة تسجيل ملكية مزيفة لنفسه.', 'يدعو أستاذ إلى أن المجموعات الدينية لها التزام للمشاركة في الأعمال الخيرية، ولكنه يرفض التبرع بالمال لدعم الجياع في الصومال.', 'دعا مصنع سيارات إلى التجارة الحرة الدولية للسيارات من أجل مصلحة اقتصادات مختلف البلدان، ولكنه يطلب من حكومته تقييد استيراد السيارات الأجنبية الصنع.']",deductive_reasoning
12,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

كشف تقرير عن التحقيق في الجرائم أن 60٪ من قضايا الجرائم الخطيرة في مدينة خلال السنوات الثلاث الماضية ارتكبها 350 مجرمًا معتادًا تم تسجيلهم. كما كشف التقرير أن أكثر من نصف مرتكبي الجرائم الخطيرة كانوا أيضًا مدمنين على المخدرات،
إذا كانت الاستنتاجات المذكورة أعلاه صحيحة، فما الذي يجب أن يكون صحيحًا؟
أ- قد لا يكون هناك مدمنو مخدرات من بين 35O من المجرمين المتكررين.
ب- يجب أن يكون هناك مدمنون مخدرات من بين 350 مجرم متكرر.
ج- معظم الـ 350 من المخالفين المتكررين هم مدمنون مخدرات.
د- معظم مدمني المخدرات هم من بين ٣٥٠ من المخالفين المتكررين.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",أ,ب,ب- يجب أن يكون هناك مدمنون مخدرات من بين350 مجرم متكرر.,N/A,logical reasoning,"['قد لا يكون هناك مدمنو مخدرات من بين 35O من المجرمين المتكررين.', 'يجب أن يكون هناك مدمنون مخدرات من بين 350 مجرم متكرر.', 'معظم الـ 350 من المخالفين المتكررين هم مدمنون مخدرات.', 'معظم مدمني المخدرات هم من بين ٣٥٠ من المخالفين المتكررين.']",deductive_reasoning
