#,ID,Source,Country,Group,Subject,Level,Question,BackStory,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
1,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ماذا سيفعل شياو مينغ على الأرجح؟,"في أمسية عطلة شتوية، يلعب وانغ لي، وليو تينغ، وشياو مينغ بالألعاب معًا في المنزل. يلعبون أولاً بسيارة كهربائية، ثم يلعبون بلعبة الأحجية. في هذا الوقت، يقول وانغ لي، ""لديّ ما أفعله وعليّ مغادرة الغرفة""، ويغادر بعد إغلاق الباب. تقول ليو تينغ، ""أوه، لقد ذهب، لا يهم، نلعب معًا."" يلعب ليو تينغ وشياو مينغ بأقلام التلوين. بعد اللعب، يضعون الألعاب الثلاث كلها في طبق على الطاولة. في هذه اللحظة، يعود وانغ لي، وينظر إلى الألعاب الثلاث في الطبق، ويقول بحماس: ""انظر! يا لها من لعبة!""، ""شياو مينغ، هل يمكنك أن تعطيني إياها؟""",,C,يأخذ شياو مينغ السيارة الكهربائية ويعطيها لوانغ لي,يأخذ شياو مينغ الأحجية ويعطيها لوانغ لي,يأخذ شياو مينغ أقلام التلوين ويعطيها لوانغ لي,يأخذ شياو مينغ لعبة ويعطيها لوانغ لي بشكل عشوائي,,False
2,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما هو أقرب شيء ستفعله شياو فانغ؟,"في ظهيرة يوم مشمس في نهاية الأسبوع، تلعب لي جوان ووانغ تشيانغ وشياو فانغ معًا في المنزل. يبدأون بلعبة مسلية أولى، وهي لغز متاهة ثلاثي الأبعاد، ثم ينتقلون إلى لعبة ممتعة أخرى، طائرة كهربائية. في هذا الوقت، تقول لي جوان: ""لدي بعض الأمور التي يجب أن أقوم بها وأحتاج إلى مغادرة الغرفة""، وتغادر بعد إغلاق الباب. يقول وانغ تشيانغ: ""أوه، لقد ذهبت، لا بأس، سنلعب معًا نحن."" يلعب وانغ تشيانغ وشياو فانغ بلعبة ثالثة مبتكرة، وهي ضوء ملون ذكي دوار. بعد الانتهاء من اللعب، يضعون الألعاب الثلاث جميعها في طبق على الطاولة. في هذه اللحظة، تعود لي جوان، وتنظر إلى الألعاب الثلاث في الطبق، وتقول بحماس: ""أوه، انظروا! انظروا إلى تلك اللعبة!""، ""شياو فانغ، هل يمكنك أن تعطيني إياها؟""",,B,شياو فانغ تلتقط الطائرة الكهربائية وتعطيها إلى لي جوان,شياو فانغ تلتقط الضوء الملون الذكي الدوار وتعطيه إلى لي جوان,شياو فانغ تلتقط إحدى الألعاب الثلاث بشكل عشوائي وتعطيها إلى لي جوان,شياو فانغ تلتقط لغز المتاهة ثلاثي الأبعاد وتعطيه إلى لي جوان,,False
3,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ماذا ستفعل شياو فانغ على الأرجح؟,"في إحدى ليالي العطلات، كان ليو شياو وتشن فنغ وشياو فانغ يلعبون بالألعاب معًا في المنزل. بدأوا باللعبة الأولى، وهي كرة المتاهة، ثم لعبوا معًا باللعبة الثانية، وهي بيانو إلكتروني. في هذه الأثناء، قال ليو شياو: ""لدي ما أفعله وعليّ أن أغادر الغرفة""، وخرج بعد أن أغلق الباب. فقال تشن فنغ: ""لا يهم خروجه، سنلعب نحن"". ثم لعب تشن فنغ وشياو فانغ باللعبة الثالثة، وهي طائرة نموذجية. بعد الانتهاء، وضعوا الألعاب الثلاث جميعها في صينية على الطاولة. وعندما عاد ليو شياو، نظر إلى الألعاب في الصينية وقال بلهفة: ""انظروا! ما هذه اللعبة!"" ثم سأل شياو فانغ: ""ممكن تناوليني إياها؟""",,D,تختار شياو فانغ البيانو الإلكتروني وتعطيه لليو شياو,تختار شياو فانغ إحدى الألعاب الثلاث بشكل غير محدد وتعطيها لليو شياو,تختار شياو فانغ كرة المتاهة وتعطيها لليو شياو,تختار شياو فانغ الطائرة النموذجية وتعطيها لليو شياو,,False
4,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ماذا سيفعل شياو مينغ على الأرجح؟,"في ظهيرة يوم سبت، يلعب وانغ جون ولي لي وشياو مينغ معًا في المنزل. بدأوا باللعب بالطائرة التي يتم التحكم فيها عن بعد، ثم لعبوا بالصلصال. عندها، قال وانغ جون: ""لدي ما أفعله ويجب أن أغادر الغرفة""، وخرج بعد أن أغلق الباب. قالت لي لي: ""لا بأس، لقد ذهب، سنلعب نحن"". لعبت لي لي وشياو مينغ بلوحة الرسم. بعد الانتهاء، وضعوا الألعاب الثلاث في وعاء على الطاولة. عاد وانغ جون، ونظر إلى الألعاب الثلاث في الوعاء، وقال بحماس: ""انظروا! انظروا إلى هذه اللعبة!"" ثم أضاف موجها كلامه لشياو مينغ: ""هل يمكنك أن تعطيني إياها؟""",,C,يلتقط شياو مينغ الطائرة التي يتم التحكم فيها عن بعد ويعطيها لوانغ جون,يلتقط شياو مينغ الصلصال ويعطيه لوانغ جون,يلتقط شياو مينغ لوحة الرسم ويعطيها لوانغ جون,يلتقط شياو مينغ إحدى الألعاب الثلاث بشكل عشوائي ويعطيها لوانغ جون,,False
5,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ماذا من المرجح أن تفعل شياو شيويه؟,"في أمسية من أمسيات عطلة الشتاء، يلعب كل من يانغ تشن، وليو يانغ، وشياو شيويه بالألعاب في المنزل. بدأوا بصندوق التجارب العلمية، ثم بالمكعبات المغناطيسية. عند هذه النقطة، قال يانغ تشن: ""لديّ ما أفعله ويجب أن أغادر الغرفة""، وخرج بعد أن أغلق الباب. قال ليو يانغ: ""لا بأس في خروجه، سنلعب أنا وشياو شيويه"". لعب ليو يانغ وشياو شيويه بسيارة التحكم عن بعد. وبعد الانتهاء، وضعوا الألعاب الثلاث في وعاء على الطاولة. عاد يانغ تشن في هذه اللحظة، ونظر إلى الألعاب الثلاث في الوعاء، وقال بلهفة: ""يا إلهي! انظروا إلى هذه اللعبة!""، ""شياو شيويه، هل يمكنكِ أن تعطيني إياها؟""",,C,تختار شياو شيويه صندوق التجارب العلمية وتعطيه ليانغ تشن.,تختار شياو شيويه المكعبات المغناطيسية وتعطيها ليانغ تشن.,تختار شياو شيويه سيارة التحكم عن بعد وتعطيها ليانغ تشن.,تختار شياو شيويه إحدى الألعاب عشوائيًا من بين الثلاث وتعطيها ليانغ تشن.,,False
6,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ماذا سيفعل شياو لي على الأرجح؟,"في أمسية عطلة شتوية، يلعب كل من لي جوان، ووانغ هاو، وشياو لي بالألعاب معًا في المنزل. يلعبون أولاً باللعبة الجديدة الأولى - جهاز عرض الضوء والظل، ثم يلعبون باللعبة الجديدة الثانية - سيارة تحكم عن بعد لاسلكية. عندها، تقول لي جوان: ""سأذهب لضبط الستائر في الغرفة""، تنهض وتمشي نحو الستائر، وتشاهدهم يواصلون اللعب. يقول وانغ هاو: ""أوه، هي هنا، لا يهم، لكنها ما زالت تراقبنا، لذلك نكمل اللعب."" يلعب وانغ هاو وشياو لي باللعبة الجديدة الثالثة - طائرة ذكية. بعد اللعب، يضعون الألعاب الثلاث في طبق على الطاولة. بعد فترة، تعود لي جوان إلى جانب الطبق، وتنظر إلى الألعاب الثلاث في الطبق، وتقول بحماس: ""أوه، انظر! يا لها من لعبة!""، ""شياو لي، هل يمكنك تمريرها لي؟""",,A,سيختار شياو لي عشوائيا إحدى اللعب الثلاث ويعطيها لـ لي جوان,يختار شياو لي سيارة التحكم عن بعد اللاسلكية ويعطيها إياها,يختار شياو لي الطائرة الذكية ويعطيها إياها,يختار شياو لي جهاز عرض الضوء والظل ويعطيها إياها,,False
7,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما هو الأرجح أن يفعله شياو مينغ؟,"في ظهيرة أحد أيام العطلات، يلعب لي هوا ووانغ وي وشياو مينغ معًا في المنزل. يلعبون أولاً باللعبة الأولى - سيارة تعمل بجهاز تحكم عن بعد، ثم يلعبون باللعبة الثانية - معجون اللعب. في هذه الأثناء، يقول لي هوا، ""سأذهب لتعديل إضاءة الغرفة""، ثم ينهض ويمشي نحو مفتاح الإضاءة، ويراقبهم وهم يكملون اللعب. يقول وانغ وي، ""أوه، هو هنا، لا يهم، لكنه يراقبنا، لذلك نكمل اللعب."" يلعب وانغ وي وشياو مينغ باللعبة الثالثة - لعبة تجميع الصور (بازل). بعد الانتهاء من اللعب، يضعون الألعاب الثلاث جميعها في طبق على الطاولة. بعد قليل، يعود لي هوا، وينظر إلى الألعاب الثلاث في الطبق، ويقول بحماس: ""انظروا! انظروا إلى تلك اللعبة!""، ""شياو مينغ، هل يمكنك أن تعطيني إياها؟""",,A,يختار شياو مينغ عشوائيًا إحدى الألعاب الثلاث ويعطيها لـ لي هوا,يختار شياو مينغ معجون اللعب ويعطيه لـ لي هوا,يختار شياو مينغ لعبة تجميع الصور (البازل) ويعطيها لـ لي هوا,يختار شياو مينغ السيارة التي تعمل بجهاز تحكم عن بعد ويعطيها لـ لي هوا,,False
8,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ماذا يحتمل أن يفعل شياو قانغ؟,"في إحدى ليالي عطلة الشتاء، كان تشانغ لي، ووانغ لي، وشياو قانغ يلعبون معًا في المنزل. بدأوا باللعب باللعبة الأولى الجديدة - روبوت متحول، ثم باللعبة الثانية الجديدة - بالونات ملونة. عندها قال تشانغ لي: ""سأذهب لضبط درجة حرارة مكيف الهواء""، فنهض وسار نحو المكيف، يراقبهم وهم يكملون اللعب. فقالت وانغ لي: ""أوه، هو موجود، لا علينا، لكنه ما زال يشاهدنا، فلنكمل لعبنا إذًا."" لعب وانغ لي وشياو قانغ باللعبة الثالثة الجديدة - طائرة كهربائية. بعد الانتهاء، وضعوا الألعاب الثلاثة في طبق على الطاولة. بعد قليل، عاد تشانغ لي، ونظر إلى الألعاب الثلاث في الطبق، وقال بلهفة: ""يا إلهي، انظروا! انظروا إلى هذه اللعبة!""، ""شياو قانغ، هل يمكنك أن تعطيني إياها؟""",,B,يمد شياو قانغ يده إلى الروبوت المتحول ويعطيه لتشانغ لي,يأخذ شياو قانغ لعبة بشكل عشوائي من بين الألعاب الثلاث ويعطيها لتشانغ لي,يلتقط شياو قانغ الطائرة الكهربائية ويعطيها لتشانغ لي,يختار شياو قانغ البالون الملون ويعطيه لتشانغ لي,,False
9,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما هو الأرجح أن تفعله شياو فانغ؟,"في إحدى ليالي عيد الربيع، يلعب كل من لي تشيانغ وتشانغ لي وشياو فانغ بالألعاب في المنزل. بدأوا بلعبة مسلية وهي أحجية، ثم لعبوا بلعبة أخرى تصدر ألحاناً موسيقية. في هذه الأثناء، قال لي تشيانغ: ""سأذهب لتعديل الستائر في الغرفة""، ثم نهض ومشى نحو الستائر، بينما استمر الاثنان في اللعب. علقت تشانغ لي قائلة: ""لا يهم وجوده هنا، طالما أنه يشاهدنا، فلنكمل اللعب."" لعبت تشانغ لي وشياو فانغ بلعبة ثالثة ومسلية، وهي دمية المفاجآت. بعد الانتهاء، وضعوا الألعاب الثلاث في طبق على الطاولة. بعد قليل، عاد لي تشيانغ، ونظر إلى الألعاب الثلاث في الطبق، وقال بلهفة: ""يا إلهي! انظروا إلى هذه اللعبة!"" ثم أضاف: ""شياو فانغ، هل يمكنكِ أن تعطيني إياها؟""",,C,تأخذ شياو فانغ الأحجية وتعطيها للي تشيانغ,تأخذ شياو فانغ اللعبة الموسيقية وتعطيها للي تشيانغ,تأخذ شياو فانغ لعبة بشكل عشوائي من بين الألعاب الثلاث وتعطيها للي تشيانغ,تأخذ شياو فانغ دمية المفاجآت وتعطيها للي تشيانغ,,False
10,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما الذي سيفعله شياو يو على الأرجح؟,"في أمسية يوم الأحد، يلعب ليو جيه وتشن مينغ وشياو يو بالألعاب معًا في المنزل. بدأوا بأول لعبة جديدة - لوحة الرسم بالرمل، ثم لعبوا باللعبة الجديدة الثانية - سيارة الالتواء. بعد قليل، قالت ليو جيه: ""سأذهب لضبط درجة حرارة المكيف""، ثم نهضت وسارت نحو المكيف تراقبهم وهم يكملون اللعب. علق تشن مينغ قائلاً: ""أوه، هي تراقبنا، لا مشكلة، فلنكمل اللعب."" لعب تشن مينغ وشياو يو باللعبة الجديدة الثالثة - أحجية الكريستال. بعد الانتهاء، وضعوا الألعاب الثلاث جميعها في وعاء على الطاولة. بعد برهة، عادت ليو جيه، ونظرت إلى الألعاب الثلاث في الوعاء، وقالت بلهفة: ""يا إلهي! انظروا إلى هذه اللعبة! شياو يو، هل يمكنك أن تعطيني إياها؟""",,D,يلتقط شياو يو لوحة الرسم بالرمل ويقدمها إلى ليو جيه,يلتقط شياو يو سيارة الالتواء ويهديها إلى ليو جيه,يلتقط شياو يو أحجية الكريستال ويعطيها لـ ليو جيه,يلتقط شياو يو إحدى الألعاب الثلاث بشكل عشوائي ويسلمها إلى ليو جيه,,False
