index,prompt,golds,preds,raw_preds,subject,options,ABILITY
2,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

يجلس ثلاثة طلاب دوليين جنبًا إلى جنب على الكرسي. بالفعل يعرفون؟ (1) يكون أحد الشخصين على اليمين من الطالب السوداني طالب فرنسي. (2) يوجد طالب فرنسي أيضًا بين الشخصين على اليسار من الطالب الفرنسي. (3) يكون أحد الشخصين على اليسار من الطفل فتاة. (4) يكون أحد الشخصين على اليمين من الفتاة أيضًا فتاة. 
هكذا، هل هذا الحكم صحيح؟
أ- الفتيات السودانية والفتيان الفرنسيون. الفتيان الفرنسيون.
ب- الأولاد السودانيون، الأولاد الفرنسيون، البنات الفرنسيات.
ج- الفتيات السودانيات، الفتيات الفرنسية، الفتيات الفرنسية.
د- الفتيات السودانيات، الفتيات الفرنسيات، الفتيان الفرنسات.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,د.,logical reasoning,"['الفتيات السودانية والفتيان الفرنسيون. الفتيان الفرنسيون.', 'الأولاد السودانيون، الأولاد الفرنسيون، البنات الفرنسيات.', 'الفتيات السودانيات، الفتيات الفرنسية، الفتيات الفرنسية.', 'الفتيات السودانيات، الفتيات الفرنسيات، الفتيان الفرنسات.']",deductive_reasoning
4,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

يُعتبر الكثير من الأشخاص الذين يُدعون معلمين، في الواقع، ليسوا معلمين، لأن التدريس ليس مصدر رزقهم الرئيسي.
يُستنتج من النقاش السابق ما يلي؟
أ- لا يمكن أن يحافظ دخل التدريس على الحياة العادية للمعلمين.
ب- تفتقر العديد من الأشخاص الذين يُسمون معلمين إلى المعرفة والمهارات المهنية الماهرة.
ج- هذا القدر من الدخل هو مقياس يُقاس به قيمة المهنة من قبل المجتمع.
د- لا يمكن تسمية الشخص ككاتب إلا إذا كان الكتابة مصدرًا رئيسيًا للدخل له. يعتبر الأمر نفسه بالنسبة للوظائف الأخرى.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,الجواب هو د.,logical reasoning,"['لا يمكن أن يحافظ دخل التدريس على الحياة العادية للمعلمين.', 'تفتقر العديد من الأشخاص الذين يُسمون معلمين إلى المعرفة والمهارات المهنية الماهرة.', 'هذا القدر من الدخل هو مقياس يُقاس به قيمة المهنة من قبل المجتمع.', 'لا يمكن تسمية الشخص ككاتب إلا إذا كان الكتابة مصدرًا رئيسيًا للدخل له. يعتبر الأمر نفسه بالنسبة للوظائف الأخرى.']",deductive_reasoning
6,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

اقترح شخص على مدير مصنع الملابس استبدال آلة الخياطة بمسمار خياطة كبير، بحيث لا تضطر إلى وقف السلك بشكل متكرر لتحويل السلك، مما يساعد في تقليل تكاليف العمل.
يحتوى هذا الاقتراح على العناصر التالية؟
أ- لا يُعتبر النسيج الكبير قويًا مثل الناي.
ب- تطبق المصنع نظام الأجور الساعة الساعة وليس نظام الأجور على أساس القطعة.
ج- لا يحتاج جهاز الخياطة إلى إيقاف تشغيله للصيانة والفحص العاديين.
د- لا يُسمح للعاملين في الماكينات بالخروج منها أثناء العمل.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",ب,ب,ب.,logical reasoning,"['لا يُعتبر النسيج الكبير قويًا مثل الناي.', 'تطبق المصنع نظام الأجور الساعة الساعة وليس نظام الأجور على أساس القطعة.', 'لا يحتاج جهاز الخياطة إلى إيقاف تشغيله للصيانة والفحص العاديين.', 'لا يُسمح للعاملين في الماكينات بالخروج منها أثناء العمل.']",deductive_reasoning
7,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

اشترى لاو لي ساعةً وجد أن الوقت في الساعة كان 2 دقائق أسرع من الساعة على الجدار في المنزل كل ساعة. كما قارن لاو لي الساعة على الجدار في المنزل مع الوقت المعياري الذي نشرته محطة الراديو، وجد أن الوقت في الساعة على الجدار كان 2 دقائق أبطأ من الوقت المعياري كل ساعة.
النقطة التي تظهر في السؤال أعلاه هي:
أ- هذا التفسير صحيح. لأن الساعة 2 دقيقة أسرع من الساعة الحائط و الساعة الحائط 2 دقيقة أبطأ من الوقت القياسي، فإن الساعة والوقت القياسي هما نفسيهما. 
 الساعة تتوافق مع الوقت القياسي.
ب- هذه النظرية خاطئة. لأن الساعة على الجدار أبطأ ب 2 دقائق عن الوقت القياسي، فإن هذه 2 دقائق هي الوقت القياسي. بينما الساعة هي أبطأ من الساعة على الجدار ب 2 دقائق، وبالتالي فإن هذه 2 دقائق ليست من الوقت القياسي. لذلك، فإن الساعة والوقت القياسي غير متسقين.
ج- هذا التفسير خاطئ. لأن الساعة يجب أن لا يتم مقارنتها بالساعة الحائط، ولكن يجب أن يتم مقارنتها مباشرة مع الوقت القياسي.
د- هذا التفسير خاطئ. لأن المقارنة بين الوقت المحمول والمنبه والمنبه القياسي ليست أجريت في نفس الوقت.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",ب,ب,"أ

## الساعة أسرع من ساعة الحائط ب 2 دقيقة ،وساعة الحائط أبطأ من الوقت القياسي ب 2 دقيقة 

## إذا فإن الساعة أسرع من الوقت القياسي ب 4 دقائق 

## الساعة إذن لا تتوافق مع الوقت القياسي

الخيار أ يذهب في الاتجاه المعاكس لما تم إثباته أعلاه

الخيار ب يرتكب خطأ عندما يعتبر أن الساعة أبطأ من ساعة الحائط

الخيار ج يعتبر أن المقارنة غير مباشرة و هذا لا يغير من صحة الاستنتاج

الخيار د لا يمتلك أي قيمة منطقية في هذه الحالة 

الجواب هو أではありません بل  ب أو ج أو د 

لكن ب يبدو معقولا أكثر من الآخرين 

الجواب هو ب",logical reasoning,"['هذا التفسير صحيح. لأن الساعة 2 دقيقة أسرع من الساعة الحائط و الساعة الحائط 2 دقيقة أبطأ من الوقت القياسي، فإن الساعة والوقت القياسي هما نفسيهما. \n الساعة تتوافق مع الوقت القياسي.', 'هذه النظرية خاطئة. لأن الساعة على الجدار أبطأ ب 2 دقائق عن الوقت القياسي، فإن هذه 2 دقائق هي الوقت القياسي. بينما الساعة هي أبطأ من الساعة على الجدار ب 2 دقائق، وبالتالي فإن هذه 2 دقائق ليست من الوقت القياسي. لذلك، فإن الساعة والوقت القياسي غير متسقين.', 'هذا التفسير خاطئ. لأن الساعة يجب أن لا يتم مقارنتها بالساعة الحائط، ولكن يجب أن يتم مقارنتها مباشرة مع الوقت القياسي.', 'هذا التفسير خاطئ. لأن المقارنة بين الوقت المحمول والمنبه والمنبه القياسي ليست أجريت في نفس الوقت.']",deductive_reasoning
8,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

سُئل البنك، وأربعة أشخاص، أ.ب.سي، كانوا مشتبهين في الاعتقال للمحاكمة. وأظهرت نتائج التحريات أن الجريمة واحدة منهم. قال أ: ""كانت بنگ یو."" قال ب: ""لست قد سرق."" قال ن: ""لست قد سرق."" قال د: ""إذا لم یسرق ب، فإنني سرقت."" تم تأكيد ذلك الآن أن واحدًا فقط منهم يكذب.
هل يمكن أن يتم تأسيس ما يلي؟
أ- الجزء الأول.
ب- نسخة واحدة.
ج- قريب.
د- أخذ Ding.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,الجواب هو د.,logical reasoning,"['الجزء الأول.', 'نسخة واحدة.', 'قريب.', 'أخذ Ding.']",deductive_reasoning
9,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

يُعتبر تداول التقارير المحلية في محافظة أ عشر مرات أكبر من تداول التقارير المحلية في محافظة ب. لذلك، فإن الناس في محافظة أ أكثر قلقاً من الأخبار الحالية من الناس في محافظة ب.
يُعتبر ما يلي ضعيفاً للقول السابق إذا كان صحيحاً:
أ- يبلغ عدد سكان مقاطعة أ 10% من عدد سكان مقاطعة ب.
ب- المساحة لأقليم أ هي 5 مرات المساحة لأقليم ب.
ج- تُباع صحف المحافظات في محافظة أ بشكل رئيسي في محافظات أخرى.
د- تُباع صحف المحافظة في محافظة أ بشكل رئيسي في محافظة ب.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,الإجابة الصحيحة هي د.,logical reasoning,"['يبلغ عدد سكان مقاطعة أ 10% من عدد سكان مقاطعة ب.', 'المساحة لأقليم أ هي 5 مرات المساحة لأقليم ب.', 'تُباع صحف المحافظات في محافظة أ بشكل رئيسي في محافظات أخرى.', 'تُباع صحف المحافظة في محافظة أ بشكل رئيسي في محافظة ب.']",deductive_reasoning
10,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

بعد أن يباع المنتج، يُكتشف أن هناك مشاكل جذرية في الجودة، ي提ح المستهلك؟ ""أو التبادل أو تعزيز التعويض بمرتين، يجب أن تفعل أحدهما."" قالت المبيعات؟ ""لا يمكننا الاتفاق.""
إذا استمر المبيعات في مطالبه، يُستنتج أنه يجب على المبيعات أن يتفق بشكل منطقي؟
أ- تجديد التعويض دون زيادته.
ب- تضاعف التعويض دون تبادل.
ج- زيادة المرتبتين وضربها باثنين.
د- إذا لم يكن بالإمكان إجراء التبادل أو إضاعة التعويض، يجب قبول كلا التبادل وإضاعة التعويض.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,الجواب هو د.,logical reasoning,"['تجديد التعويض دون زيادته.', 'تضاعف التعويض دون تبادل.', 'زيادة المرتبتين وضربها باثنين.', 'إذا لم يكن بالإمكان إجراء التبادل أو إضاعة التعويض، يجب قبول كلا التبادل وإضاعة التعويض.']",deductive_reasoning
11,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

تُصادف السياسيين في بلد معين مشكلة ما يُعرف بالمرض ""لا تظل على بابي"". على سبيل المثال، على الرغم من أن استطلاعات الرأي قد أظهرت عدة مرات أن الأغلبية العامة تدعم بناء سجون جديدة، عندما أعلن السياسيون رسمياً عن خطط بناء سجن جديد في مكان معين، هناك دائمًا احتجاجات من سكان المناطق المجاورة، وبأي حال كان هناك دائمًا طرقًا لوقف خطة البناء.
يتبع أيضًا ما يُشير إليه المرض ""لا تظل على بابي"" المذكور أعلاه؟
أ- يصرّ أحد الوالدين على أن الأطفال المصابين بالفيروس المناعي البشري (HIV) لا يمكن أن يُدخلوا إلى المدارس العامة. عندما عرف أن طفلاً مصاباً بالفيروس المناعي البشري (HIV) دخل مدرسة ابنته، فانخرط فوراً في الإجراءات لانسحابه من مدرسة ابنته 
.
ب- كان سياسيًا يadvocate أن جميع الموظفين الحكوميين يجب أن يقوموا بترخيص ملكية شخصية عامة،  و قدم نفسه صورة ترخيص ملكية كاذبة.
ج- يُدافع أستاذٌ عن فكرة أنّ الجماعات الدينية تحتاج إلى المشاركة في الأعمال الخيرية، لكنه يرفض إعطاء المال لدعم الفقراء في الصومال.
د- تطالب شركة تصنيع السيارات بالتجارة الحرة الدولية للسيارات من أجل تحسين اقتصاد الدول المختلفة، ولكن تطلب من حكومتها تقييد إيراد السيارات المصنعة في الخارج.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,د,الإجابة الصحيحة هي د.,logical reasoning,"['يصرّ أحد الوالدين على أن الأطفال المصابين بالفيروس المناعي البشري (HIV) لا يمكن أن يُدخلوا إلى المدارس العامة. عندما عرف أن طفلاً مصاباً بالفيروس المناعي البشري (HIV) دخل مدرسة ابنته، فانخرط فوراً في الإجراءات لانسحابه من مدرسة ابنته \n.', 'كان سياسيًا يadvocate أن جميع الموظفين الحكوميين يجب أن يقوموا بترخيص ملكية شخصية عامة،  و قدم نفسه صورة ترخيص ملكية كاذبة.', 'يُدافع أستاذٌ عن فكرة أنّ الجماعات الدينية تحتاج إلى المشاركة في الأعمال الخيرية، لكنه يرفض إعطاء المال لدعم الفقراء في الصومال.', 'تطالب شركة تصنيع السيارات بالتجارة الحرة الدولية للسيارات من أجل تحسين اقتصاد الدول المختلفة، ولكن تطلب من حكومتها تقييد إيراد السيارات المصنعة في الخارج.']",deductive_reasoning
13,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

إذا ذهب سياو تشاو للرحلة، فإن سياو تشيان، سياو صن وسياولى سيذهبون معًا.
إذا كانت الاستنتاج السابق صحيحًا، فإن ما يلي هو صحيح أيضًا؟
أ- إذا لم يرحل شیو چاو، فعلى الأقل واحد من شیو چیان، شیو صن، وشیو لی لم يذهب. 
 إذا لم يرحل شیو چاو، فعلى الأقل واحد من شیو چیان، شیو صن، وشیو لی لم يذهب.
ب- إذا لم يرحل شیو چاو، فإن شیو چیان، شیو صن، وشیو لی لم یذهبوا. 
 إذا لم يرحل شیو چاو، فإن شیو چیان، شیو صن، وشیو لی لم یذهبوا.
ج- إذا ذهب سونغ تشاويان و سونغ تشاو صن و سونغ تشاو لي، فإن سونغ تشاو جيا يذهب أيضًا
د- إذا لم يذهب سونغ شاو إلى السفر، فإن تشاو تشاو و تشاو لي لن يذهبا.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",د,,"الجواب هو: أ 

إذا ذهب سياو تشاو للرحلة، فإن سياو تشيان، سياو صن وسياولى سيذهبون معًا.

هذا يعني أن وجود سياو تشاو يضمن وجود الثلاثة الآخرين.

منطقيًا، إذا لم يذهب سياو تشاو، لا يمكن ضمان وجود أي من الثلاثة الآخرين، لكن من الممكن أن يكون واحد منهم أو اثنين أو الثلاثة ذهبوا.

لذلك، الاستنتاج المنطقي هو: إذا لم يرحل شیو چاو، فعلى الأقل واحد واحد من شیو چیان،،assistant شیو صن، وشیو لی لم يذهب. 

هذا يتوافق مع الخيار (أ).",logical reasoning,"['إذا لم يرحل شیو چاو، فعلى الأقل واحد من شیو چیان، شیو صن، وشیو لی لم يذهب. \n إذا لم يرحل شیو چاو، فعلى الأقل واحد من شیو چیان، شیو صن، وشیو لی لم يذهب.', 'إذا لم يرحل شیو چاو، فإن شیو چیان، شیو صن، وشیو لی لم یذهبوا. \n إذا لم يرحل شیو چاو، فإن شیو چیان، شیو صن، وشیو لی لم یذهبوا.', 'إذا ذهب سونغ تشاويان و سونغ تشاو صن و سونغ تشاو لي، فإن سونغ تشاو جيا يذهب أيضًا', 'إذا لم يذهب سونغ شاو إلى السفر، فإن تشاو تشاو و تشاو لي لن يذهبا.']",deductive_reasoning
15,"السؤال التالي هو سؤال استدلال استنباطي حول logical reasoning.

في مطعم، يتحدث طاولة عن الأعمال أثناء الأكل. من بينهم، ثلاثة من تشنجدو، ثلاثة من شنغهاي، واثنان فقط يشتغلون في مجال الإلكترونيات والميكانيكا. ثلاثة أشخاص يشتغلون أيضًا في مجال منتجات التجميل.
إذا كانت هذه النتيجة صحيحة، فإن النتيجة التالية أيضا صحيحة؟
أ- يُمكن أن يكون من 3 أشخاص على الأقل، و 8 أشخاص على الأكثر.
ب- قد تكون الأقلية 5 أشخاصاً، والاكثرية 8 أشخاصاً.
ج- قد تكون الأقلية 5 أشخاصاً ، و قد تكون الأغلبية 9 أشخاصاً.
د- يُمكن أن يكون من 3 أشخاص على الأقل، و من 9 أشخاص على الأكثر.

الرجاء الإجابة فقط بحرف الخيار الموافق للاستنتاج الأكثر سلامة منطقيًا.",ب,,"## Step  يبدأ سؤال المنطق بوصف مواقف معينة ثم يسأل عن النتائج المحتملة التي يمكن استخلاصها من هذا الوصف.

الوصف: في المطعم، هناك أشخاص من تشنجدو وشنغهاي يتحدثون عن أعمالهم. من بينهم، ثلاثة من تشنجدو، ثلاثة من شنغهاي، واثنان فقط يعملون في مجال الإلكترونيات والميكانيكا، وثلاثة أشخاص يعملون في مجال منتجات التجميل.

## الخطوة الأولى: تحليل المعلومات المعطاة
- هناك 3 أشخاص من تشنجدو و 3 أشخاص من شنغهاي، مما يعني أن هناك 6 أشخاص على الأقل في المجموعة.
- 2 أشخاص يعملون في مجال الإلكترونيات والميكانيكا.
- 3 أشخاص يعملون في مجال منتجات التجميل.

## الخطوة الثانية: فهم المتطلبات
يطلب السؤال منا تحديد النتيجة الصحيحة بناءً على المعلومات المقدمة.

## الخطوة الثالثة: تقييم الخيارات
- **الخيار أ:** يقول أن عدد الأشخاص يمكن أن يكون من 3 على الأقل و 8 على الأكثر. إذا كان هناك 3 من تشنجدو و 3 من شنغهاي، فهذا يعني أن هناك 6 أشخاص على الأقل. يمكن أن يكون هناك شخص آخر لا يندرج تحت أي من الفئات المذكورة أو يعمل في مجال مختلف، مما يجعل العدد يصل إلى 7 أو أكثر. لكن، إذا كان جميع الأشخاص الستة يعملون في أحد المجالات الثلاثة المذكورة (2 إلكترونيات وميكانيكا + 3 تجميل)، فلا يمكن أن يكون العدد أقل من 6. لكن يمكن أن يكون هناك شخص سابع أو ثامن إذا كان هناك شخص آخر يعمل في مجال مختلف أو لا يندرج تحت التصنيف المعطى. يبدو هذا الخيار ممكنًا.
  
- **الخيار ب:** يقول قد تكون الأقلية 5 أشخاص، والاكثرية 8 أشخاص. هذا يبدو غير منطقي لأننا نعلم أن هناك على الأقل 6 أشخاص (3 من تشنجدو و 3 من شنغهاي).

- **الخيار ج:** يقول قد تكون الأقلية 5 أشخاص، وقد تكون الأغلبية 9 أشخاص. هذا الخيار يبدو غير منطقي لأن الأغلبية يجب أن تكون على الأقل 4 إذا كانت الأقلية 5، ولكن إذا كان هناك 5 أشخاص فقط، فهذا يعني أن الجميع من تشنجدو وشنغهاي، ولا يمكن أن يكون هناك 9 أشخاص.

- **الخيار د:** يقول يمكن أن يكون من 3 أشخاص على الأقل ومن 9 أشخاص على الأكثر. هذا الخيار غير منطقي لأننا نعلم أن هناك على الأقل 6 أشخاص.

## الخطوة الرابعة: اختيار الإجابة الصحيحة
بناءً على التحليل، يبدو أن **الخيار أ** هو الأكثر منطقية. يمكن أن يكون هناك 6 أشخاص على الأقل (3 من تشنجدو و 3 من شنغهاي) ويمكن أن يصل العدد إلى 8 إذا أضفنا شخصين آخرين ضمن المجالات المحددة أو خارجها.

The best answer is A",logical reasoning,"['يُمكن أن يكون من 3 أشخاص على الأقل، و 8 أشخاص على الأكثر.', 'قد تكون الأقلية 5 أشخاصاً، والاكثرية 8 أشخاصاً.', 'قد تكون الأقلية 5 أشخاصاً ، و قد تكون الأغلبية 9 أشخاصاً.', 'يُمكن أن يكون من 3 أشخاص على الأقل، و من 9 أشخاص على الأكثر.']",deductive_reasoning
