observation_1,observation_2,hypothesis_1,hypothesis_2,label
بدأ رون عمله الجديد كمهندس جاذبية اليوم.,أُطلِق رون على الفور بسبب عدم الاستماع.,نسي رون أوامر رئيسه واصطدم به وادعى أنه مجنون.,ادعى رئيس رون أنه مجنون.,1
عاش ساندي في نيويورك.,كانت ساندي مستعدة.,هطلت الأمطار في نيويورك.,أقامت ساندي ليلة كاملة.,1
أتيت والد ماري إلى المنزل مع أكثر من موز يمكنهم أن يأكلوه.,كان ذلك أفضل طريقة لتقديم موز!,قررت ماري وأمها صنع موز بارد مغطى بالشوكولاتة لتفادي الفوضى.,لذلك صنع ماري شريحة أناناس للجميع.,1
عمل جيم على مشروع.,بالحظ، وجدته على رف قريب.,وجد جيم أنه يفتقد لشيء.,كان جيم بحاجة إلى حيوان معين له.,1
كان سين جالساً على مكتبه.,بعد دقيقة، كان قادراً على تركيب الكرسي مرة أخرى.,أدرك أن ركبة الكرسي كانت تسقط.,انحدر إلى الخلف كثيراً واندفع الكرسي عنقه.,1
يحب بابلو أن يأكل الحشرات.,لا يحب بابلو تناول الطعام الحشري.,ظن بابلو أن الحشرات مصدر طعام رائع للبروتين.,ثم تعلم بابلو ما هي الحقيقة الحشرات.,2
كان هناك عالم يرغب في جمع عينات من البكتيريا.,كان البكتيريا غير ضارة.,جمع العالم عينات من البكتيريا واختبارها.,جمع البكتيريا وأجمدتها.,1
انضممت إلى البحرية.,أثار ذلك غضبي فضربتَهُ وتم إلقاء القبض عليّ من قبل الشرطة العسكرية.,أخبرني ضابطي القائد أنني لا أفعل شيئًا سيئًا في وظيفتي.,أهانني ملازمي تدريب على أمي.,2
كانت دوتي ساخرة للغاية.,شعرت بعد ذلك بالراحة الكثير.,أكلت دوتي شيء سيء.,دوتي اتصلت بعض الأصدقاء القريبين للاستفسار.,2
سجلت أم علي اسمها في صفة الكاراتيه.,كان علي محزونة للغاية فلم تtell أي من أصدقائها.,لا تريد علي أن تأخذ الكاراتيه.,لم تكن علي جيدة في آخر صفة لها.,1
أصدر Cory صرخة حزينة من فمه.,عندما وصل إلى المنزل، انكمش إلى كرة في الزاوية ودمع.,كان Cory يتعرض للتعنيف من بعض الأطفال في صفه.,فر Cory من المنزل بسرعة شديدة.,1
تستمتع العديد من الشباب باللعب في فرقة الموسيقى المدرسية.,يحب دينيس فرقته الموسيقية وينجح في التسلية للجماهير.,ذهب الناس لمراقبة الفرقة أثناء العرض.,لدينيس عضو منذ عشر ثواني.,1
كانت ديب تريد الذهاب إلى التسوق.,وجدت كل ما تحتاج إليه وتركت بعض المال.,ذهبت ديب إلى فيلم مسائي بدلاً من ذلك.,كان لديب الكثير من كوبونات.,2
كان عمي كوري يعمل في المطار.,أصبح الآن يخدم عقوبته.,سرق كوري من المطار.,أُلقي القبض عليه بسبب سرقة الأجهزة التي تحول دون السرقة من الركاب.,1
كان دانيال يريد شراء طائرة لعبية، لكنه لم يكن لديه أي مال.,اشترى طائرة لعبية، وتابع العمل حتى يستطيع شراء أخرى!,افتتح متجر لبيع عصير الليمون.,بقي دانيال في المنزل ولم يريد شراء طائرة.,1
ضربت جيناً وزنًا قويًا في الصالة الرياضية.,أخذت حمامًا باردًا بهدف تخفيف آلامها.,وقفت آلام رقبتها بسبب هذا.,ضربت جيناً عضلةً أثناء رفع الأثقال.,2
كان وقت الغداء وكات تشعر بالجوع.,شربت كات وزميلاتها الغداء في الخارج.,ذهبت كات لتحصل على سلاصة.,قررت كات أن تأخذ نوما بدلا من الأكل.,1
كان كوزمو قطًا دهنيًا.,الآن هو قط صحي ومسلح!,أضاف مالكه له طعام قطط أقل دهنية.,وضع الطبيب البيطري كوزمو على جهاز التمرين.,1
كانت تيم طالباً للفتيات الصغار، وذهب في رحلات للخيم مع أصدقائه العديد.,في النهاية، كان على تيم أن يذهب إلى المنزل بدون أي قفازات.,أصبح تيم مريضاً جداً في يوم ما.,لم يكن تيم قادراً على إيجاد قفازاته.,2
كان يوماً آدم اشترى رشاشين صغيرين.,أخذ آدم السلاح من كريستيان.,كان أخ آدم كريستيان يخاف من السلاحين.,خطف كريستيان السلاح وطلق آدم في العين.,2
هو صديقي هو صياد.,لم يكن الإلك إلى متناول اليد.,أقامت صيادته في الغابة.,وجد صديقي الذي هو صياد الكثير من الإلك.,1
دخلت فصلي الرياضيات.,أنهيت بالفشل.,رأيت السلسلة بالقرب من الباب.,لم أدرس للامتحان.,2
في عام 1989، بدأت شركةنا استخدام الحواسيب الشخصية.,عندما حصلت على حاسوبها لاحقًا، لم تعرف كيفية استخدامها.,اشترينا حاسوبًا جديدًا لجدة مالك الشركة.,تستخدم مؤسسنا راشيل الحاسوب فقط.,1
لا تحب ماري الطقس البارد.,في الأقل حتى تستطيع أن تتحرك إلى ولاية أكثر دفئا.,تلبس ماري جاكيتين.,بدا أن الطقس البارد توقف لمدة شهرين.,1
TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,2
