index,prompt,golds,preds,raw_preds,subject,options,ABILITY
0,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: بدأ رون وظيفته الجديدة كمنسق حدائق اليوم.
الملاحظة الثانية: تم فصل رون على الفور بسبب العصيان.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) تجاهل رون أوامر رئيسه ونعته بالأحمق.
(ب) نعت رئيس رون رون بالأحمق.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.5757017 0.4242983],أ,abductive reasoning,"['تجاهل رون أوامر رئيسه ونعته بالأحمق.', 'نعت رئيس رون رون بالأحمق.']",reasoning_ability
1,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: عاشت ساندي في نيويورك.
الملاحظة الثانية: كانت ساندي مستعدة.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) عاصفة ضربت في نيويورك.
(ب) احتفلت هي كل الليل.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.56006587 0.43993416],أ,abductive reasoning,"['عاصفة ضربت في نيويورك.', 'احتفلت هي كل الليل.']",reasoning_ability
2,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: عادت والدة ماري إلى المنزل بالموز أكثر مما يمكنهم تناوله على الإطلاق.
الملاحظة الثانية: كانت هذه أفضل طريقة لتناول الموز على الإطلاق!

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) قررت ماري ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.
(ب) لذا صنعت ماري اناناس مقسم للجميع.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.583596   0.41640398],أ,abductive reasoning,"['قررت ماري ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.', 'لذا صنعت ماري اناناس مقسم للجميع.']",reasoning_ability
3,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان جيم يعمل على مشروع.
الملاحظة الثانية: لحسن الحظ، وجده على رف قريب.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) اكتشف جيم أنه يفتقد عنصرًا ما.
(ب) كان جيم بحاجة إلى حيوان معين من أجله.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.54851687 0.45148307],أ,abductive reasoning,"['اكتشف جيم أنه يفتقد عنصرًا ما.', 'كان جيم بحاجة إلى حيوان معين من أجله.']",reasoning_ability
4,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان شون جالسًا على مكتبه.
الملاحظة الثانية: بعد دقيقة، تمكن من إعادة تجميع الكرسي معًا.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) لاحظ أن ساق الكرسي كانت تسقط.
(ب) مال للخلف أكثر من اللازم وانقلب كرسيه.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.53296214 0.4670379 ],أ,abductive reasoning,"['لاحظ أن ساق الكرسي كانت تسقط.', 'مال للخلف أكثر من اللازم وانقلب كرسيه.']",reasoning_ability
5,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: بابل يحب أكل الديدان.
الملاحظة الثانية: بابل لا يستمتع بأكل الديدان.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) ظن بابل أن الديدان مصدر لذيذ للبروتين.
(ب) ثم تعلم بابل ما هي الديدان حقًا.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.45385394 0.54614604],ب,abductive reasoning,"['ظن بابل أن الديدان مصدر لذيذ للبروتين.', 'ثم تعلم بابل ما هي الديدان حقًا.']",reasoning_ability
6,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كان هناك عالم يريد جمع عينات من البكتيريا.
الملاحظة الثانية: لم تكن البكتيريا ضارة.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) جمع العالم عينات من البكتيريا وقام باختبارها.
(ب) قام بجمع البكتيريا وتجميدها.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.54427844 0.45572156],أ,abductive reasoning,"['جمع العالم عينات من البكتيريا وقام باختبارها.', 'قام بجمع البكتيريا وتجميدها.']",reasoning_ability
7,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: لقد انضممت إلى البحرية.
الملاحظة الثانية: هذا أغضبني لدرجة أنني ضربته وتم اعتقالي من قبل الشرطة العسكرية.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أخبرني ضابطي القائد أنني لم أكن أدي أدائي بشكل سيء في عملي.
(ب) إهان مدربي أمي.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.7165147  0.28348532],أ,abductive reasoning,"['أخبرني ضابطي القائد أنني لم أكن أدي أدائي بشكل سيء في عملي.', 'إهان مدربي أمي.']",reasoning_ability
8,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: كانت دوتي متذمرة جدًا.
الملاحظة الثانية: شعرت بتحسن كبير بعد ذلك.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) أكلت دوتي شيئًا سيئًا.
(ب) اتصلت دوتي ببعض الأصدقاء المقربين للدردشة.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",ب,[0.52262616 0.47737378],أ,abductive reasoning,"['أكلت دوتي شيئًا سيئًا.', 'اتصلت دوتي ببعض الأصدقاء المقربين للدردشة.']",reasoning_ability
9,"أنت خبير في abductive reasoning.
حلل الملاحظات والفرضيات التالية لتحديد الفرضية الأكثر قبولاً.

بالنظر إلى الملاحظات التالية:
الملاحظة الأولى: أم علي سجلتها في فصل الكاراتيه.
الملاحظة الثانية: كانت علي خجلة لدرجة أنها لم تخبر أيًا من أصدقائها.

أي من الفرضيات التالية هي الأكثر قبولاً؟
(أ) علي لا تريد أن تتعلم الكاراتيه.
(ب) أدت علي بشكل سيء للغاية في درسها الأخير.

قدم تفكيرك خطوة بخطوة واختتم بالإجابة النهائية بالتنسيق 'الإجابة النهائية: الإجابة النهائية هي [[X]]' حيث X هو حرف الخيار الصحيح (أ أو ب).",أ,[0.80307007 0.19692995],أ,abductive reasoning,"['علي لا تريد أن تتعلم الكاراتيه.', 'أدت علي بشكل سيء للغاية في درسها الأخير.']",reasoning_ability
