observation_1,observation_2,hypothesis_1,hypothesis_2,label
بدأ رون عمله الجديد كمصمم مناظر طبيعية اليوم.,تم طرد رون على الفور بسبب العصيان.,يتجاهل رون أوامر رؤسائه ويطلق عليه لقب أحمق.,رئيس رون وصفه بأنه أحمق.,1
عاشت ساندي في نيويورك.,ساندي كانت مستعدة.,لقد حدثت عاصفة في نيويورك.,لقد إحتفلت طوال الليل.,1
عادت والدة ماري إلى المنزل ومعها كمية من الموز أكبر مما يمكنهم تناوله.,كانت هذه أفضل طريقة على الإطلاق لتناول الموز!,قررت ماري ووالدتها صنع الموز المجمد المغطى بالشوكولاتة لتجنب الهدر.,لذلك قامت ماري بإعداد قطع الأناناس للجميع.,1
كان جيم يعمل على مشروع.,لحسن الحظ، وجده على رف قريب.,اكتشف جيم أنه يفتقد أحد العناصر.,كان جيم يحتاج إلى حيوان معين لذلك.,1
وكان شون جالسا على مكتبه.,وبعد دقيقة واحدة، كان قادرا على إعادة الكرسي إلى مكانه.,لقد لاحظ أن ساق الكرسي كانت تتساقط.,انحنى إلى الخلف كثيرًا وانقلب كرسيه.,1
بابلو يحب أكل الديدان.,بابلو لا يحب أكل الديدان.,اعتقد بابلو أن الديدان مصدر لذيذ للبروتين.,ثم تعلم بابلو ما هي الديدان حقًا.,2
كان هناك عالم يريد جمع عينات من البكتيريا.,البكتيريا لم تكن ضارة.,قام العالم بجمع عينات من البكتيريا واختبارها.,قام بجمع البكتيريا وتجميدها.,1
انضممت إلى البحرية.,لقد أغضبني هذا فضربته وتم القبض علي من قبل الشرطة العسكرية.,أخبرني الضابط القائد أنني لم أكن سيئًا في عملي.,لقد أهان رقيب التدريب الخاص بي والدتي.,2
دوتي كانت غاضبة جدًا.,لقد شعرت بتحسن كبير بعد ذلك.,دوتي أكلت شيئاً سيئاً.,دوتي تتصل ببعض الأصدقاء المقربين للدردشة.,2
والدة علي سجلت ابنتها في دورة الكاراتيه.,لقد شعرت علي بالحرج الشديد ولم تخبر أيًا من أصدقائها.,علي لم يرغب في تعلم الكاراتيه.,لقد فعلت علي بشكل فظيع في درسها الأخير.,1
خرجت شهقة من شفتي كوري.,عندما وصل إلى المنزل، تكور على نفسه في الزاوية وبدأ بالبكاء.,تعرض كوري للسخرية من قبل بعض الأطفال في فصله.,هرب كوري من المنزل بأسرع ما يمكن.,1
يلعب العديد من الشباب في الفرقة الموسيقية في المدرسة.,دينيس يحب فرقته الموسيقية ويستمتع بتسلية المعجبين.,ذهب الناس لمشاهدة عزف الفرقة.,لقد أصبح دينيس عضوًا منذ عشر ثوانٍ.,1
أرادت ديب الذهاب للتسوق.,لقد وجدت كل ما تحتاجه وبقي لديها المال.,ذهبت ديب لحضور فيلم بعد الظهر بدلا من ذلك.,كان لدى ديب الكثير من القسائم.,2
كان ابن عمي كوري يعمل في المطار.,وهو يقضي الآن عقوبته.,سرق كوري من المطار.,تم القبض عليه بتهمة سرقة المحلات التجارية من الركاب.,1
أراد دانيال شراء طائرة لعبة، لكنه لم يكن لديه أي أموال.,اشترى طائرته اللعبة، وظل يعمل حتى يتمكن من شراء طائرة أخرى!,فتح كشك لبيع عصير الليمون.,بقي دانييل في المنزل ولم يرغب في شراء طائرة.,1
جينا رفعت وزنها بقوة في صالة الألعاب الرياضية.,أخذت حمامًا باردًا لتخفيف آلامها.,لقد توقف ألم رقبتها بسبب هذا.,جينا شدّت عضلة أثناء رفع الأثقال.,2
لقد كان وقت الغداء وكانت كات جائعة.,استمتعت كات وزملاؤها بتناول وجبة غداء لطيفة في الخارج.,ذهبت كات للحصول على سلطة.,قررت كات أن تأخذ قيلولة بدلاً من الأكل.,1
كان كوزمو قطة ممتلئة الجسم.,الآن أصبح لائقًا وعضليًا!,أعطاه صاحبه طعامًا للقطط يحتوي على نسبة دهون أقل.,وضع الطبيب البيطري كوزمو على جهاز المشي.,1
كان تيم صبيًا كشفيًا، وذهب في العديد من رحلات التخييم مع أصدقائه.,في النهاية، اضطر تيم إلى العودة إلى المنزل بدون أي جوارب.,في أحد الأيام أصبح تيم مريضًا جدًا.,لم يتمكن تيم من العثور على جواربه.,2
ذات يوم اشترى آدم بندقيتين BB.,أخذ آدم البندقية من كريستيان.,وكان شقيق آدم كريستيان خائفًا من البنادق.,أمسك كريستيان بالمسدس وأطلق النار على عين آدم.,2
صديقي صياد.,لم يتم العثور على الأيل في أي مكان.,أقامت مخبأ للصيد في الغابة.,لقد وجد صديقي الذي هو صياد الكثير من الأيائل.,1
دخلت إلى صف الرياضيات الخاص بي.,لقد انتهى بي الأمر بالفشل.,رأيت الخيط عند الباب.,لم أدرس للاختبار.,2
في عام 1989، بدأت شركتنا باستخدام أجهزة الكمبيوتر الشخصية.,عندما حصلت على جهاز الكمبيوتر الخاص بها لاحقًا لم تكن تعرف كيفية استخدامه.,لقد اشترينا لجدّة المالك جهاز كمبيوتر جديدًا.,مؤسستنا راشيل تستخدم الكمبيوتر الشخصي فقط.,1
ماري لا تحب الطقس البارد.,على الأقل حتى تتمكن من تحمل تكاليف الانتقال إلى ولاية أكثر دفئًا.,ماري ترتدي سترتين.,يبدو أن الطقس البارد توقف لمدة شهرين.,1
كانت إيمي وأصدقائها بالخارج في الساعة الثالثة صباحًا.,وبقوا هناك يتنفسون بصعوبة، ويصلون ألا يراهم أحد.,بدأ رجل شرطة بملاحقتهم، فركضوا واختبأوا خلف أحد المباني.,قرروا اقتحام ملعب كرة القدم. وفجأةً، رأوا مصباحًا كهربائيًا يتجه نحوهم. فبدأوا جميعًا بالركض نحو المدرجات.,2
والدا بوب منعوه من الذهاب إلى المدرسة.,لقد عاد إلى المنزل ولكن والديه لم يعلموا حتى أنه غادر.,تم القبض على بوب وهو يتسلل للخارج.,تمكن بوب من النجاة من التسلل.,2
عملت إيمي في مخزن مارشال.,قررت إيمي أنها ستدفع نفسها لتحقيق حصتها الجديدة.,فازت إيمي بجائزة عن مقدار العمل الذي أنجزته، ومنحت نفس الحصة.,قال رئيس إيمي إنها بحاجة إلى بذل المزيد من الجهد.,2
كان جيسون دائمًا معجبًا بالحركات السريعة للملاكمين التي شاهدها على شاشة التلفزيون.,فاز في معركته الأولى بالضربة القاضية.,لم يترك إلهامه يذهب سدى، بل تدرب وتدرب.,تعلم جيسون الحياكة.,1
حاولت إيرين أن تتعلم كيفية الرسم.,لذا انضمت إلى دورة الرسم.,إيرين، تدربت على الرسم في المنزل ولكن دون جدوى.,إيرين، مارست الرسم في المنزل وأصبحت معروفة بموهبتها.,1
قرر جون سرقة سيارة شرطة.,ذهب جون إلى السجن لمدة ثلاث سنوات.,اصطدم جون بسيارة الشرطة في صندوق الهاتف.,لم يتم القبض على جون.,1
كنت أؤجل الدراسة.,الآن، أنا لا أؤجل الدراسة أبدًا.,لقد فشلت في اختبار كبير.,بعد أن حصلت على درجة جيدة، تعلمت درسًا سهلاً.,1
كان يعقوب يكره المشي إلى المدرسة.,تمكن جاكوب من شراء شاحنة مستعملة بعد 5 أشهر من الادخار.,قرر يعقوب أن يشتري لنفسه سيارة.,لم يكن لدى يعقوب القدرة على شراء سيارة.,1
ذهب روي إلى الحديقة لمشاهدة مباراة البيسبول الصغيرة.,ونتيجة لذلك، واجه الفريق الزائر مشاكل في الأداء.,كان يصرخ على اللاعبين عند كل ضربة منزلية.,روي جعل الفريق الآخر يشعر بعدم الارتياح.,2
بدأ ستان يشعر بالمرض في المدرسة ذات يوم.,لقد تعافى ستان أخيرًا لكنه قال إنه يريد الحصول على لقاح الإنفلونزا من الآن فصاعدًا.,غاب ستان عن المدرسة لمدة أسبوع بسبب آلام في المعدة.,أرسلت ممرضة المدرسة ستان إلى المنزل من المدرسة.,2
لقد كان ليزا وتيم متزوجين منذ فترة طويلة.,لقد نجحت.,ذهبت ليزا وتيم إلى عيادة الخصوبة للحمل.,قرروا تجربة النصائح الواردة في كتاب عن العزف على الجيتار.,1
آدم يحب أكل السندويشات عندما يشرب.,اختنق آدم حتى الموت لأنه نسي أن يزيل غلاف الجبن.,قام آدم بتحضير شطيرة لنفسه باستخدام الخبز والديك الرومي وشريحة من الجبن الأمريكي.,آدم صنع لنفسه شطيرة زبدة الفول السوداني والمربى.,1
كان توم يرسم سياجه.,ترك توم سياجه نصف مطلي.,لقد سئم توم من الرسم بعد أن انتهى منه.,سمع توم أن هناك لعبة، فغادر.,2
قررت إيمي الانتقال من ويسكونسن إلى فلوريدا.,لكن التجربة لم تكن ممتعة بدون أصدقائها.,ستكون مع أصدقائها هناك.,أرادت إيمي أن تعيش وفقًا للحدود.,2
أراد روجر أن يلعب التنس مثلما فعل روجر فيدرر.,لم يخبر أحد روجر مطلقًا أن كل كراته لم تهبط في الملعب أبدًا.,نام روجر واسترخى معظم اليوم.,حاول روجر لكنه لم يكن جيداً مثل مثله الأعلى.,2
كان لدى جولي زميل في العمل يُدعى باري، وكان يحب إثارة المشاكل للآخرين.,لقد كانت جولي محرجة للغاية.,لم يخبر باري أحداً أن جولي أطلقت الريح.,ضحك باري على سروال جولي المفتوح.,2
قرر بوب التنزه في غابات إندونيسيا.,وكان بوب قد نسي حذائه أيضًا.,توقف بوب في منتصف الرحلة لأنه لم يكن لديه مبيد للحشرات.,توقف بوب في منتصف رحلته لربط حذائه.,1
جمعت لوسي كل أصدقائها معًا لحفلة بيتزا.,عندما تم الانتهاء من البيتزا، كان لها طعم وكانت لذيذة.,قررت لوسي أن تصنع البيتزا في المنزل.,بدأت لوسي بطلب البيتزا.,1
لقد كان يومًا عاصفًا جدًا.,تمنى جيم أنه لم يخرج بقبعته الجديدة.,وجد جيم قبعته الجديدة في العاصفة.,طار قبعة جيم في الريح.,2
ذهب تريفور إلى البحيرة ذات يوم لصيد السمك.,أُرغم تريفور على العودة إلى منزله بعد أن فقد صنارة الصيد الخاصة به.,كانت المياه مثالية لجميع مستويات الصيد.,كان الماء يبصق الأعمدة.,1
كانت أختي تعيش في أعلى شقة في برج مرتفع.,أدركت أنني كنت خائفة من مثل هذه المرتفعات الهائلة وأغمي علي.,ذهبت لزيارتها وخرجت إلى شرفة شقتها ذات المنظر الرائع.,نظرت من شرفتها لرؤية السحب.,1
