observation_1,observation_2,hypothesis_1,hypothesis_2,label
بدأ رون وظيفته الجديدة كمُهَيء المناظر الطبيعية اليوم.,تم فصْل رون على الفور بسبب عدم الخضوع.,وصف رئيس رون بأنه أحمق.,رون يتجاهل أوامر رئيسه ووصفه بأنه أحمق.,2
عاشت ساندي في نيويورك.,كانت ساندي مستعدة.,احتفلت طوال الليل.,عاصف في نيويورك.,2
جاءت والدة مريم إلى المنزل بمزيد من الموز مما يمكنهم أكله.,كانت تلك أفضل طريقة على الإطلاق لتناول الموز!,لذلك صنعت مريم انقسام الأناناس للجميع.,قررت مريم ووالدتها صنع موز مجمد مغطى بالشوكولاتة لتجنب الهدر.,2
كان جيم يعمل على مشروع.,لحسن الحظ، وجدها على رف قريب.,جيم يحتاج إلى حيوان معين له.,وجد جيم أنه يفتقد عنصرًا.,2
كان شان جالسًا على مكتبه.,بعد دقيقة، تمكن من إعادة تجميع الكرسي.,مال إلى الخلف أكثر من اللازم وانقلبت كرسيه.,لاحظ أن ساق الكرسي كانت تسقط.,2
بابلو يحب أكل الديدان.,بابلو لا يستمتع بأكل الديدان.,بابلو ثم تعلم ما الديدان حقا.,بابلو ظن أن الديدان مصدر لذيذ للبروتين.,1
كان هناك عالم يريد جمع عينات من البكتيريا.,البكتيريا غير ضارة.,جمع البكتيريا وقام بتجميدها.,جمع العالم عينات من البكتيريا واختبرها.,2
انضممت إلى البحرية.,غضبتني ذلك كثيرًا فصفعته واعتقلتني الشرطة العسكرية.,وصف مدربي الجندي أمّي بالبذيء.,قال لي قائد العمليات أنني لست سيئًا في عملي.,1
كانت دوتي غاضبة جدًا.,شعرت بتحسن كبير بعد ذلك.,اتصلت دوتي ببعض الأصدقاء المقربين للتحدث.,أكلت دوتي شيئًا سيئًا.,1
اشتركت أم علي لها في فصل للكاراتيه.,كانت علي خجولة لدرجة أنها لم تخبر أي من صديقاتها.,فعلت علي أداءً رهيبًا في آخر فصل لها.,لم ترغب علي في أخذ الكاراتيه.,2
هربت صرخة من شفتي كوري.,عندما عاد إلى المنزل، التف حول نفسه في كرة في الزاوية وبدأ يبكي.,هرب كوري من المنزل بأسرع ما يمكن.,كان كوري يتعرض للتنمر من قبل بعض الأطفال في فصله.,2
يلعب العديد من الشباب في فرقة الموسيقى أثناء الدراسة.,دينيس يحب فرقته الموسيقية ويستمتع بترفيه الجماهير.,دينيس كان عضوا لمدة عشر ثوان.,ذهب الناس لمشاهدة الفرقة تعزف.,2
دب أرادت الذهاب للتسوق.,وجدت كل ما تحتاجه وكان لديها نقود اضافية.,كانت دب لديها الكثير من القسائم.,ذهبت دب إلى فيلم بعد الظهر بدلاً من ذلك.,1
عمل ابن عمي كوري في المطار.,هو الآن يقضي عقوبته.,تم القبض عليه لمكافحة السرقة من الركاب.,سرق كوري من المطار.,2
أراد دانييل شراء طائرة لعبة، لكنه لم يكن لديه أي مال.,اشترى دانييل طائرته اللعبة، وواصل العمل حتى يتمكن من شراء أخرى!,بقي دانييل في المنزل ولم يرغب في شراء طائرة.,فتح دانييل محلاً لبيع الليمون.,2
ضربت جينا الوزن بشدة في صالة الألعاب الرياضية.,أخذت حمامًا باردًا لتخفيف ألمها.,شدت جينا عضلة أثناء رفع الأثقال.,توقف ألم رقبتها بسبب هذا.,1
كانت وقت الغداء و كات جائعة .,كات وزملاؤها استمتعوا بوجبة غداء لطيفة في الخارج .,كات قررت أن تأخذ قيلولة بدلاً من الأكل .,كات ذهبت لتحصل على سلطة .,2
كسمو كان قطًا سمينًا.,الآن هو لائق وعضلي!,وضع الطبيب البيطري كسمو على جهاز الجري.,أعطاه صاحبه طعامًا للقطط يحتوي على نسبة أقل من الدهون.,2
كان تيم كشافًا، وذهب في العديد من رحلات التخييم مع أصدقائه.,في النهاية، كان على تيم أن يعود إلى المنزل بدون أي جوارب.,لم يستطع تيم العثور على جواره.,أصبح تيم مريضًا جدًا في أحد الأيام.,1
في يوم من الأيام اشترى آدم مسدسات بي بي اثنين.,أخذ آدم المسدس من كريستيان.,أمسك كريستيان بالممسدس وأطلق النار على آدم في العين.,شعر أخو آدم كريستيان بالخوف من المسدسات.,1
صديقي هو صياد.,لم يتم العثور على الأيل في أي مكان.,وجد صديقي الذي هو صياد الكثير من الأيل.,وضعت كمينًا للصيد في الغابة.,2
دخلت إلى صف الرياضيات الخاص بي.,انتهى بي الأمر إلى الرسوب.,لم أدرس للاختبار.,رأيت الخيط بجانب الباب.,1
في عام 1989، بدأت شركتنا في استخدام أجهزة الكمبيوتر الشخصية.,عندما حصلت على جهاز الكمبيوتر الشخصي الخاص بها لاحقًا، لم تكن تعرف كيفية استخدامه.,مؤسستنا راشيل تستخدم فقط جهاز الكمبيوتر الشخصي.,اشترينا لجدة المالك جهاز كمبيوتر شخصي جديد.,2
مريم لا تحب الطقس البارد.,على الأقل حتى تتمكن من تحمل تكاليف الانتقال إلى ولاية أكثر دفئًا.,بدا أن الطقس البارد توقف لمدة شهرين.,ترتدي مريم سترتين.,2
كانت إيمي وأصدقاؤها خارج المكان في الساعة 3 صباحًا.,ظلوا هناك يتنفسون بصعوبة، ويصلون بأنهم لم يتم رؤيتهم.,قرروا اقتحام ملعب كرة القدم. وفجأة رأوا ضوء كشاف قادم نحوهِم. بدؤوا جميعًا بالجري نحو المدرجات.,بدؤوا يلاحقهم شرطي، فجروا، واختبأوا خلف مبنى.,1
أبو بوب جعلوه تحت العقوبة.,عاد بوب إلى المنزل ولكن والديه لم يعرفوا حتى أنه غادر.,هرب بوب من العقوبة وهو يتسلل للخروج.,تم القبض على بوب وهو يتسلل للخروج.,1
عملت إيمي في غرفة المخزون في مارشالز.,قررت إيمي أنها ستدفع نفسها لتلبية حصتها الجديدة.,قال رئيس إيمي إنها تحتاج إلى فعل المزيد.,فازت إيمي بجائزة لمقدار العمل الذي أنجزته ومنحها نفس الحصة.,1
كان جيسون معجبًا دائمًا بالحركات السريعة للملاكمين الذين يراهم في التلفزيون.,فاز جيسون في أول نزاع له بالضربة القاضية.,تعلم جيسون الحياكة.,لم يترك إلهامه يضيع، لقد درب ودرب.,2
حاولت إيرين تعلم الرسم.,لذلك انضمت إلى فصل الرسم.,مارست إيرين الرسم في المنزل وأصبحت معروفة بموهبتها.,مارست إيرين الرسم في المنزل دون جدوى.,2
قرر جون سرقة سيارة شرطة.,ذهب جون إلى السجن لمدة ثلاث سنوات.,لم يتم القبض على جون.,تحطمت سيارة الشرطة التي يقودها جون في عمود هاتف.,2
كنت أؤجل الدراسة دوماً.,الآن، لا أؤجل الدراسة أبداً.,بعد الحصول على درجة جيدة، تعلمت درسًا سهلاً.,فشلت في اختبار كبير.,2
كره يعقوب الذهاب إلى المدرسة.,تمكن يعقوب من شراء شاحنة مستعملة لنفسه بعد 5 أشهر من التوفير.,لم يستطع يعقوب تحمل تكاليف السيارة.,قرر يعقوب شراء سيارة لنفسه.,2
ذهب روي إلى الحديقة لمشاهدة لعبة البيسبول للدرجة الصغيرة.,طوّرت الفريق الزائر مشاكل أداء نتيجة لذلك.,جعل روي الفريق الآخر غير مرتاح.,صرخ باللاعبين عند كل هوم ران.,1
بدأ ستان يشعر بالمرض في المدرسة يومًا ما.,تعافى ستان أخيرًا لكنه قال إنه يريد الحصول على لقاح الإنفلونزا من الآن فصاعدًا.,أرسلت ممرضة المدرسة ستان إلى المنزل من المدرسة.,كان ستان خارج المدرسة لمدة أسبوع بسبب آلام المعدة.,1
ليزا وتيم كانا متزوجين لفترة طويلة.,نجحت.,قرروا تجربة النصيحة الواردة في كتاب عن العزف على الجيتار.,ذهبت ليزا وتيم إلى عيادة الخصوبة للحصول على الحمل.,2
آدم يحب أكل الساندويتش عندما يشرب.,آدم اختنق حتى الموت لأنه نسي أن يزيل غلاف الجبن.,صنع آدم لنفسه ساندويتش pb&j .,صنع آدم لنفسه ساندويتش باستخدام الخبز، الديك الرومي، وشريحة من الجبن الأمريكي.,2
كان توم يرسم سوره.,ترك توم سوره نصف مرسوم.,سمع توم أن هناك لعبة كانت قائمة وغادر.,تعب توم من الرسم بعد أن انتهى.,1
أماي قررت الانتقال من ويسكونسن إلى فلوريدا.,ومع ذلك كانت التجربة ليست ممتعة بدون أصدقائها.,أماي أرادت أن تعيش بالقرب من الشاطئ.,ستكون مع أصدقائها هناك.,1
أراد روجر أن يلعب التنس كما يلعب روجر فيدرر.,لم يخبر أحد روجر أن كل كراته لم تهبط في الملعب.,حاول روجر لكنه لم يكن جيدًا مثل معبوده.,نام روجر متأخرًا و استرخى معظم اليوم.,1
كانت لدى جولي زميل في العمل يدعى باري كان يحب أن يسبب المشاكل للآخرين.,كانت جولي شديدة الإحراج.,ضحك باري على بنطال جولي الذي لم يتم سحبه.,لم يخبر باري أحدًا أن جولي ت farted.,1
قرر بوب الذهاب للمشي في غابات إندونيسيا.,كما نسي بوب حذائه.,توقف بوب في منتصف رحلته لربط حذائه.,توقف بوب في منتصف المسار لأنّه لم يكن بحوزته رذاذ الحشرات.,2
اجتمعت لوسي مع جميع أصدقائها لحفلة بيتزا.,عندما كانت البيتزا جاهزة، قاموا بتذوقها وكانت لذيذة.,بدأت لوسي في طلب البيتزا.,قررت لوسي صنع البيتزا في المنزل.,2
كانت يومًا عاصفًا جدًا.,تمنى جيم أنه لم يخرج في قبعته الجديدة.,طارت قبعة جيم بعيدًا في الريح.,وجد جيم قبعته الجديدة في عاصفة.,1
ذهب تريفور إلى البحيرة يومًا ما لصيد السمك.,أُجبر تريفور على العودة إلى المنزل بعد أن فقد عصا الصيد الخاصة به.,كانت المياه ترفع الأعمدة.,كانت المياه مثالية لجميع مستويات الصيد.,2
عاشت أختي في الطابق العلوي من مبنى سكني شاهق.,أدركت أنني أخافني الارتفاعات الشاهقة و فقدت وعيي.,نظرت إلى الأسفل من شرفة شقتها ورأيت الغيوم.,ذهبت لزيارتها وخطوت إلى الخارج على شرفة شقتها التي تطل على منظر رائع.,2
كانت أليستر تمارسها بقوسها.,انتهى به أن يأتي بشكل مستقيم ويسقط على قدم المدرب.,أليستر كانت محترفة في استخدام القوس.,كانت أليستر ما زالت مبتدئة في استخدام القوس.,2
