observation_1,observation_2,hypothesis_1,hypothesis_2,label
Chad went to get the wheel alignment measured on his car.,The mechanic provided a working alignment with new body work.,Chad was waiting for his car to be washed.,Chad was waiting for his car to be finished.,2
Chad loves Barry Bonds.,Chad ensured that he took a picture to remember the event.,"Chad got to meet Barry Bonds online, chatting.",Chad got to meet Barry Bonds.,2
Chad loves Barry Bonds.,Chad ensured that he took a picture to remember the event.,Chad saw Barry Bonds at Com-icon.,Chad missed the flight to Com-icon.,1
Homer bought a gas grill for the summer.,They grilled steak for the first time on the grill.,He was really craving a steak dinner.,Homer was really craving a spaghetti dinner.,1
Brenna and I used to be best friends.,We never talked again.,Brenna and I had a big party.,Brenna and I had a big falling out.,2
Brenna and I used to be best friends.,We never talked again.,Brenna and I never fought over a boy.,Brenna and I fought over a boy.,2
Josh bought a parrot as a pet.,Josh was so excited that he taught his parrot how to say its name!,Josh realized that the parrot could talk!.,Josh realized that the parrot was mute.,1
Josh bought a parrot as a pet.,Josh was so excited that he taught his parrot how to say its name!,The parrot repeated Josh's morning greeting.,Josh repeated the parrot's morning greeting.,1
Iris hired a babysitter for her daughter.,As a result Iris had to stay home.,Iris' daughter fell ill.,Iris' daughter felt great.,1
Iris hired a babysitter for her daughter.,As a result Iris had to stay home.,The babysitter cancelled at the last minute.,The babysitter showed up at the last minute.,1
Harvey and his family saved up money for a vacation.,"It rained so hard, the family had to go home.",Harvey didn't think to check the sunscreen labels.,Harvey didn't think to check the weather forecast.,2
Harvey and his family saved up money for a vacation.,"It rained so hard, the family had to go home.",His family decided to go to the beach.,His family decided to go to space.,1
Stephen was at a party.,He checked it but it was completely broken.,Stephen broke Jack's computer by accident while drinking.,Stephen stepped on Jack's sweater by accident while doing laundry.,1
Samantha was always the prettiest girl in school.,Samantha ended up winning America's Next Top Model.,Samantha was accepted on America's Next Top Model.,Samantha couldn't get on America's Next Top Model.,1
Samantha was always the prettiest girl in school.,Samantha ended up winning America's Next Top Model.,Samantha kept up with her fitness and schoolwork.,Samantha kept up with her gossip and makeup.,1
The boy loved telling scary stories.,She mad him stop telling myths.,The boy imagined the scariest story he knew.,The boy told the scariest story he knew.,2
Tom had to wash the dishes.,He realized he didn't do a thorough job of washing the dishes.,Customers complained they were served clean dishes.,Customers complained they were served dirty dishes.,2
Tom had to wash the dishes.,He realized he didn't do a thorough job of washing the dishes.,Tom had a hard time drying the dishes.,Tom had no problem drying the dishes.,1
Debbie's cat was stuck up in the giant oak tree.,"A hawk heard them and flew by, snatching the cat from the tree.",Debbie didn't make a commotion trying to get the cat down.,Debbie made a commotion trying to get the cat down.,2
Debbie's cat was stuck up in the giant oak tree.,"A hawk heard them and flew by, snatching the cat from the tree.",Debbie's cat meowed as Debbie called for her.,Debbie's cat meowed as Debbie called for her mom.,1
Jackson had always wanted to learn to speak Spanish.,Soon Jackson finds that his Spanish is getting very good.,He decided to take a sign language class.,He decided to take a spanish class.,2
Jackson had always wanted to learn to speak Spanish.,Soon Jackson finds that his Spanish is getting very good.,Jackson took a spanish boring.,Jackson took a spanish class.,2
Donna keeps a giant bowl of candy on her desk for her co workers.,Her coworkers were so excited for all the new treats!,Donna got new treats for her coworkers.,Donna forgot to replace the candy.,1
Aurora and Jonah are building a sandcastle.,They smile in satisfaction as they examine their completed project.,Aurora and Jonah got the sandcastle finished.,Aurora and Jonah couldn't finish the sandcastle.,1
Bill's Ford truck gets a flat tire.,He vows to never buy a Ford vehicle again.,Bill always has a very hard time changing the tire.,The tire always has a very hard time changing Bill.,1
Jasper told his parents that he wanted a dog.,His parents decided not to give him a dog.,He loved taking care of it.,He promised he would take care of it.,2
Jasper told his parents that he wanted a dog.,His parents decided not to give him a dog.,Jasper promised he would take care of it.,He promised he would take care of it.,2
Tim needed to take the trash out.,The scary event made Tim regret being lazy.,A stranger got a weird phone call from Tim.,Tim got a weird phone call from a stranger.,2
Tim needed to take the trash out.,The scary event made Tim regret being lazy.,Tim's cat followed him out and almost got run over.,Tim's cat went out with him and Tim almost got ran over.,1
Jerry got lost during the walk to his last period.,"However, he was late to the class.",He found out where the class was.,He found out where the auto show was.,1
Jerry got lost during the walk to his last period.,"However, he was late to the class.",Jerry finally found the right way to walk.,Jerry found the wrong way to walk.,1
"One day, a pig wandered onto my parents farm.","One day, he was gone, but I hope he found his way back home.",I feed him a pile of carrots every morning before school.,I feed him a pile of rocks every morning before school.,1
Ed had never tried carrots.,He made $5 and found that he liked carrots after all!,Ed made a bet that he would hate them.,Ed made a bet he would like them.,2
Ed had never tried carrots.,He made $5 and found that he liked carrots after all!,Ed found out fortune telling was a fraud.,The reader told him he would win money.,2
Jack asked his parents for permission to buy a goldfish.,"He took great care of his fish, just like his parents had told him to.",Jack loved his new fish.,Jack loved his new pen set.,1
"Tina, a teenager, is amused with how popular her mother is.","Her teacher asked how, and Tina told him who was her mother.",Tina doesn't know anybody and has no friends.,Tina knows a lot of people.,2
I had a job interview.,I decided that the company was too immature for me so I left.,I did not feel I was a good fit.,I did not feel it was a good fit.,2
I had a job interview.,I decided that the company was too immature for me so I left.,I was offered the job and took it.,I was offered the job and refused it.,1
Missy love her chocolate.,Missy got the biggest chocolate bar and became super happy.,Missy's funeral was coming up.,Missy's birthday was coming up.,2
I was in line at the cinema.,The boy proved her wrong by wetting himself.,A mother told her son he could wait.,a mother rushed her son to the restroom.,1
Bill worked hard in order to buy a car.,"He took the car to get it painted, and the shop painted it blue!",Bill liked the original color of the car.,Bill wanted to get the car painted red.,2
Joe likes to drink beer.,Joe now has liver disease from drinking too much beer.,Joe drank a case a day for years.,Joe drank a case a day for a week.,1
Joe likes to drink beer.,Joe now has liver disease from drinking too much beer.,Joe drinks 6 beers every single day.,Joe drinks 6 beers every single darkness.,1
Maya needed to lose weight.,"In a month, each had lost ten pounds!",Maya worked out with a friend.,Maya ate sweets with a friend.,1
Maya needed to lose weight.,"In a month, each had lost ten pounds!",Maya started a daily exercise routine.,Maya put her dog on a diet.,1
Sean loved music.,He made the music and ended up making tons of money.,He ended down becoming a musician.,He ended up becoming a musician.,2
Sean loved music.,He made the music and ended up making tons of money.,Sean learned to make music.,Sean never learned to make music.,1
Sally was looking through her wardrobe one day and saw a shirt.,She looked down and realized the shirt had holes in it.,Sally knew the shirt was brand new.,Sally knew the shirt was old.,2
Sally was looking through her wardrobe one day and saw a shirt.,She looked down and realized the shirt had holes in it.,She threw it on quickly.,She threw the pants on quickly.,1
Ed was called for jury duty.,They had already picked a full jury and did not need Ed!,Ed got a phone call he was waiting for.,Ed got a phone call he wasn't waiting for.,1
My baby would not go to sleep last night.,I wound up driving for hours.,"I realized he needed his blanket, which I had forgotten at a faraway hotel.","I realized he needed his blanket, which I had forgotten at a nearby hotel.",1
My baby would not go to sleep last night.,I wound up driving for hours.,I took my baby to a hospital and she fell asleep.,I took my baby for a drive and she fell asleep in the car.,2
Ramona went to her first horse racing event the other day.,Ramona couldn't wait to go back.,Ramona liked the horse race.,Ramona hated the horse race.,1
Ramona went to her first horse racing event the other day.,Ramona couldn't wait to go back.,Ramona placed a bet on a dog.,ramona placed a bet on a horse.,2
Jim was obsessed with super heroes.,Jim broke his arm and his sister is grounded for a year.,Jim and sister pondered around in responsibilty.,Jim and sister jumped around in capes and tights.,2
Jim was obsessed with super heroes.,Jim broke his arm and his sister is grounded for a year.,Jim and sister jumped around in capes and tights.,Jim's sister jumped around in a cape and tights.,1
"Aunt Janet signed up for a CPR course, because her parents were aging.",Her CPR skills actually kept him alive until the ambulance arrived.,Aunt Janet's dad suffered a heart attack.,Aunt Janet's dad died because she forgot the repetitions.,1
"Aunt Janet signed up for a CPR course, because her parents were aging.",Her CPR skills actually kept him alive until the ambulance arrived.,Janet wanted to be prepared although her parents were alright.,Janet's father had a heart attack.,2
Mabel was telling her children a fable.,They all hit their heads on the bottom of the table.,Mabel's children were sitting in a car when she told them the story.,Mabel's children were sitting under neath the table when she told them the story.,2
Arnold was scared of squirrels.,Arnold screamed like a little girl.,A bunch of squirrels showed up at his windowsill.,A bunch of butterflies showed up at his windowsill.,1
Max was standing in the bank.,"When Max picked it up, he saw that it was broken.",Max found a bug on the floor.,Max found a watch on the floor.,2
Addie was working at the mall at Hollister when a strange man came in.,Addie was put in jail for her crime.,Addie had no idea that the strange man saw her steal the diamond ring.,Addie had no idea that the strange man saw her steal a glance.,1
Addie was working at the mall at Hollister when a strange man came in.,Addie was relieved and took deep breaths to calm herself.,The man asked her for help and was very creepy.,"The man asked for help, and was actually friendly.",2
Angie wanted to treat her puppy to a new toy.,Angie was happy to see her dog so filled with joy.,Angie bought her puppy a toy at the pet store.,Angie lost her puppy at the pet store.,1
Eric was looking forward to his vacation from work.,"He left the building whistling a tune, excited to go home and rest.",Eric clocked out at 8pm.,Eric clocked out right at 5pm.,2
I like passing notes in class.,The people that write back to me often become good friends of mine.,I pass notes to all minorities telling them to go back where they came from.,I pass notes to everyone in class.,2
I like passing notes in class.,The people that write back to me often become good friends of mine.,I send notes to myself.,I send notes to everyone.,2
James loved drinking beer but he had never seen a brewery.,He decided that he wanted to visit more breweries.,James decided to visit a local brewery and got drunk.,James decided to visit a local brewery.,2
James loved drinking beer but he had never seen a brewery.,He decided that he wanted to visit more breweries.,James went on a brewery tour.,A brewery tour went on James.,1
Zoey is an only child.,"When the baby is born, she goes to the hospital to meet her brother!",Zoey was getting a new sibling.,Zoey was getting a new gerbil.,1
Zoey is an only child.,"When the baby is born, she goes to the hospital to meet her brother!",Zoey's parents cannot have kids.,Zoey's parents are pregnant.,2
Doug was lonely.,Doug was no longer lonely.,Doug invited a friend over to hang out and the friend then came over to Doug's home.,Doug invited a friend over to hang out and the friend then declined to come over to Doug's home.,1
It was a cold night and the campers were tired and hungry.,They went off to their tents after a few hours to sleep.,The campers made a fire and told ghost stories.,they left that night.,1
It was a cold night and the campers were tired and hungry.,They went off to their tents after a few hours to sleep.,They decided to find some food to eat.,They decided not to find food to eat.,1
Joe was excited to go trick-or-treating with a gang of boys.,He saw unwanted candy strewn around his own front door.,Joe had fun trick-or-treating.,Joe never went trick-or-treating.,1
Henry was standing near the pool side.,All of his belongings became soaked.,Henry accidentally fell in.,Henry declined to go in.,1
Henry was standing near the pool side.,All of his belongings became soaked.,The pool was drained the day before.,Harry was splashed by a swimmer.,2
The man in the red car was driving fast.,They had a huge accident.,The man hit another car.,The girl hit another car.,1
The man in the red car was driving fast.,They had a huge accident.,The man rear ended a slower moving vehicle.,The man almost rear ended a slower moving vehicle.,1
The county inspectors visited our trailer park.,Then John and I built a really stable set of handrails for my steps.,Our trailers were up to par.,Our trailers were not up to par.,2
Johnny got a new pet fish for his birthday.,"Afterwards, he changed the water and put Nemo back into his tank.","He put his fish into the tank, but it was dirty.",He put fish in the clean tank.,1
Frankie and his friend Josh were playing Halo online.,"The strategy worked, and Frankie won the game for his team.",Frankie came up with a strategy.,Frankie came up with dinner.,1
Jay has been looking for this duffle coat for a while.,He buys it anyway,Jay finds his shirt but really wants to get a new one too.,"Jay finds his coat, but really wants to get a new one, too.",2
